category;name;rus;eng

stat;crit_rate_charged_wriothesley;Взыскания: Морозный кулак в прыжке;Rebuke: Vaulting Fist
stat;crit_dmg_charged_wriothesley;Взыскания: Морозный кулак в прыжке;Rebuke: Vaulting Fist
stat;dmg_charged_wriothesley;Взыскания: Морозный кулак в прыжке;Rebuke: Vaulting Fist
stat;dmg_burst_wriothesley;Укус чернозлатого волка;Darkgold Wolfbite

feature_attack;wriothesley_vaulting_fist_dmg;Взыскания: Морозный кулак в прыжке;Rebuke: Vaulting Fist DMG
feature_attack;wriothesley_vaulting_fist_heal;Лечение Морозный кулак в прыжке;Rebuke: Vaulting Fist Heal

talent_name;wriothesley_redemption_for_the_suffering_2;Принести спасение страждущим (На поле);Redemption for the Suffering (On-field)
talent_name;wriothesley_redemption_for_the_suffering_3;Принести спасение страждущим (вне поля);Redemption for the Suffering (Off-field)
