category;name;rus;eng
stat;dmg_skill_furina;Салон одиноких сердец;Salon Solitaire

feature_attack;furina_center_of_attention_heal;Лечение Центр внимания;Center of Attention Heal
feature_burst;furina_fanfare_dmg_bonus;Бонус урона;DMG Bonus
feature_burst;furina_fanfare_heal_bonus;Бонус получаемого лечения;Incoming Healing Bonus
feature_burst;furina_c6_healing;Лечение при Архэ: Усия;Arkhe: Ousia Healing
feature_burst;furina_max_hp;Увеличение Макс HP;Max HP increase
feature_other;furina_heal_dot;Периодическое лечение;Regeneration

talent_name;furina_hp_offers;«Одолживших» HP персонажей;Characters who "offer" HP
talent_descr;furina_hp_offers;Если персонажей - доноров HP 1/2/3/4 (или более), наносимый участниками салона урон составляет 110%/120%/130%/140% от их изначального урона.;If the characters who meet these requirements are 1/2/3/4 (or more), the Members' attacks will deal 110%/120%/130%/140% of their original DMG.
talent_name;furina_fanfare_stacks;Уровни фанфар;Fanfare Stacks
talent_name;furina_pneuma;Архэ: Пневма;Arkhe: Pneuma
