category;name;rus;eng
feature_skill;durin_denial_of_darkness_dmg_1;Урон Трансмутации: Отрицание тьмы 1;Transmutation: Denial of Darkness DMG 1
feature_skill;durin_denial_of_darkness_dmg_2;Урон Трансмутации: Отрицание тьмы 2;Transmutation: Denial of Darkness DMG 2
feature_skill;durin_denial_of_darkness_dmg_3;Урон Трансмутации: Отрицание тьмы 3;Transmutation: Denial of Darkness DMG 3
feature_burst;durin_as_the_light_shifts_dmg_1;Урон Принципа чистоты: Когда меняется свет 1;Principle of Purity: As the Light Shifts DMG 1
feature_burst;durin_as_the_light_shifts_dmg_2;Урон Принципа чистоты: Когда меняется свет 2;Principle of Purity: As the Light Shifts DMG 2
feature_burst;durin_as_the_light_shifts_dmg_3;Урон Принципа чистоты: Когда меняется свет 3;Principle of Purity: As the Light Shifts DMG 3
feature_burst;durin_as_the_stars_smolder_dmg_1;Урон Принципа тьмы: Когда тлеют звёзды 1;Principle of Darkness: As the Stars Smolder DMG 1
feature_burst;durin_as_the_stars_smolder_dmg_2;Урон Принципа тьмы: Когда тлеют звёзды 2;Principle of Darkness: As the Stars Smolder DMG 2
feature_burst;durin_as_the_stars_smolder_dmg_3;Урон Принципа тьмы: Когда тлеют звёзды 3;Principle of Darkness: As the Stars Smolder DMG 3
feature_other;durin_dmg_bonus;Бонус урона от Первозданного слияния;DMG Bonus by Primordial Fusion

features_view;stat_dmg_primordial_fusion;Первозданное слияние;Primordial Fusion
features_view;stat_durin_atk_total;Атака;ATK
