category;name;rus;eng
buff_group;elemental_resonance;Отряд;Party setup
buff_group;artifacts;Артефакты членов отряда;Party members' artifacts
buff_group;weapons;Оружие членов отряда;Party members' weapons
buff_group;custom;Произвольные бонусы;Custom bonuses
buffs;party_elements;Персонажи в отряде;Current party characters
buffs_name;resonance_cryo_status;Крио эффект на враге;Enemy affected by Cryo
buffs_name;resonance_geo_shield;Персонаж защищен щитом;Character protected by a shield
buffs_name;resonance_geo_attack;Нанес урон врагу;Deal damage to enemy
buffs_name;only_full_party_resonance;Отключить резонанс;Disable resonance
buffs_descr;only_full_party_resonances;Не применять бонусы Элементального резонанса при неполном отряде.;Does not apply Elemental resonance bonuses while party is not full.

buffs_name;ascendant_gleam_ad;Высшее сияние (anemo{Анемо}, dendro{Дендро});Ascendant Gleam (anemo{Anemo}, dendro{Dendro})
buffs_name;ascendant_gleam_hydro;Высшее сияние (hydro{Гидро});Ascendant Gleam (hydro{Hydro})
buffs_name;ascendant_gleam_geo;Высшее сияние (geo{Гео});Ascendant Gleam (geo{Geo})
buffs_name;ascendant_gleam_pec;Высшее сияние (pyro{Пиро}, electro{Электро}, cryo{Крио});Ascendant Gleam (pyro{Pyro}, electro{Electro}, cryo{Cryo})
buffs_descr;ascendant_gleam_ad;Кроме того, в течение 20 секунд после того, как персонаж, не являющийся персонажем name{Лунного знамения}, применит name{элементальный навык} или name{взрыв стихии}, он увеличит урон от name{Лунной реакции}, наносимый всеми находящимися рядом персонажами в зависимости от их элементального типа, максимум до value{36%}. Этот эффект не суммируется.<br>Увеличивает этот урон на value{2,25%} за каждые value{100} ед. их name{мастерства стихий}.;In addition, for 20s after a name{non-Moonsign character} casts an name{Elemental Skill} or name{Elemental Burst}, they will increase the name{Lunar Reaction DMG} dealt by all nearby characters based on their own Elemental Type, up to a maximum of value{36%}. This effect cannot stack.<br>Increases this DMG by value{2.25%} for every value{100} name{Elemental Mastery}.
buffs_descr;ascendant_gleam_hydro;Кроме того, в течение 20 секунд после того, как персонаж, не являющийся персонажем name{Лунного знамения}, применит name{элементальный навык} или name{взрыв стихии}, он увеличит урон от name{Лунной реакции}, наносимый всеми находящимися рядом персонажами в зависимости от их элементального типа, максимум до value{36%}. Этот эффект не суммируется.<br>Увеличивает этот урон на value{0,6%} за каждые value{1000} ед. их name{макс. HP}.;In addition, for 20s after a name{non-Moonsign character} casts an name{Elemental Skill} or name{Elemental Burst}, they will increase the name{Lunar Reaction DMG} dealt by all nearby characters based on their own Elemental Type, up to a maximum of value{36%}. This effect cannot stack.<br>Increases this DMG by value{0.6%} for every value{1,000} name{Max HP}.
buffs_descr;ascendant_gleam_geo;Кроме того, в течение 20 секунд после того, как персонаж, не являющийся персонажем name{Лунного знамения}, применит name{элементальный навык} или name{взрыв стихии}, он увеличит урон от name{Лунной реакции}, наносимый всеми находящимися рядом персонажами в зависимости от их элементального типа, максимум до value{36%}. Этот эффект не суммируется.<br>Увеличивает этот урон на value{1%} за каждые value{100} ед. их name{защиты}.;In addition, for 20s after a name{non-Moonsign character} casts an name{Elemental Skill} or name{Elemental Burst}, they will increase the name{Lunar Reaction DMG} dealt by all nearby characters based on their own Elemental Type, up to a maximum of value{36%}. This effect cannot stack.<br>Increases this DMG by value{1%} for every value{100 name{DEF}.
buffs_descr;ascendant_gleam_pec;Кроме того, в течение 20 секунд после того, как персонаж, не являющийся персонажем name{Лунного знамения}, применит name{элементальный навык} или name{взрыв стихии}, он увеличит урон от name{Лунной реакции}, наносимый всеми находящимися рядом персонажами в зависимости от их элементального типа, максимум до value{36%}. Этот эффект не суммируется.<br>Увеличивает этот урон на value{0,9%} за каждые value{100} ед. их name{силы атаки}.;In addition, for 20s after a name{non-Moonsign character} casts an name{Elemental Skill} or name{Elemental Burst}, they will increase the name{Lunar Reaction DMG} dealt by all nearby characters based on their own Elemental Type, up to a maximum of value{36%}. This effect cannot stack.<br>Increases this DMG by value{0.9%} for every value{100} name{ATK}.
