category;name;rus;eng
feature_burst;eula_lightfall_dmg;Урон Меча света;Lightfall Sword DMG
feature_burst;eula_roiling_rime;Дрожащий иней;Roiling Rime

talent_name;eula_lightfall_stacks;Энергия Меча света;Lightfall Sword energy stacks
talent_descr;eula_lightfall_stacks;Наносимый урон skill{burst:Меча света} зависит от количества накопленной энергии.;name{Lightfall Sword} DMG scales on the number of energy stacks the skill{burst:Lightfall Sword} has accumulated.

talent_name;eula_constellation_5;Рыцарская суть;Chivalric Quality
talent_name;eula_grimheart;Холодное сердце;Grimheart
talent_descr;eula_grimheart;Повышает сопротивление прерыванию и name{защиту} name{Эолы} на %{def_percent}.;Increases name{Eula}'s resistance to interruption and name{DEF} by %{def_percent}.

talent_name;eula_icewhirl_brand;Ледяной прибой;Icetide Vortex
talent_descr;eula_icewhirl_brand;Если было потрачено skill{skill:Холодное сердце}, то name{Эола} снижает name{физическое сопротивление} и cryo{Крио сопротивление} врагов поблизости.;If skill{skill:Grimheart} stacks are consumed, surrounding opponents will have their name{Physical RES} and cryo{Cryo RES} decreased.
