category;name;rus;eng

stat;dmg_skill_shenhe;Призыв духа;Spring Spirit Summoning

talent_name;shenhe_icy_quill;Ледяное перо;Icy Quill

talent_name;shenhe_spirit_field;Находится в области Духа талисмана;Within The Talisman Spirit's Field

talent_name;shenhe_spirit_seal_press;Печать духовного единения (Быстрое нажатие);Spirit Communion Seal (Press)
talent_name;shenhe_spirit_seal_hold;Печать духовного единения (Долгое нажатие);Spirit Communion Seal (Hold)
talent_name;shenhe_talisman_spirit;Дух талисмана;The Talisman Spirit
talent_descr;shenhe_talisman_spirit;skill{burst:Дух талисмана} создаёт поле, внутри которого снижается cryo{Крио сопротивление} и name{физ. сопротивление} противников.;skill{burst:The Talisman Spirit} creates a field that decreases the cryo{Cryo RES} and name{Physical RES} of opponents within it.
