category;name;rus;eng
feature_attack;traveler_slitting_wind;Урон Кромсающий ветер;Slitting Wind DMG

feature_skill;traveler_initial_cutting_pyro_dmg;Пиро начальный режущий урон;Pyro initial Cutting DMG
feature_skill;traveler_max_cutting_pyro_dmg;Пиро макс. режущий урон;Pyro max Cutting DMG
feature_skill;traveler_initial_storm_pyro_dmg;Пиро начальный урон вихря;Pyro initial Storm DMG
feature_skill;traveler_max_storm_pyro_dmg;Пиро макс. урон вихря;Pyro max Storm DMG
feature_skill;traveler_initial_cutting_hydro_dmg;Гидро начальный режущий урон;Hydro initial Cutting DMG
feature_skill;traveler_max_cutting_hydro_dmg;Гидро макс. режущий урон;Hydro max Cutting DMG
feature_skill;traveler_initial_storm_hydro_dmg;Гидро начальный урон вихря;Hydro initial Storm DMG
feature_skill;traveler_max_storm_hydro_dmg;Гидро макс. урон вихря;Hydro max Storm DMG
feature_skill;traveler_initial_cutting_cryo_dmg;Крио начальный режущий урон;Cryo initial Cutting DMG
feature_skill;traveler_max_cutting_cryo_dmg;Крио макс. режущий урон;Cryo max Cutting DMG
feature_skill;traveler_initial_storm_cryo_dmg;Крио начальный урон вихря;Cryo initial Storm DMG
feature_skill;traveler_max_storm_cryo_dmg;Крио макс. урон вихря;Cryo max Storm DMG
feature_skill;traveler_initial_cutting_electro_dmg;Электро начальный режущий урон;Electro initial Cutting DMG
feature_skill;traveler_max_cutting_electro_dmg;Электро макс. режущий урон;Electro max Cutting DMG
feature_skill;traveler_initial_storm_electro_dmg;Электро начальный урон вихря;Electro initial Storm DMG
feature_skill;traveler_max_storm_electro_dmg;Электро макс. урон вихря;Electro max Storm DMG

feature_attack;traveler_blade_wind_pyro;Пиро урон Ветра клинков;Pyro Blade Wind DMG
feature_attack;traveler_blade_wind_cryo;Крио урон Ветра клинков;Cryo Blade Wind DMG
feature_attack;traveler_blade_wind_electro;Электро урон Ветра клинков;Electro Blade Wind DMG
feature_attack;traveler_blade_wind_hydro;Гидро урон Ветра клинков;Hydro Blade Wind DMG

talent_name;traveler_swordfighting_techniques;Техника фехтования на мечах VIII;Swordfighting Techniques VIII
talent_descr;traveler_swordfighting_techniques;name{Базовая сила атаки} увеличивается на %{atk_base}.;name{Base ATK} increased by %{atk_base}.
talent_name;traveler_special_training;Особая тренировка Скирк;Skirk's Special Training
talent_descr;traveler_special_training;name{Базовая сила атаки} увеличивается на %{atk_base}, name{мастрество стихий} на %{mastery} и базовое name{HP} на %{hp_base}.;name{Base ATK} increased by %{atk_base}, name{elemental mastery} by %{mastery} and name{base HP} by %{hp_base}.
features_view;stat_traveler_elevation;Дополнительное<br>усиление;Additional<br>Buff Effect
