category;name;rus;eng
feature_attack;charged_hit_1;Заряженная-1;Charged hit-1
feature_attack;charged_hit_2;Заряженная-2;Charged hit-2
feature_attack;charged_hit_3;Заряженная-3;Charged hit-3
feature_attack;charged_hit_total;Заряженная (всего);Charged Total
feature_attack;hits;удара;hits
feature_attack;party_heal_on_hit;Лечение отряда при ударе;Party Heal on Hit
feature_attack;plunge_high;Высокая;Plunge High
feature_attack;plunge_low;Низкая;Plunge Low
feature_attack;second_aimed;Доп. прицельная;Additional aimed
feature_attack;second_charged_aimed;Доп. заряженная прицельная;Add. charged aimed
feature_attack;additional_dmg;Дополнительный урон;Additional DMG
feature_burst;additional_dmg;Дополнительный урон;Additional DMG
feature_burst;anemoskill_cryo_dmg;Доп. урон Крио;Additional Cryo DMG
feature_burst;anemoskill_dmg;Доп. элементальный урон;Additional Elemental DMG
feature_burst;anemoskill_electro_dmg;Доп. урон Электро;Additional Electro DMG
feature_burst;anemoskill_hydro_dmg;Доп. урон Гидро;Additional Hydro DMG
feature_burst;anemoskill_pyro_dmg;Доп. урон Пиро;Additional Pyro DMG
feature_burst;atk_bonus;Бонус cилы атаки;ATK Bonus
feature_burst;burst_dmg;Урон взрыва стихий;Elemental Burst Dmg
feature_burst;charged_hit_total;Заряженная (всего);Charged Total
feature_burst;dmg_reduction;Снижение входящего урона;Damage taken reduction
feature_burst;dot_dmg;Периодический урон;DMG over time
feature_burst;field_dmg;Урон поля;Field Dmg
feature_burst;heal;Лечение;Heal
feature_burst;plunge_high;Высокая;Plunge High
feature_burst;plunge_low;Низкая;Plunge Low
feature_burst;shield;Щит;Shield
feature_burst;total_dmg;Урон (всего);Total DMG
feature_burst;wave_dmg;Урон волны;Wave DMG
feature_heal;healing_recv;Бонус получаемого лечения;With Incoming Healing Bonus
feature_other;hydro_dmg_bonus;Бонус Гидро урона;Hydro DMG Bonus
feature_other;sea_dyed_foam_dmg;Урон Пены морских красок;Sea-Dyed Foam DMG
feature_other;shield;Щит;Shield
feature_other;sprint_activation_cost;Стоимость выносливости;Activation Stamina Consumption
feature_other;sprint_stamina_drain;Потребление выносливости;Stamina Drain
feature_other;atk_bonus;Бонус cилы атаки;ATK Bonus
feature_other;burst_dmg_bonus;Бонус урона взрыва стихий;Burst DMG Bonus
feature_other;electro_dmg_bonus;Бонус электро урона;Electro DMG Bonus
feature_other;mastery_bonus;Бонус мастерства стихий;Elemental Mastery Bonus
feature_other;lunarcharged_base_bonus;Базовый урон Лунного заряда;Lunar-Charged Base Bonus
feature_other;lunarbloom_base_bonus;Базовый урон Лунной бутонизации;Lunar-Bloom Base Bonus
feature_other;lunarcrystallize_base_bonus;Базовый урон Лунной кристаллизации;Lunar-Crystallize Base Bonus
feature_other;lunar_base_bonus;Базовый урон Лунных реакций;Lunar reaction Base Bonus
feature_other;heal;Лечение;Heal
feature_reaction;amplifying;Мультипликативные реакции;Amplifying Reactions
feature_reaction;transformative;Трансформативные реакции;Transformative Reactions
feature_reaction;additive;Аддитивные реакции;Additive Reactions
feature_reaction;crystalize;Кристаллизация;Crystallize
feature_reaction;burning;Горение;Burning
feature_reaction;electrocharged;Заряжен;Electro-Charged
feature_reaction;lunar;Лунные реакции;Lunar Reactions
feature_reaction;lunarcharged_contrubution;Вклад в Лунный заряд;Lunar-Charged Contribution
feature_reaction;lunarcharged_contrubution_2;Вклад в Лунный заряд / 2;Lunar-Charged Contribution / 2
feature_reaction;lunarcharged_contrubution_12;Вклад в Лунный заряд / 12;Lunar-Charged Contribution / 12
feature_reaction;lunarcrystallize_contrubution;Вклад в Лунный кристалл;Lunar-Crystallize Contribution
feature_reaction;lunarcrystallize_contrubution_2;Вклад в Лунный кристалл / 2;Lunar-Crystallize Contribution / 2
feature_reaction;lunarcrystallize_contrubution_12;Вклад в Лунный кристалл / 12;Lunar-Crystallize Contribution / 12
feature_reaction;melt;Таяние;Melt
feature_reaction;none;Без реакции;No reaction
feature_reaction;overloaded;Перегрузка;Overloaded
feature_reaction;shatter;Разбит;Shattered
feature_reaction;superconduct;Сверхпроводник;Superconduct
feature_reaction;swirl;Рассеивание;Swirl
feature_reaction;swirl_cryo;Крио рассеивание;Cryo Swirl
feature_reaction;swirl_electro;Электро рассеивание;Electro Swirl
feature_reaction;swirl_electro_aggravate;Рассеивание + Обострение;Aggravate Electro Swirl
feature_reaction;swirl_hydro;Гидро рассеивание;Hydro Swirl
feature_reaction;swirl_pyro;Пиро рассеивание;Pyro Swirl
feature_reaction;vaporize;Пар;Vaporize
feature_reaction;cross_melt_cryo;Перекрёстное Крио таяние;Cross-melt Cryo
feature_reaction;cross_melt_pyro;Перекрёстное Пиро таяние;Cross-melt Pyro
feature_reaction;cross_vaporize_pyro;Перекрёстный пар;Cross-vaporize
feature_reaction;quicken;Стимуляция;Quicken
feature_reaction;spread;Разрастание;Spread
feature_reaction;aggravate;Обострение;Aggravate
feature_reaction;rupture;Взрыв дендро ядра;Dendro core explosion
feature_reaction;burgeon;Цветение;Burgeon
feature_reaction;bloom;Бутонизация;Bloom
feature_reaction;hyperbloom;Вегетация;Hyperbloom
feature_reaction;lunarcharged;Лунный заряд;Lunar-Charged
feature_reaction;lunarbloom;Лунная бутонизация;Lunar-Bloom
feature_reaction;lunarcrystallize;Лунный кристалл;Lunar-Crystallize
