category;name;rus;eng
char_name;albedo;Альбедо;Albedo
talent_name;albedo_tectonic_tide;Ритуал рождения: Тектоническая волна;Rite of Progeniture: Tectonic Tide
talent_descr;albedo_tectonic_tide;<p>name{Альбедо} выпускает перед собой Гео кристаллы, которые взрываются и наносят geo{Гео урон по площади}.<br>Если на поле боя существует созданный самим name{Альбедо} Цветок солнца, то в его зоне генерируются 7 name{Цветков неизбежности}, которые мгновенно расцветают и наносят geo{Гео урон по площади}.<br>Урон от Тектонической волны и name{Цветков неизбежности} не генерирует name{Цветки мимолётности}.</p><p><i>По команде Принца мела тектоническая волна созидания переливается в жизнь.</i></p>;<p>Under name{Albedo}'s command, Geo crystals surge and burst forth, dealing geo{AoE Geo DMG} in front of him.<br>If a name{Solar Isotoma} created by name{Albedo} himself is on the field, 7 name{Fatal Blossoms} will be generated in the name{Solar Isotoma} field, bursting violently into bloom and dealing geo{AoE Geo DMG}.</p><p>Tectonic Tide DMG and Fatal Blossom DMG will not generate name{Transient Blossoms}.</p><p><i>Under the Kreideprinz's command, the tectonic tide of creation seethes into life.</i></p>
talent_name;albedo_favonius_bladework_weiss;Фехтовальный стиль Фавония: Мел;Favonius Bladework - Weiss
talent_descr;albedo_favonius_bladework_weiss;<p>name{Обычная атака:}<br>До пяти быстрых ударов мечом.</p><p>name{Заряженная атака:}<br>Два быстрых взмаха мечом, на которые тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;albedo_solar_isotoma;Абиогенез: Цветок солнца;Abiogenesis: Solar Isotoma
talent_descr;albedo_solar_isotoma;<p>С помощью алхимии name{Альбедо} создаёт Цветок солнца, который наносит geo{Гео урон по площади}.</p><p>name{Цветок солнца} имеет следующие свойства:<br>· Когда противники в зоне с центром на Цветке солнца получают урон, Цветок солнца генерирует name{Цветки мимолётности}, наносящие geo{Гео урон по площади}. Наносимый урон зависит от name{защиты} name{Альбедо}.<br>· name{Цветки мимолётности} могут генерироваться не чаще чем раз в 2 сек.<br>· Когда персонаж встаёт на Цветок солнца, он испускает энергию Гео, чтобы создать кристаллическую платформу, которая поднимает персонажа на определённую высоту. Одновременно может существовать только одна кристаллическая платформа.<br>· Одновременно может существовать только один созданный самим name{Альбедо} Цветок солнца, и он считается geo{Гео конструкцией}.</p><p>name{Долгое нажатие} позволяет выбрать место эффекта навыка.</p><p><i>Необычные свойства этого Гео цветка хорошо отражают цели алхимии. Родиться в земле, стремиться ввысь к небесам и стать солнцем.</i></p>;<p>name{Albedo} creates a name{Solar Isotoma} using alchemy, which deals geo{AoE Geo DMG} on appearance.</p><p>name{Solar Isotoma}<br>has the following properties:<br>·When opponents within the name{Solar Isotoma} field take DMG, the name{Solar Isotoma} will generate name{Transient Blossoms} which deal geo{AoE Geo DMG}. DMG dealt scales off name{Albedo}'s name{DEF}. <br>·name{Transient Blossoms} can only be generated once every 2s.<br>·When a character is located at the locus of the name{Solar Isotoma}, the name{Solar Isotoma} will accumulate Geo power to form a crystallized platform that lifts the character up to a certain height. Only one crystallized platform can exist at a time.<br>·name{Solar Isotoma} is considered a geo{Geo construct}. Only one name{Solar Isotoma} created by name{Albedo} himself can exist at a time. </p><p>name{Hold} to designate the location of the skill.</p><p><i>This Geo bloom has an unusual property mirrored in the aim of alchemy. To rise from the earth, soar into the sky, and become the sun.</i></p>
talent_name;albedo_calcite_might;Превосходство кальцита;Calcite Might
talent_descr;albedo_calcite_might;Увеличивает урон Цветков мимолётности навыка skill{skill:Абиогенез: Цветок солнца} по противникам с name{HP} ниже value{50%} на %{dmg_skill_albedo}.;name{Transient Blossoms} generated by skill{skill:Abiogenesis: Solar Isotoma} deal %{dmg_skill_albedo} more DMG to opponents whose name{HP} is below value{50%}.
talent_name;albedo_homuncular_nature;Гомункулярная природа;Homuncular Nature
