category;name;rus;eng
char_name;alhaitham;Аль-Хайтам;Alhaitham
talent_name;alhaitham_abductive_reasoning;Абдуктивная аргументация;Abductive Reasoning
talent_descr;alhaitham_abductive_reasoning;<p>name{Обычная атака:}<br>До пяти быстрых ударов мечом.</p><p>name{Заряженная атака:}<br>Два быстрых взмаха мечом, на которые тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;alhaitham_rush_attack_dmg;Урон рывка;Rush Attack DMG
feature_skill;alhaitham_projection_attack_interval;Интервал Проекционного удара;Projection Attack Interval
feature_skill;alhaitham_1_mirror_projection_attack_dmg;Урон Проекционного удара 1 Зеркала;1-Mirror Projection Attack DMG
feature_skill;alhaitham_2_mirror_projection_attack_dmg;Урон Проекционного удара 2 Зеркал;2-Mirror Projection Attack DMG
feature_skill;alhaitham_3_mirror_projection_attack_dmg;Урон Проекционного удара 3 Зеркал;3-Mirror Projection Attack DMG
feature_skill;alhaitham_chisel_light_mirror_removal_interval;Интервал исчезновения Зеркал света;Chisel-Light Mirror Removal Interval
talent_name;alhaitham_an_elaboration_on_form;Универсалия: Совершенствование формы;Universality: An Elaboration on Form
talent_descr;alhaitham_an_elaboration_on_form;<p>Совершает рывок, по окончании которого наносит противникам поблизости dendro{Дендро урон} и создаёт name{Зеркало света}.<br>При долгом нажатии способ активации навыка меняется.</p><p>name{Долгое нажатие}<br>Переходит в режим прицеливания, в котором можно выбрать направление рывка name{аль-Хайтама}.</p><p>name{Зеркало света}<br>При активации навыка name{аль-Хайтам} создаёт 1 name{Зеркало света}. Если в данный момент name{Зеркал света} нет, он создаст 1 дополнительное name{Зеркало света}. name{Зеркала света} обладают следующими свойствами:<br>· Когда существуют name{Зеркала света}, обычные атаки, name{заряженные атаки} и name{атаки в падении} name{аль-Хайтама} конвертируются в dendro{Дендро урон}, который не может быть отменён другими инфузиями.<br>· Если такие атаки попадают по противнику, то name{Зеркала света} выполняют Проекционный удар, наносящий dendro{Дендро урон по площади}, размер которого зависит от количества существующих name{Зеркал света}.<br>· Одновременно может существовать до 3 name{Зеркал света}.<br>· Со временем name{Зеркала света} по очереди исчезают. Все зеркала исчезнут, если name{аль-Хайтам} покинет поле боя.</p><p><i>«Истина по своей природе существует среди неопределённости, и даже величайшие умы не застрахованы от ошибок».</i></p>;"<p>Rushes forward, dealing dendro{Dendro DMG} to nearby opponents when the rush ends, causing a name{Chisel-Light Mirror} to form.<br>Holding this skill will cause it to behave differently.</p><p>name{Hold}<br>Enters Aiming Mode to adjust the direction of name{Alhaitham}'s rush attack.</p><p>name{Chisel-Light Mirror}<br>When this skill is unleashed, name{Alhaitham} will generate 1 name{Chisel-Light Mirror}. If there are no Mirrors at this time, he will generate 1 additional name{Mirror}. name{Chisel-Light Mirrors} will have the following properties:<br>·When he possesses name{Chisel-Light Mirrors}, name{Alhaitham}'s name{Normal}, name{Charged}, and name{Plunging Attacks} will be converted to dendro{Dendro DMG}. This cannot be overridden.<br>·When attacks of the aforementioned kind hit opponents, the name{Chisel-Light Mirrors} will unleash a Projection Attack that deals dendro{AoE Dendro DMG} based on the number of Mirrors on the field.<br>·A total of 3 name{Chisel-Light Mirrors} can exist at once.<br>·The name{Chisel-Light Mirrors} will disappear one after the other over time, and will all disappear when name{Alhaitham} leaves the field.</p><p><i>""Truth inherently exists amidst uncertainty. Even the greatest of scholars are not immune to error.""</i></p>"
