category;name;rus;eng
char_name;alyosha;Алёша;Alyosha
talent_name;alyosha_skirmishing_spear;Стремительное копьё;Skirmishing Spear
talent_descr;alyosha_skirmishing_spear;<p>name{Обычная атака:}<br>До четырёх последовательных ударов копьём. Последний выстрел, поразивший врага, накладывает на него skill{n11480001:Метку охотника}.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости и совершает рывок вперёд, нанося врагам на пути урон.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive spear strikes and applies the skill{n11480001:Hunter's Mark} to the opponent hit by the final strike.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to lunge forward, dealing damage to opponents in his path.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;alyosha_hunters_mark_duration;Длительность Метки охотника;Hunter's Mark Duration
feature_skill;alyosha_hunters_precision_atk_bonus;Повышение силы атаки Меткостью охотника;Hunter's Precision ATK Bonus
feature_skill;alyosha_hunters_precision_duration;Длительность Меткости охотника;Hunter's Precision Duration
talent_name;alyosha_thunderbolt_strike;Молниеносная засада;Thunderbolt Strike
talent_descr;alyosha_thunderbolt_strike;<p>Полагаясь на инстинкты охотника, в зависимости от быстрого или долгого нажатия навыка производит разные эффекты и накладывает на поражённого врага skill{n11480001:Метку охотника}.</p><p>name{Быстрое нажатие}<br>Стреляет вперёд, нанося electro{Электро урон по площади}.</p><p>name{Долгое нажатие}<br>Переходит в режим прицеливания и выбирает врагов перед собой в определённом радиусе поблизости. В этом состоянии повышается сопротивление прерыванию name{Алёши}.<br>Когда долгое нажатие прекращается, наносит выбранным врагам electro{Электро урон}.</p><p><i>Однажды безрассудный охотник взобрался на острие копья. Ему посчастливилось пережить кровавый урок, и он постиг непреложные истины выживания на снежных равнинах.</i></p>;<p>Follows his hunter's instincts. Tap or hold to produce different effects as well as apply the skill{n11480001:Hunter's Mark} effect to the hit opponents.</p><p>name{Tapping}<br>Fires at opponents in front of him, dealing electro{AoE Electro DMG}.</p><p>name{Holding}<br>Enters aiming mode, then targets opponents within a certain area in front of him. name{Alyosha}'s Interruption RES is enhanced when in this mode.<br>At the end of the button hold, he deals electro{Electro DMG} to the targeted opponents.</p><p><i>The reckless hunter once reached for the spear's edge, and it was only after they survived a lesson paid in blood that they came to understand the harsh truths of survival on the frozen plains.</i></p>
feature_burst;alyosha_fulgurite_hunting_field_dmg;Урон Охотничьих угодий молний;Fulgurite Hunting Field DMG
feature_burst;alyosha_tugarin_dmg;Урон Тугарина;Tugarin DMG
