category;name;rus;eng
char_name;amber;Эмбер;Amber
talent_name;amber_sharpshooter;Первоклассный стрелок;Sharpshooter
talent_descr;amber_sharpshooter;<p>name{Обычная атака:}<br>До пяти выстрелов из лука.</p><p>name{Заряженная атака:}<br>Более меткий name{прицельный выстрел} с увеличенным уроном.<br>Во время прицеливания наконечник стрелы заряжается огнём. Полностью заряженная огнём стрела наносит pyro{Пиро урон}.</p><p>name{Атака в падении:}<br>Выпускает град стрел в воздухе, которые при приземлении персонажа наносят name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 consecutive shots with a bow.</p><p>name{Charged Attack}<br>Performs a more precise name{Aimed Shot} with increased DMG.<br>While aiming, flames will accumulate on the arrowhead. A fully charged flaming arrow will deal pyro{Pyro DMG}.</p><p>name{Plunging Attack}<br>Fires off a shower of arrows in mid-air before falling and striking the ground, dealing name{AoE DMG} upon impact.</p>
feature_skill;amber_baron_hp;HP куклы;Inherited HP
talent_name;amber_explosive_puppet;Барон Зайчик;Explosive Puppet
talent_descr;amber_explosive_puppet;"<p>На Барона Зайчика всегда можно положиться.</p><p>name{Барон Зайчик:}<br>· Непрерывно дразнит врагов, привлекая их огонь на себя;<br>· name{Макс. HP} Барона Зайчика зависит от name{макс. HP} name{Эмбер};<br>· Если name{Барон Зайчик} уничтожен, либо его время заканчивается, он взрывается, нанося pyro{Пиро урон по площади}.</p><p>name{Долгое нажатие:}<br>Позволяет выбрать направление броска.<br>Чем дольше удерживать кнопку, тем дальше будет бросок.</p><p><i>name{Барон Зайчик} - наследник величественной и весьма запутанной родословной. Насколько запутанной? name{Эмбер} смогла досчитать только до барона Зайчика 893-го, героически пожертвовавшего собой в бою.</i></p>";<p>The ever-reliable name{Baron Bunny} takes the stage.</p><p>name{Baron Bunny}<br>·Continuously taunts the enemy, drawing their fire.<br>·name{Baron Bunny}'s name{HP} scales with name{Amber}'s name{Max HP}.<br>·When destroyed or when its timer expires, name{Baron Bunny} explodes, dealing pyro{AoE Pyro DMG}.</p><p>name{Hold}<br>Adjusts the throwing direction of name{Baron Bunny}.<br>The longer the button is held, the further the throw.</p><p><i>name{Baron Bunny} hails from a storied lineage, but name{Amber} has stopped keeping count since name{Baron Bunny} the 893rd.</i></p>
feature_burst;amber_fiery_rain_dmg_per_wave;Урон одной стрелы;Fiery Rain DMG Per Wave
feature_burst;amber_total_fiery_rain_dmg;Конечный урон;Total Fiery Rain DMG
talent_name;amber_fiery_rain;Огненный дождь;Fiery Rain
talent_descr;amber_fiery_rain;<p>name{Эмбер} выпускает град огненных стрел, который наносит периодический pyro{Пиро урон по площади}.</p><p><i>Говорят, что name{Эмбер} полна горящей страсти, поэтому будьте осторожны, иначе она сожжёт и вас.</i></p>;<p>Fires off a shower of arrows, dealing continuous pyro{AoE Pyro DMG}.</p><p><i>name{Amber}'s passion truly burns hot.</i></p>
talent_name;amber_every_arrow_finds_its_target;Сто стрел - все в цель!;Every Arrow Finds Its Target
talent_descr;amber_every_arrow_finds_its_target;<p>name{Шанс критического попадания} навыка skill{burst:Огненный дождь} увеличивается на %{crit_rate_amber}, а его зона поражения - на %{text_percent_radius}.</p>;<p>Increases the name{CRIT Rate} of skill{burst:Fiery Rain} by %{crit_rate_amber} and widens its AoE by %{text_percent_radius}.</p>
talent_name;amber_precise_shot;Подавляющий огонь;Precise Shot
talent_descr;amber_precise_shot;<p>Прицельные выстрелы по name{уязвимым местам} противника увеличивают name{силу атаки} на %{atk_percent} на 10 сек.</p>;<p>Aimed Shot hits on name{weak points} increase name{ATK} by %{atk_percent} for 10s.</p>
talent_name;amber_one_arrow_to_rule_them_all;Двух зайцев...;One Arrow to Rule Them All
talent_descr;amber_one_arrow_to_rule_them_all;<p>Во время skill{прицельной стрельбы} выпускает по две стрелы за выстрел. Вторая стрела наносит %{text_percent_dmg} от урона первой стрелы.</p>;<p>Fires 2 arrows per skill{Aimed Shot}. The second arrow deals %{text_percent_dmg} of the first arrow's DMG.</p>
talent_name;amber_bunny_triggered;Зайчик активирован;Bunny Triggered
talent_descr;amber_bunny_triggered;<p>name{Барон Зайчик}, свежий и навороченный! Попадание по его ногам полностью заряженным прицельным выстрелом заставляет его моментально взорваться.<br>Такой взрыв наносит дополнительные %{dmg_skill_amber} урона.</p>;<p>name{Baron Bunny}, new and improved! Hitting name{Baron Bunny}'s foot with a fully-charged Aimed Shot manually detonates it.<br>Explosion via manual detonation deals %{dmg_skill_amber} additional DMG.</p>
talent_name;amber_it_burns;Оно горит!;It Burns!
talent_name;amber_its_not_just_any_doll;Это не просто кукла;It's Not Just Any Doll...
talent_descr;amber_its_not_just_any_doll;<p>Уменьшает время отката навыка skill{skill:Барон Зайчик} на %{text_percent_cd}. Также даёт одну дополнительную куклу.</p>;<p>Decreases skill{skill:Explosive Puppet}'s CD by %{text_percent_cd}. Adds 1 additional charge.</p>
talent_name;amber_its_baron_bunny;Взрывная кукла!;It's Baron Bunny!
talent_name;amber_wildfire;Горящие пятки;Wildfire
talent_descr;amber_wildfire;<p>Использование навыка skill{burst:Огненный дождь} увеличивает name{скорость передвижения} всех членов отряда и их name{атаку} на %{atk_percent} в течение 10 сек.</p>;<p>skill{burst:Fiery Rain} increases all party members' name{Movement SPD} by %{move_speed} and name{ATK} by %{atk_percent} for 10s.</p>
