category;name;rus;eng
char_name;arataki_itto;Итто;Arataki Itto
talent_name;arataki_itto_behold_itto_the_evil;Явление короля: Итто Жестокий!;Royal Descent: Behold, Itto the Evil!
talent_descr;arataki_itto_behold_itto_the_evil;<p>Пора показать врагам силу банды Аратаки! На некоторое время Итто позволяет проявиться своему внутреннему Яростному королю óни и использует в бою Канабо короля óни.<br>Этот статус характеризуется следующими свойствами:<br>· Обычные и заряженные атаки, а также атаки в падении наносят geo{Гео урон}. Этот эффект не может быть отменён другими инфузиями.<br>· Увеличивается скорость обычных атак Аратаки Итто, сила атаки возрастает пропорционально его защите.<br>· У Аратаки Итто прибавляется по одному уровню Невероятной силы за попадание по врагу первым или третьим ударом комбо-атаки.<br>· Все виды элементального сопротивления и физ. сопротивление Аратаки Итто снижаются на 20%.</p><p>Статус Яростного короля óни снимается, если Аратаки Итто покидает поле боя.</p><p><i>Величайшая непревзойдённая техника боя (по мнению самого Аратаки). Аратаки Итто ни к чему подражать чему-либо другому, чтобы стать сильнее, ведь он, и никто другой, является самым сильным и самым ужасным óни в мире.</i><br><i>Сёта думает, это очень круто.</i></p>;<p>Time to show 'em the might of the Arataki Gang! For a time, Itto lets out his inner Raging Oni King, wielding his Oni King's Kanabou in battle.<br>This state has the following special properties:<br>· Converts Itto's Normal, Charged, and Plunging Attacks to geo{Geo DMG}. This cannot be overridden.<br>· Increases Itto's Normal Attack SPD. Also increases his ATK based on his DEF.<br>· On hit, the 1st and 3rd strikes of his attack combo will each grant Arataki Itto 1 stack of Superlative Superstrength.<br>· Decreases Itto's Elemental and Physical RES by 20%.</p><p>The Raging Oni King state will be cleared when Itto leaves the field.</p><p><i>This is the pinnacle technique of the ultimate fighting style (according to Itto). It would be pointless for Arataki Itto to reference any other fighting styles to improve his own, for he, and no other, is the strongest, most terrible oni in the land.</i><br><i>Shouta thinks it looks really cool.</i></p>
talent_name;arataki_itto_fight_club_legend;Легенда бойцовского клуба;Fight Club Legend
talent_descr;arataki_itto_fight_club_legend;<p>name{Обычная атака}<br>До четырёх рубящих ударов.<br>При попадании второго удара по врагу персонаж получает 1 ур. эффекта Невероятная сила, при попадании четвёртого удара - 2 ур.<br>Невероятная сила может складываться до 5 раз. При каждом срабатывании длительность обновляется для всех уровней Невероятной силы.</p><p>Кроме этого, комбо обычных атак не сбрасывается в течение короткого периода после запуска элементального навыка Масацу дзэцуги: Взрыв акауси или спринта.</p><p>name{Заряженная атака}<br>Если у персонажа есть Невероятная сила, то, удерживая кнопку заряженной атаки, можно наносить рубящие удары Аратаки кэсагири, не расходуя выносливость. Каждый удар Аратаки кэсагири расходует 1 ур. Невероятной силы. При расходе последнего уровня Невероятной силы Итто наносит особенно мощный удар.<br>Если нет накопленных уровней Невероятной силы, Итто выполняет одиночный рубящий удар Сайтимондзи.</p><p>name{Атака в падении}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит урон по площади.</p>;"<p>name{Normal Attack}<br>Performs up to 4 consecutive strikes.<br>When the 2nd and 4th strikes hit opponents, Itto will gain 1 and 2 stacks of Superlative Superstrength, respectively.<br>Max 5 stacks. Triggering this effect will refresh the current duration of any existing stacks.</p><p>Additionally, Itto's Normal Attack combo does not immediately reset after sprinting or using his Elemental Skill, ""Masatsu Zetsugi: Akaushi Burst!""</p><p>name{Charged Attack}<br>When holding to perform a Charged Attack, Itto unleashes a series of Arataki Kesagiri slashes without consuming Stamina. Instead, each Arataki Kesagiri slash consumes 1 stack of Superlative Superstrength. When the final stack is consumed, Itto delivers a powerful final slash.<br>If no stacks of Superlative Superstrength are available, Itto will perform a single Saichimonji Slash.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground, damaging opponents along the path and dealing AoE DMG upon impact.</p>"
talent_name;arataki_itto_akaushi_burst;Масацу дзэцуги: Взрыв акауси!;Masatsu Zetsugi: Akaushi Burst!
talent_descr;arataki_itto_akaushi_burst;<p>Забрасывает Уси, бычка породы акауси и внештатного бойца банды Аратаки, который наносит врагам geo{Гео урон}! Когда Уси попадает во врага, Аратаки Итто получает 1 ур. Невероятной силы.</p><p>Уси остаётся на поле боя для поддержки:<br>· Уси дразнит врагов, отвлекая их на себя.<br>· Его макс. HP зависит от макс. HP Аратаки Итто.<br>· Когда Уси получает урон, Аратаки Итто получает 1 ур. Невероятной силы (не чаще чем раз в 2 сек.).<br>· Когда у Уси заканчивается HP или время его действия подходит к концу, он убегает, добавляя Аратаки Итто 1 ур. Невероятной силы.</p><p>name{Долгое нажатие}<br>Позволяет отрегулировать направление заброски Уси.</p><p>Уси считается geo{Гео конструкцией}. У Аратаки может быть только один свой Уси одновременно.</p><p><i>Название техники заимствовано из романа Дзюнкити «Онибудо». Правда, там оно звучит немного иначе - Онисацу дзэцуги, «уникальная техника убийства óни». Пришлось немного подправить название и заменить в названии «óни» на «ма» - «нечисть». Во-первых, это позволяет избежать нарушения авторских прав. А во-вторых, Итто ведь и сам óни, так что...</i></p>;"<p>Hurls Ushi, the young akaushi bull and auxiliary member of the Arataki Gang, dealing geo{Geo DMG} to opponents on hit. When Ushi hits opponents, Arataki Itto gains 1 stack of Superlative Superstrength.</p><p>Ushi will remain on the field and provide support in the following ways:<br>· Taunts surrounding opponents and draws their attacks.<br>· Inherits HP based on a percentage of Arataki Itto's Max HP.<br>· When Ushi takes DMG, Arataki Itto gains 1 stack of Superlative Superstrength. Only 1 stack can be gained in this way every 2s.<br>· Ushi will flee when its HP reaches 0 or its duration ends. It will grant Arataki Itto 1 stack of Superlative Superstrength when it leaves.</p><p>name{Hold}<br>Adjust throwing angle.</p><p>Ushi is considered a geo{Geo construct}. Arataki Itto can only deploy 1 Ushi on the field at any one time.</p><p><i>The name of this technique is derived from Onibudou (a light novel series written by Junkichi). However, calling it ""Onisatsu Zetsugi"" probably constitutes copyright infringement — not to mention how Itto himself is an oni and all...</i></p>"
talent_name;arataki_itto_arataki_ichiban;Аратаки итибан;Arataki Ichiban
talent_descr;arataki_itto_arataki_ichiban;Когда name{Аратаки Итто} выполняет серию выпадов name{Аратаки кэсагири}, действуют следующие эффекты:<br>· Каждый выпад увеличивает name{скорость атаки} следующего выпада в серии на %{atk_speed_charged}. Максимальное увеличение скорости атаки - %{text_percent_max}.<br>· Увеличивается сопротивление прерыванию.<br>Эти эффекты исчезают, когда серия прерывается.;When name{Arataki Itto} uses consecutive name{Arataki Kesagiri}, he obtains the following effects:<br>· Each slash increases the name{ATK SPD} of the next slash by %{atk_speed_charged}. Max name{ATK SPD} increase is %{text_percent_max}.<br>· Increases his resistance to interruption.<br>These effects will be cleared once he stops performing consecutive slashes.
talent_name;arataki_itto_bloodline_of_the_crimson_oni;Наследие Багрового Óни;Bloodline of the Crimson Oni
talent_descr;arataki_itto_bloodline_of_the_crimson_oni;Урон name{Аратаки кэсагири} увеличивается на %{text_percent} от name{защиты} name{Аратаки Итто}.;name{Arataki Kesagiri} DMG is increased by %{text_percent} of name{Arataki Itto}'s name{DEF}.
talent_name;arataki_itto_stay_a_while_and_listen_up;Слушай мой наказ;Stay a While and Listen Up
talent_descr;arataki_itto_stay_a_while_and_listen_up;При запуске skill{burst:Явления короля: Итто Жестокий!} name{Аратаки Итто} получает 2 ур. name{Невероятной силы}. Через 1 сек. после запуска name{Аратаки Итто} начинает получать по 1 ур. name{Невероятной силы} каждые 0,5 сек. в течение 1,5 сек.;After using skill{burst:Royal Descent: Behold, Itto the Evil!}, name{Arataki Itto} gains 2 stacks of name{Superlative Superstrength}. After 1s, name{Itto} will gain 1 stack of name{Superlative Superstrength} every 0.5s for 1.5s.
talent_name;arataki_itto_gather_round_its_a_brawl;Все в круг для драки!;Gather 'Round, It's a Brawl!
talent_descr;arataki_itto_gather_round_its_a_brawl;После активации навыка skill{burst:Явление короля: Итто Жестокий!} за каждого члена отряда с элементом geo{Гео} время отката навыка уменьшается на 1,5 сек., а name{Аратаки Итто} восстанавливает 6 ед. name{элементальной энергии}.<br>Этим способом можно снизить откат не более чем на 4,5 сек. и восстановить не более 18 name{ед. энергии}.;After using skill{burst:Royal Descent: Behold, Itto the Evil!}, each party member whose Element is geo{Geo} will decrease that skill's CD by 1.5s and restore 6 name{Energy} to name{Arataki Itto}.<br>CD can be decreased by up to 4.5s in this manner. Max 18 name{Energy} can be restored in this manner.
talent_name;arataki_itto_horns_lowered_coming_through;Быка за рога;Horns Lowered, Coming Through
talent_name;arataki_itto_jailhouse_bread_and_butter;Тюремное угощение;Jailhouse Bread and Butter
talent_descr;arataki_itto_jailhouse_bread_and_butter;После окончания действия статуса name{Яростный король óни} от навыка skill{burst:Явление короля: Итто Жестокий!} на 10 сек. у всех членов отряда поблизости name{защита} повышается на %{def_percent}, name{атака} также повышается на %{atk_percent}.;When the name{Raging Oni King} state caused by skill{burst:Royal Descent: Behold, Itto the Evil!} ends, all nearby party members gain %{def_percent} name{DEF} and %{atk_percent} name{ATK} for 10s.
talent_name;arataki_itto_10_years_of_hanamizaka_fame;10 лет славы Ханамидзаки;10 Years of Hanamizaka Fame
talent_name;arataki_itto_arataki_itto_present;Аратаки Итто к вашим услугам!;Arataki Itto, Present!
talent_descr;arataki_itto_arataki_itto_present;name{Крит. урон} name{заряженных атак} name{Аратаки Итто} повышается на %{crit_dmg_charged}. С вероятностью 50% запуск name{Аратаки кэсагири} не расходует name{Невероятную силу}.;name{Arataki Itto}'s name{Charged Attacks} deal +%{crit_dmg_charged} name{CRIT DMG}. Additionally, when he uses name{Arataki Kesagiri}, he has a 50% chance to not consume stacks of name{Superlative Superstrength}.
