category;name;rus;eng
char_name;baizhu;Бай Чжу;Baizhu
talent_name;baizhu_holistic_revivification;Целостное восстановление;Holistic Revivification
talent_descr;baizhu_holistic_revivification;<p>Входит в состояние Пульсирующей ясности и создаёт Бесшовный щит, который поглощает dendro{Дендро урон} с 250% эффективностью.<br>В этом состоянии Бай Чжу создаёт новый Бесшовный щит каждые 2,5 сек.</p><p>Бесшовный щит восстанавливает HP вашего активного персонажа пропорционально макс. HP Бай Чжу и атакует противников, высвобождая Призрачные артерии, которые наносят dendro{Дендро урон}, в следующих ситуациях:<br>· Когда персонаж находится под защитой Бесшовного щита и создаётся новый Бесшовный щит.<br>· Когда время действия Бесшовного щита завершается или его разбивают.</p><p><i>Если вы сможете понять небо и землю, защитить внутреннюю сущность от внешнего воздействия и сохранить ясность разума, для вас препятствий не останется.</i></p>;<p>Enters the Pulsing Clarity state, creating a Seamless Shield that absorbs dendro{Dendro DMG} with 250% effectiveness.<br>While in this state, Baizhu will generate a new Seamless Shield every 2.5s.</p><p>The Seamless Shield will heal your own active character based on Baizhu's Max HP and attack opponents by unleashing Spiritveins, dealing dendro{Dendro DMG} under the following circumstances:<br>·When a character is under the protection of a Seamless Shield and a new Seamless Shield is generated.<br>·When the Seamless Shield's effects expire, or when it is shattered.</p><p><i>If you can perceive the heavens and the earth, defend against malignant auras with the flow of qi, and keep your mind clear, surely nothing can hinder you.</i></p>
talent_name;baizhu_the_classics_of_acupuncture;Классика иглоукалывания;The Classics of Acupuncture
talent_descr;baizhu_the_classics_of_acupuncture;<p>name{Обычная атака:}<br>До четырёх ударов перед собой, наносящих dendro{Дендро урон}.</p><p>name{Заряженная атака:}<br>Короткое заклинание, наносящее dendro{Дендро урон по площади} впереди, на которое тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Накопив силу Дендро, стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит dendro{Дендро урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 attacks that deal dendro{Dendro DMG} to opponents in front of him.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to deal dendro{AoE Dendro DMG} to opponents in front of him after a short casting time.</p><p>name{Plunging Attack}<br>Calling upon the might of Dendro, Baizhu plunges towards the ground from mid-air, damaging all opponents in his path. Deals dendro{AoE Dendro DMG} upon impact with the ground.</p>
talent_name;baizhu_universal_diagnosis;Универсальная диагностика;Universal Diagnosis
talent_descr;baizhu_universal_diagnosis;<p>Управляет Летучим духом, который летает и атакует противников поблизости, нанося dendro{Дендро урон}.<br>Если дух выполнит 3 атаки или рядом не будет противников, он возвращается и восстанавливает HP всех персонажей поблизости пропорционально макс. HP Бай Чжу.</p><p><i>Врачевателям, способным отличить истинные признаки болезни от ложных, под силу вылечить хворь ещё до проявления её симптомов.</i></p>;<p>Controls a Gossamer Sprite that cruises and attacks nearby opponents, dealing dendro{Dendro DMG}.<br>After it performs 3 attacks or if there are no opponents nearby, the Sprite will return, healing all nearby party members based on Baizhu's Max HP.</p><p><i>Those in the medical field who can read true signs of illness from false ones may even cure people before any symptoms can show.</i></p>
talent_name;baizhu_five_fortunes_forever;Вечный круговорот стихий;Five Fortunes Forever
talent_descr;baizhu_five_fortunes_forever_1;name{Бай Чжу} получает различные эффекты в зависимости от текущего name{HP} вашего активного персонажа:  Если его name{HP} ниже 50%, name{Бай Чжу} получает %{healing} name{бонус лечения}.;name{Baizhu} gains different effects according to the current name{HP} of your current active character: When their name{HP} is less than 50%, name{Baizhu} gains %{healing} name{Healing Bonus}.
talent_descr;baizhu_five_fortunes_forever_2;name{Бай Чжу} получает различные эффекты в зависимости от текущего name{HP} вашего активного персонажа:  Если его name{HP} равно или выше 50%, name{Бай Чжу} получает %{dmg_dendro} бонус dendro{Дендро урона}.;name{Baizhu} gains different effects according to the current name{HP} of your current active character: When their name{HP} is equal to or more than 50%, name{Baizhu} gains %{dmg_dendro} dendro{Dendro DMG Bonus}.
