category;name;rus;eng
char_name;barbara;Барбара;Barbara
talent_name;barbara_whisper_of_water;Шёпот воды;Whisper of Water
talent_descr;barbara_whisper_of_water;<p>name{Обычная атака:}<br>До четырёх ударов пузырями, наносящих hydro{Гидро урон}.</p><p>name{Заряженная атака:}<br>Короткое заклинание, наносящее hydro{Гидро урон по площади}, на которое тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Накопив энергию воды, стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит hydro{Гидро урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 water splash attacks that deal hydro{Hydro DMG}.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to deal hydro{AoE Hydro DMG} after a short casting time.</p><p>name{Plunging Attack}<br>Gathering the might of Hydro, name{Barbara} plunges towards the ground from mid-air, damaging all opponents in her path. Deals hydro{AoE Hydro DMG} upon impact with the ground.</p>
feature_skill;barbara_hp_regeneration_per_hit;Лечение/удар;HP Regeneration Per Hit
feature_skill;barbara_droplet_dmg;Урон пузырей;Droplet DMG
talent_name;barbara_let_the_show_begin;Да начнётся шоу♪;Let the Show Begin♪
talent_descr;barbara_let_the_show_begin;"<p>Создаёт водяные пузыри в форме музыкальных нот, которые складываются в кольцо и наносят hydro{Гидро урон} окружающим врагам, а также накладывают на них статус hydro{Мокрый}.</p><p>name{Кольцо мелодии:}<br>· name{Обычные атаки} name{Барбары} восстанавливают всем членам отряда и ближайшим союзникам определённое количество name{HP}, которое зависит от name{макс. HP} name{Барбары};<br>· name{Заряженная атака} восстанавливает в 4 раза больше name{HP};<br>· Регулярно восстанавливает определённое количество name{HP} вашему активному персонажу;<br>· При касании с союзниками и врагами накладывает на них статус hydro{Мокрый}.</p><p><i> Музыка name{Барбары} - это магия, исцеляющая её спутников.</i></p>";<p>Summons water droplets resembling musical notes that form a name{Melody Loop}, dealing hydro{Hydro DMG} to surrounding opponents and applying the hydro{Wet} status to them.</p><p>name{Melody Loop}<br>·On hit, name{Barbara}'s name{Normal Attacks} heal your own party members and nearby teammates for a certain amount of name{HP}, which scales with name{Barbara}'s name{Max HP}.<br>·On hit, name{Barbara}'s name{Charged Attack} generates 4 times the amount of healing.<br>·Periodically regenerates your own active character's name{HP}.<br>·Applies the hydro{Wet} status to the character and to opponents who come in contact with them.</p><p><i>name{Barbara}'s music is the magic that heals her companions.</i></p>
talent_name;barbara_shining_miracle;Чудесное сияние♪;Shining Miracle♪
talent_descr;barbara_shining_miracle;<p>Восстанавливает всем союзникам и членам отряда определённое количество name{HP}, которое зависит от name{макс. HP} name{Барбары}.</p><p><i>Желание name{Барбары} исцелять придаёт ей уверенности в пении и в бою.</i></p>;<p>Heals your own party members and nearby teammates for a large amount of name{HP} that scales with name{Barbara}'s name{Max HP}.</p><p><i>name{Barbara}'s desire to heal strengthens her will to fight and sing.</i></p>
talent_name;barbara_glorious_season;Урожайный сезон;Glorious Season
talent_descr;barbara_glorious_season;<p>Уменьшает потребление выносливости персонажей в name{Кольце мелодии} навыка skill{skill:Да начнётся шоу♪} на %{stamina_consume}.</p>;<p>The Stamina Consumption of characters within skill{skill:Let the Show Begin♪}'s name{Melody Loop} is reduced by %{stamina_consume}.</p>
talent_name;barbara_encore;На бис;Encore
talent_descr;barbara_encore;<p>Подобранные вашими персонажами name{элементальные сферы} и name{частицы} увеличивают длительность name{Кольца мелодии} навыка skill{skill:Да начнётся шоу♪} на 1 сек.<br>Нельзя увеличить больше чем на 5 сек.</p>;<p>When your active character gains an name{Elemental Orb}/name{Particle}, the duration of the name{Melody Loop} of skill{skill:Let the Show Begin♪} is extended by 1s.<br>The maximum extension is 5s.</p>
talent_name;barbara_gleeful_songs;Баллада счастья;Gleeful Songs
talent_descr;barbara_gleeful_songs;<p>name{Барбара} каждые 10 сек. восстанавливает 1 name{ед. энергии}.</p>;<p>name{Barbara} regenerates 1 name{Energy} every 10s.</p>
talent_name;barbara_vitality_burst;Прилив сил;Vitality Burst
talent_descr;barbara_vitality_burst;"<p>Уменьшает время отката навыка skill{skill:Да начнётся шоу♪} на %{text_percent_cd};<br>Пока навык активен, ваш текущий персонаж получает %{dmg_hydro} бонус hydro{Гидро урона}.</p>";<p>Decreases the CD of skill{skill:Let the Show Begin♪} by %{text_percent_cd}.<br>During the ability's duration, your active character gains a %{dmg_hydro} hydro{Hydro DMG Bonus}.</p>
talent_name;barbara_star_of_tomorrow;Утренняя звезда;Star of Tomorrow
talent_name;barbara_attentiveness_be_my_power;Магия усердия;Attentiveness Be My Power
talent_descr;barbara_attentiveness_be_my_power;<p>При каждом попадании name{заряженной атакой} name{Барбара} восстанавливает 1 name{единицу энергии}.<br>Не более 5 name{ед. энергии} за раз.</p>;<p>Every opponent name{Barbara} hits with her name{Charged Attack} regenerates 1 name{Energy} for her.<br>A maximum of 5 name{energy} can be regenerated in this manner with any one name{Charged Attack}.</p>
talent_name;barbara_the_purest_companionship;Воля к жизни;The Purest Companionship
talent_name;barbara_dedicating_everything_to_you;В твою честь;Dedicating Everything to You
talent_descr;barbara_dedicating_everything_to_you;"<p>Когда член отряда name{Барбары} погибает, и она не находится на поле боя:<br>Автоматически воскрешает павшего персонажа вашего отряда;<br>Восстанавливает его name{HP} до 100%.<br>Может возникнуть раз в 15 мин.</p>";<p>When name{Barbara} is in the party but not on the field, and one of your own party members falls:<br>·Automatically revives the fallen character.<br>·Fully restores the revived character's name{HP} to 100%.<br>This effect can only occur once every 15 mins.</p>
