category;name;rus;eng
char_name;beidou;Бэй Доу;Beidou
talent_name;beidou_oceanborne;По волнам;Oceanborne
talent_descr;beidou_oceanborne;<p>name{Обычная атака:}<br>До пяти рубящих ударов мечом.</p><p>name{Заряженная атака:}<br>Комбо-атака, на которую непрерывно тратится выносливость.<br>После комбо-атаки проводит дополнительную мощную атаку мечом.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех противников на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 consecutive strikes.</p><p>name{Charged Attack}<br>Drains Stamina over time to perform continuous slashes.<br>At the end of the sequence, performs a more powerful slash.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;beidou_base_dmg;Базовый урон;Base DMG
feature_skill;beidou_dmg_bonus_on_hit_taken;Увеличение урона;DMG Bonus on Hit Taken
talent_name;beidou_tidecaller;Призыв волны;Tidecaller
talent_descr;beidou_tidecaller;<p>Обидчик десять раз пожалеет о том, что связался с name{Бэй Доу} и её командой.</p><p>name{Быстрое нажатие:}<br>Накапливая силу молнии, name{Бэй Доу} яростно поднимает свой меч, нанося electro{Электро урон}.</p><p>name{Долгое нажатие:}<br>name{Бэй Доу} поднимает свой меч в качестве щита. Количество поглощаемого урона зависит от name{макс. HP} name{Бэй Доу}.<br>После окончания или прерывания навыка взмахивает мечом, высвобождая накопленную в нём энергию, и наносит electro{Электро урон}.<br>Урон увеличивается в зависимости от количества полученных во время навыка ударов. Два полученных удара дают максимальный бонус урона.<br>Щит name{Бэй Доу} обладает следующими свойствами:<br>· electro{Электро урон} поглощается с эффективностью 250%.<br>· В момент активации накладывает на name{Бэй Доу} electro{эффект Электро}.</p><p><i>Покорите танцующие волны и сверкающие молнии безбрежных морей!</i></p>;<p>Nothing to worry about. Should anyone raise a hand against her or her men, she will avenge it ten-fold with sword and thunder.</p><p>name{Press}<br>Accumulating the power of lightning, name{Beidou} swings her blade forward fiercely, dealing electro{Electro DMG}.</p><p>name{Hold}<br>Lifts her weapon up as a shield. Max DMG absorbed scales off name{Beidou}'s name{Max HP}.<br>Attacks using the energy stored within the greatsword upon release or once this ability's duration expires, dealing electro{Electro DMG}. DMG dealt scales with the number of times name{Beidou} is attacked in the skill's duration. The greatest name{DMG Bonus} will be attained once this effect is triggered twice.<br>The shield possesses the following properties:<br>·Has 250% electro{Electro DMG} Absorption Efficiency.<br>·Applies the electro{Electro element} to name{Beidou} upon activation.</p><p><i>Conquer the high seas! Pursue the waves and chase the storm!</i></p>
feature_burst;beidou_lightning_dmg;Урон цепной молнии;Lightning DMG
talent_name;beidou_stormbreaker;Крушитель бури;Stormbreaker
talent_descr;beidou_stormbreaker;"<p>Воспоминания о битве с великим чудовищем Хай Шанем помогают name{Бэй Доу} создать вокруг себя громовой щит, нанося при этом electro{Электро урон} окружающим противникам.</p><p>name{Громовой щит:}<br>· Попадания name{обычной} и name{заряженной атакой} запускают цепную молнию, которая прыгает с одного противника на другого и наносит им electro{Электро урон};<br>· Повышает устойчивость персонажа к прерыванию атак и уменьшает получаемый им урон;<br>· Запускает не более одной цепной молнии в секунду.</p><p><i>Сила молнии помогла победить ужасного Хай Шаня.</i></p>";<p>Recalling her slaying of the great beast Haishan, name{Beidou} calls upon that monstrous strength and the lightning to create a Thunderbeast's Targe around herself, dealing electro{Electro DMG} to nearby opponents.</p><p>name{Thunderbeast's Targe}<br>·When name{Normal} and name{Charged Attacks} hit, they create a lightning discharge that can jump between opponents, dealing electro{Electro DMG}.<br>·Increases the character's resistance to interruption, and decreases DMG taken.</p><p>A maximum of 1 lightning discharge can be triggered per second.</p><p><i>With a peal of thunder, Haishan is slain.</i></p>
