category;name;rus;eng
char_name;bennett;Беннет;Bennett
talent_name;bennett_strike_of_fortune;Счастливый меч;Strike of Fortune
talent_descr;bennett_strike_of_fortune;<p>name{Обычная атака:}<br>До пяти быстрых ударов мечом.</p><p>name{Заряженная атака:}<br>Два быстрых взмаха мечом, на которые тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех противников на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;bennett_passion_overload;Чрезмерные стремления;Passion Overload
talent_descr;bennett_passion_overload;"<p>name{Беннет} концентрирует на своём клинке весь свой пыл и страсть к приключениям. Результат зависит от уровня его пылающей страсти...</p><p>name{Быстрое нажатие:}<br>Быстрый взмах пылающим мечом, наносящий pyro{Пиро урон}.</p><p>name{Долгое нажатие:}<br>Эффект зависит от уровня заряда навыка.<br>· Уровень заряда 1: Совершает два удара пылающим мечом, которые наносят pyro{Пиро урон} и подбрасывают противников в воздух;<br>· Уровень заряда 2: Совершает три удара пылающим мечом, которые наносят внушительный pyro{Пиро урон}. Последний удар создаёт взрыв, который одновременно подбрасывает в воздух противников и самого name{Беннета}.<br>name{Беннет} не получает урон от взрыва.</p><p><i>Страсть и мечты name{Беннета} смешиваются с огненной стихией. Но иногда страсти слишком много, а огонь слишком горяч.</i></p>";<p>name{Bennett} puts all his fire and passion for adventuring into his sword. Results may vary based on how fired up he is...</p><p>name{Press}<br>A single, swift flame strike that deals pyro{Pyro DMG}.</p><p>name{Hold (Short)}<br>Charges up, resulting in different effects when unleashed based on the Charge Level.<br>·Level 1: Strikes twice, dealing pyro{Pyro DMG} and launching opponents.<br>·Level 2: Unleashes 3 consecutive attacks that deal impressive pyro{Pyro DMG}, but the last attack triggers an explosion that launches both name{Bennett} and the enemy.<br>name{Bennett} takes no damage from being launched.</p><p><i>An attack that combines name{Bennett}'s dreams and passion with Pyro. But passion is sometimes overblown, and Pyro sometimes blows over.</i></p>
feature_burst;bennett_atk_bonus_ratio;Отношение бонуса атаки;ATK Bonus Ratio
talent_name;bennett_fantastic_voyage;Волнительное приключение;Fantastic Voyage
talent_descr;bennett_fantastic_voyage;"<p>name{Беннет} проводит атаку в прыжке, которая наносит pyro{Пиро урон} и создаёт Круг вдохновения.</p><p>name{Круг вдохновения:}<br>· Восстанавливает персонажам в области, name{HP} которых равно или ниже 70%, определённое количество name{HP}, которое зависит от name{макс. HP} name{Беннета};<br>· Если name{HP} персонажа в области выше 70%, то он получает бонус атаки, который зависит от name{базовой атаки} name{Беннета};<br>· Накладывает на персонажей в области pyro{эффект Пиро}.</p><p><i>Искать приключения с Беннетом - весьма опасное занятие, хоть name{Беннет} и любит называть это «приключением, полным красот и волнительных сюрпризов».</i></p>";"<p>name{Bennett} performs a jumping attack that deals pyro{Pyro DMG}, creating an Inspiration Field.</p><p>name{Inspiration Field}<br>·If the health of a character within the AoE is equal to or falls below 70%, their health will continuously regenerate. The amount of name{HP} restored scales off name{Bennett}'s name{Max HP}.<br>·If the health of a character within the AoE is higher than 70%, they gain an name{ATK} Bonus that is based on name{Bennett}'s name{Base ATK}.<br>·Imbues characters within the AoE with pyro{Pyro}.</p><p><i>Benny's Adventure Team's adventures are always fraught with unexpected danger. However, name{Bennett} is more inclined to call them ""journeys full of wonder, excitement, and beauty.""</i></p>"
talent_name;bennett_rekindle;Вспышка страсти;Rekindle
talent_descr;bennett_rekindle;<p>Уменьшает время отката навыка skill{skill:Чрезмерные стремления} на %{text_percent_cd}.</p>;<p>Decreases skill{skill:Passion Overload}'s CD by %{text_percent_cd}.</p>
talent_name;bennett_fearnaught;Храбрая кровь;Fearnaught
talent_descr;bennett_fearnaught;"<p>Находясь в области навыка skill{burst:Волнительное приключение}, навык skill{skill:Чрезмерные стремления} получает следующие свойства:<br>· Уменьшается время отката навыка на %{text_percent_cd};<br>· Уровень заряда 2 не подбрасывает name{Беннета} в воздух.</p>";<p>Within the area created by skill{burst:Fantastic Voyage}, skill{skill:Passion Overload} takes on the following effects:<br>·CD is reduced by %{text_percent_cd}.<br>·name{Bennett} will not be launched by the effects of Charge Level 2.</p>
talent_name;bennett_grand_expectation;Мечты о приключениях;Grand Expectation
talent_descr;bennett_grand_expectation;<p>Увеличение name{силы атаки} навыка skill{burst:Волнительное приключение} больше не имеет ограничений по name{HP}, также навык получает дополнительные %{bonus_bennet_atk} name{базовой атаки} name{Беннета}.</p>;<p>skill{burst:Fantastic Voyage}'s name{ATK} increase no longer has an name{HP} restriction, and gains an additional %{bonus_bennet_atk} of name{Bennett}'s name{Base ATK}.</p>
talent_name;bennett_impasse_conqueror;Тупиковая ситуация;Impasse Conqueror
talent_descr;bennett_impasse_conqueror;<p>Увеличивает name{восстановление энергии} name{Беннета} на %{recharge}, когда его name{HP} падает ниже %{text_percent_hp}.</p>;<p>When name{Bennett}'s name{HP} falls below %{text_percent_hp}, his name{Energy Recharge} is increased by %{recharge}.</p>
