category;name;rus;eng
char_name;candace;Кандакия;Candace
talent_name;candace_wagtails_tide;Священный обряд: Прилив трясогузки;Sacred Rite: Wagtail's Tide
talent_descr;candace_wagtails_tide;<p>Подняв оружие над головой, Кандакия призывает благословение свыше, которое наносит hydro{Гидро урон по площади} пропорционально её name{макс. HP} и предоставляет вашему активному персонажу Молитву алой короны.</p><p>name{Молитва алой короны}<br>Обладает следующими свойствами:<br>· При нанесении name{элементального урона} name{обычной атакой} персонажи наносят повышенный урон.<br>· Персонаж, становясь активным, выпускает водяной вал, который наносит hydro{Гидро урон} врагам поблизости. Количество волн, которые можно вызвать во время действия навыка, ограничено.<br>· Персонаж, владеющий одноручным, двуручным или древковым оружием, во время действия этого эффекта получает hydro{инфузию Гидро}.</p><p><i>Тайный ритуал, передаваемый из поколения в поколение в клане name{Кандакии}. Древние верования давно канули в забвение тысячелетий, но песчаное море всё так же оберегает потомков древнего государства.</i></p>;<p>Raising her weapon on high, name{Candace} calls upon a divine blessing that deals hydro{AoE Hydro DMG} based on her name{Max HP} and continuously confers the name{Prayer of the Crimson Crown} on your active character.</p><p>name{Prayer of the Crimson Crown}<br>This effect has the following properties:<br>·Characters deal increased name{Elemental DMG} with their name{Normal Attacks}.<br>·Whenever a character takes the field, they will unleash a rippling wave of water that deals hydro{Hydro DMG} to nearby opponents. There is a limited number of waves that can be triggered in the duration of this skill.<br>·name{Sword}, name{Claymore}, and name{Polearm}-wielding characters under this effect will obtain a hydro{Hydro Infusion}.</p><p><i>This secret rite has been passed down through name{Candace}'s clan from generation to generation. Though the old faiths have become lost over the years, the sands still protect the heirs of the ancient realm.</i></p>
talent_name;candace_gleaming_spear_guardian_stance;Сверкающее копьё - Оборона;Gleaming Spear - Guardian Stance
talent_descr;candace_gleaming_spear_guardian_stance;<p>name{Обычная атака:}<br>До четырёх ударов копьём.</p><p>name{Заряженная атака:}<br>Выпад, наносящий урон противникам на пути, на который тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive spear strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to lunge forward, dealing damage to opponents along the way.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;candace_herons_sanctum;Священный обряд: Обитель цапли;Sacred Rite: Heron's Sanctum
talent_descr;candace_herons_sanctum;<p>Боевой стиль name{Кандакии} позволяет ей противостоять целой волне врагов.</p><p>name{Быстрое нажатие}<br>Совершает рывок со щитом вперёд, нанося hydro{Гидро урон}.</p><p>name{Долгое нажатие}<br>Поднимает щит, блокируя атаки врагов поблизости, и создаёт барьер. Поглощаемый им урон зависит от максимального name{HP} name{Кандакии}. Барьер поглощает hydro{Гидро урон} с 250% эффективностью. С активацией name{элементального навыка} действие барьера завершится.<br>Если завершить зарядку, удерживая кнопку навыка некоторое время, то, когда кнопка навыка будет отпущена, действие навыка истечёт или барьер будет разрушен, Кандакия выполнит удар в прыжке, который наносит hydro{Гидро урон} противникам впереди.</p><p><i>Клятва стражей прочнее унаследованных ими щитов.</i></p>;<p>name{Candace}'s fighting style is capable of warding off an entire tide of foes.</p><p>name{Tap}<br>Rushes forward with her shield, dealing hydro{Hydro DMG} to opponents in front of her.</p><p>name{Hold}<br>Raises her shield to block incoming attacks from nearby opponents, forming a barrier that absorbs DMG based on her name{Max HP} and absorbs hydro{Hydro DMG} 250% more effectively. This barrier lasts until the name{Elemental Skill} is unleashed.<br>After holding for a certain period of time, name{Candace} will finish charging, and when the skill button is released, the skill duration expires, or when the barrier is broken, she will perform a leaping strike that deals hydro{Hydro DMG} to opponents in front of her.</p><p><i>The oath of the guardians is more stalwart yet than the shields they inherit.</i></p>
talent_name;candace_aegis_of_crossed_arrows;Защита скрещённых стрел;Aegis of Crossed Arrows
talent_descr;candace_aegis_of_crossed_arrows;Если во время зарядки skill{skill:Священного обряда: Обитель цапли} name{Кандакию} атакуют, навык заряжается мгновенно.;If name{Candace} is hit by an attack in the Hold duration of skill{skill:Sacred Rite: Heron's Sanctum}, that skill will finish charging instantly.
talent_name;candace_celestial_dome_of_sand;Песчаный свод небес;Celestial Dome of Sand
talent_descr;candace_celestial_dome_of_sand;Элементальный урон, наносимый name{обычной атакой} персонажей под воздействием name{Молитвы алой короны} skill{burst:Священного обряда: Прилив трясогузки}, увеличивается на 0,5% за каждые 1000 ед. name{макс. HP} name{Кандакии}.;Characters affected by the name{Prayer of the Crimson Crown} caused by skill{burst:Sacred Rite: Wagtail's Tide} will deal 0.5% increased DMG to opponents for every 1,000 points of name{Candace}'s name{Max HP} when they deal name{Elemental DMG} with their name{Normal Attacks}.
talent_name;candace_returning_heiress_of_the_scarlet_sands;Возвращение наследницы алых песков;Returning Heiress of the Scarlet Sands
talent_descr;candace_returning_heiress_of_the_scarlet_sands;Длительность name{Молитвы алой короны} skill{burst:Священного обряда: Прилив трясогузки} увеличивается на 3 сек.;The duration of name{Prayer of the Crimson Crown} effect triggered by skill{burst:Sacred Rite: Wagtail's Tide} is increased by 3s.
talent_name;candace_moon_piercing_brilliance;Пронзающее луну сияние;Moon-Piercing Brilliance
talent_descr;candace_moon_piercing_brilliance;Попадание skill{skill:Священного обряда: Обитель цапли} по врагу увеличивает name{макс. HP} name{Кандакии} на %{hp_percent} на 15 сек.;When skill{skill:Sacred Rite: Heron's Sanctum} hits opponents, name{Candace}'s name{Max HP} will be increased by %{hp_percent} for 15s.
talent_name;candace_hunters_supplication;Подношение охотницы;Hunter's Supplication
talent_name;candace_sentinel_oath;Клятва часового;Sentinel Oath
talent_descr;candace_sentinel_oath;Уменьшает время отката заряженного режима skill{skill:Священного обряда: Обитель цапли}, делая его равным времени отката незаряженного варианта.;Shortens the Hold CD of skill{skill:Sacred Rite: Heron's Sanctum} to be the same as that of the Tapping CD.
talent_name;candace_heterochromatic_gaze;Разноцветные глаза;Heterochromatic Gaze
talent_name;candace_the_overflow;Затопляющий прилив;The Overflow
talent_descr;candace_the_overflow;name{Обычные атаки} персонажей под воздействием name{Молитвы алой короны} skill{burst:Священного обряда: Прилив трясогузки} (кроме самой name{Кандакии}), наносящие name{элементальный урон}, вызывают name{Водяной вал}, который наносит hydro{Гидро урон} по площади, равный %{text_percent_dmg} от name{макс. HP} name{Кандакии}.<br>Эффект может возникнуть не чаще 1 раза в 2,3 сек. Урон водяных валов считается уроном name{взрыва стихии}.;When characters (excluding name{Candace} herself) affected by the name{Prayer of the Crimson Crown} caused by skill{burst:Sacred Rite: Wagtail's Tide} deal name{Elemental DMG} to opponents using name{Normal Attacks}, an attack wave will be unleashed that deals AoE hydro{Hydro DMG} equal to %{text_percent_dmg} of name{Candace}'s name{Max HP}.<br>This effect can trigger once every 2.3s and is considered name{Elemental Burst DMG}.
