category;name;rus;eng
char_name;chasca;Часка;Chasca
talent_name;chasca_soul_reapers_fatal_round;Роковой выстрел ловца душ;Soul Reaper's Fatal Round
talent_descr;chasca_soul_reapers_fatal_round;<p>name{Часка} фокусирует свою волю и выстреливает одну Вихребойную пулю ловца душ, которая наносит anemo{Анемо урон по площади} с характеристикой name{Ночного духа}. После этого Вихребойная пуля ловца душ разделяется на 6 Пуль ловца душ, которые атакуют врагов поблизости.</p><p>name{Пули ловца душ}<br>· Наносят anemo{Анемо урон} с характеристикой name{Ночного духа}.<br>· За каждого pyro{Пиро}, hydro{Гидро}, cryo{Крио} или electro{Электро} персонажа в отряде две Пули ловца душ случайным образом изменяют свой элемент и становятся Сверкающими пулями ловца душ одного из соответствующих элементов, которые наносят урон данного элемента с характеристикой name{Ночного духа}.</p><p><i>Никому не скрыться от шёпота ночи и лунного света, как и ни одному врагу не скрыться от её пристального взгляда.</i></p>;"<p>name{Chasca} concentrates her will, firing a single ""Galesplitting Soulseeker Shell"" that deals Nightsoul-aligned anemo{AoE Anemo DMG}. Afterward, the Galesplitting Soulseeker Shell will split into 6 Soulseeker Shells, which attack nearby opponents.</p><p>name{Soulseeker Shells}<br>·Deal Nightsoul-aligned anemo{Anemo DMG}.<br>·For each pyro{Pyro}, hydro{Hydro}, cryo{Cryo}, or electro{Electro} character in the party, two Soulseeker Shells will undergo corresponding Elemental Conversions to become ""Radiant Soulseeker Shells,"" which deal Nightsoul-aligned name{Elemental DMG} from a randomly selected one of the corresponding Elemental Types.</p><p><i>None can escape from the moonlight or the whispers of the night, just as no foe can flee her attentive eyes once she's got them in her sights.</i></p>"
talent_name;chasca_phantom_feather_flurry;Шквал призрачных перьев;Phantom Feather Flurry
talent_descr;chasca_phantom_feather_flurry;<p>name{Обычная атака:}<br>До четырёх выстрелов из лука.</p><p>name{Заряженная атака:}<br>Более меткий name{прицельный выстрел} с увеличенным уроном.<br>Во время прицеливания на наконечнике стрелы собирается могучий ветер. Полностью заряженная мощью ветра стрела наносит anemo{Анемо урон}.</p><p>name{Атака в падении:}<br>Выпускает град стрел в воздухе, которые при приземлении персонажа наносят name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive shots with a bow.</p><p>name{Charged Attack}<br>Performs a more precise name{Aimed Shot} with increased DMG.<br>While aiming, mighty winds will accumulate on the arrowhead. A fully charged wind arrow will deal anemo{Anemo DMG}.</p><p>name{Plunging Attack}<br>Fires off a shower of arrows in mid-air before falling and striking the ground, hitting opponents along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;chasca_spirit_reins_shadow_hunt;Поводья охоты за тенью;Spirit Reins, Shadow Hunt
talent_descr;chasca_spirit_reins_shadow_hunt;<p>name{Часка} и воля её оружия резонируют, нанося anemo{Анемо урон по площади} с характеристикой name{Ночного духа}.<br>После применения навыка name{Часка} получает 80 очков name{Ночного духа} и входит в состояние name{Благословения Ночного духа}.</p><p>name{Благословение Ночного духа: Часка}<br>Непрерывно расходует очки name{Ночного духа}. Когда они заканчиваются или навык используется повторно, name{Благословение Ночного духа} name{Часки} завершается. У состояния name{Благословения Ночного духа} name{Часки} следующие особенности:<br>· Садится на Орудие духа: Ритуальный посох, что повышает name{скорость передвижения} и сопротивление прерыванию name{Часки}. В этом состоянии name{Часка} непрерывно расходует очки name{Ночного духа} и остаётся в воздухе. Спринт и набор высоты расходуют дополнительные очки name{Ночного духа}.<br>· При выполнении обычной или name{заряженной атаки}, в зависимости от того, было ли использовано быстрое или долгое нажатие, разными способами активируется name{Огонь по множеству целей}.</p><p>name{Огонь по множеству целей}<br>name{Быстрое нажатие}<br>Врагам впереди наносится anemo{Анемо урон} с характеристикой name{Ночного духа}, который считается уроном name{обычной атаки}.<br>name{Долгое нажатие}<br>Переходит в режим прицеливания и отмечает некоторое количество врагов в определённой области и, в зависимости от длительности заряда навыка, заряжает до 6 Пуль охотника на тени. Когда заряжены шесть пуль или зарядка остановлена, эти пули будут по порядку выпущены по выбранным врагам.</p><p>name{Пули охотника на тени}<br>· Наносят anemo{Анемо урон} с характеристикой name{Ночного духа}, который считается уроном name{заряженной атаки}.<br>· В зависимости от элементов других членов отряда 4-я, 5-я и 6-я пули, заряженные в барабан, изменяют свой элемент: за каждого персонажа pyro{Пиро}, hydro{Гидро}, cryo{Крио} или electro{Электро} в отряде одна Пуля охотника на тени в случайном порядке превратится в name{Сияющую пулю охотника на тени} одного из соответствующих элементов, которая наносит урон данного элемента с характеристикой name{Ночного духа}. Такой урон считается уроном name{заряженной атаки}.<br>· name{Пули охотника на тени}, заряженные позже, выстреливаются в первую очередь.</p><p>Кроме того, если удерживать name{элементальный навык} name{Поводья охоты за тенью}, когда name{Часка} пребывает в состоянии name{Благословения Ночного духа}, то она выполнит name{атаку в падении} с характеристикой name{Ночного духа}. Если отпустить кнопку name{элементального навыка}, name{атака в падении} прервётся и name{Часка} останется в воздухе. Если name{Часка}, выполняя name{атаку в падении}, приземлится, то её состояние name{Благословения Ночного духа} завершится.</p><p><i>В принципе, эти поводья могли бы обуздать всё что угодно, была бы на то её воля... Но что может быть круче гигантской пушки?</i></p>;"<p>name{Chasca} and the will residing in her weapon resonate, dealing Nightsoul-aligned anemo{AoE Anemo DMG}.<br>After using this Skill, name{Chasca} gains 80 name{Nightsoul points} and enters the name{Nightsoul's Blessing} state.</p><p>name{Nightsoul's Blessing: Chasca}<br>Continually consume name{Nightsoul points}. When name{Nightsoul points} are fully depleted or the skill is used again, name{Chasca}'s name{Nightsoul's Blessing} state will end. Her name{Nightsoul's Blessing} has the following traits:<br>·Mounts ""Soulsniper: Ritual Staff,"" increasing name{Chasca}'s name{Movement SPD} and interruption resistance. In this state, name{Chasca} will continually consume name{Nightsoul points} to remain airborne. When Sprinting or increasing height, extra name{Nightsoul points} will be consumed.<br>·When using name{Normal} or name{Charged Attacks}, Tap or Hold to switch between using ""name{Multitarget Fire}"" in different ways.</p><p>name{Multitarget Fire}<br>name{Tap}<br>Deal Nightsoul-aligned anemo{Anemo DMG} to opponents in front. This DMG is considered name{Normal Attack DMG}.<br>name{Hold}<br>Enter Aiming Mode and choose a certain number of opponents within a certain range, before loading up to 6 Shadowhunt Shells based on the duration for which the skill was charged. When 6 Shells have been loaded or charging is stopped, these Shells will be fired at the chosen opponents in sequence.</p><p>name{Shadowhunt Shells}<br>·Deal Nightsoul-aligned anemo{Anemo DMG}, which is considered name{Charged Attack DMG}.<br>·The 4th, 5th, and 6th Shells loaded into the cylinder will undergo Elemental Conversion based on the Elemental Types of the other characters in the party: For each pyro{Pyro}, hydro{Hydro}, cryo{Cryo}, or electro{Electro} character in the party, one name{Shadowhunt Shell} will randomly be Converted into a ""Shining name{Shadowhunt Shell}"" of one of these corresponding Elemental Types, dealing Nightsoul-aligned DMG corresponding to that Elemental Type. This DMG is considered name{Charged Attack DMG}.<br>·The Shells loaded into the cylinder are fired starting from the last name{Shadowhunt Shell} to be loaded, in a ""last in, first out"" order.</p><p>Additionally, when name{Chasca} is in the name{Nightsoul's Blessing} state, Holding her name{Elemental Skill} name{Spirit Reins, Shadow Hunt} will cause her to execute a Nightsoul-aligned name{Plunging Attack}. Release the name{Elemental Skill} to interrupt this name{Plunging Attack} and maintain her airborne state. Should name{Chasca} hit the ground with her name{Plunging Attack}, her name{Nightsoul's Blessing} state will end.</p><p><i>In theory, as long as she's willing, those reins can bridle anything... But what could possibly be as cool as a giant hand cannon?</i></p>"
talent_name;chasca_bullet_trick;Трюк с пулей;Bullet Trick
talent_descr;chasca_bullet_trick;Когда заряжается skill{skill:Огонь по множеству целей} name{элементального навыка} skill{skill:Поводья охоты за тенью}, если в отряде есть персонажи, соответствующие условиям смены типа элемента, то, в зависимости от количества разных подходящих элементов, возникают следующие эффекты:<br>· Каждый тип элемента с шансом в 33,3%/66,7%/100% активирует name{Обращение духовной связи}, которое заставляет третью заряженную в барабан skill{skill:Пулю охотника на тени} случайным образом превратиться в skill{skill:Сияющую пулю охотника на тени} одного из соответствующих типов элементов.<br>· Каждый тип элементов наделяет name{Часку} 1 уровнем name{Духа сияющей тени}, повышая урон name{Сияющих пуль охотника на тени} на %{text_percent_dmg_1}/%{text_percent_dmg_2}/%{text_percent_dmg_3}. Этот эффект действует вплоть до завершения текущего name{Огня по множеству целей} и складывается до 3 раз.;"When the name{Elemental Skill} skill{skill:Spirit Reins, Shadow Hunt}'s skill{skill:Multitarget Fire} is being charged, if there are party members who meet the Elemental Conversion Type requirements, gain the following effects based on the number of different eligible Elemental Types present:<br>·There is a 33.3%/66.7%/100% chance for each Type to trigger ""name{Spiritbinding Conversion}"" and cause the 3rd skill{skill:Shadowhunt Shell} loaded into the cylinder to be randomly converted into a skill{skill:Shining Shadowhunt Shell} from one of the corresponding Elemental Types.<br>·Each Elemental Type will grant name{Chasca} 1 stack of name{Spirit of the Radiant Shadow}, increasing the DMG of Shining name{Shadowhunt Shell} by %{text_percent_dmg_1}/%{text_percent_dmg_2}/%{text_percent_dmg_3}. This effect lasts until the current name{Multitarget Fire} ends. Max 3 stacks."
talent_name;chasca_intent_to_cover;Намерение прикрыть;Intent to Cover
