category;name;rus;eng
char_name;chongyun;Чун Юнь;Chongyun
talent_name;chongyun_cloud_parting_star;Духовное лезвие: Падение с небес;Spirit Blade: Cloud-Parting Star
talent_descr;chongyun_cloud_parting_star;<p>С помощью особых жестов name{Чун Юнь} призывает в воздух три гигантских Духовных лезвия, которые после некоторого времени падают на землю один за другим и взрываются.<br>После взрыва name{Духовное лезвие} наносит cryo{Крио урон по площади} и подбрасывает врагов.</p><p><i>«Как лёд обжигает холодом руки, так и мои призрачные мечи сотрясают небо и землю. Услышьте мои призывы и помогите мне!»</i></p>;"<p>Performing the secret hand seals, name{Chongyun} summons 3 giant spirit blades in mid-air that fall to the earth one by one after a short delay, exploding as they hit the ground.<br>When the spirit blades explode, they will deal cryo{AoE Cryo DMG} and launch opponents.</p><p><i>""As ice doth give the biting frost birth, My transcendent blade shakes heaven and earth. Heed my summons and come hence!""</i></p>"
talent_name;chongyun_demonbane;Искоренение зла;Demonbane
talent_descr;chongyun_demonbane;<p>name{Обычная атака:}<br>До четырёх рубящих ударов мечом.</p><p>name{Заряженная атака:}<br>Вращающаяся атака по окружающим врагам, на которую непрерывно тратится выносливость.<br>После вращения проводит дополнительную мощную атаку мечом.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive strikes.</p><p>name{Charged Attack}<br>Drains Stamina over time to perform continuous spinning attacks against all nearby opponents.<br>At the end of the sequence, performs a more powerful slash. </p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;chongyun_chonghuas_layered_frost;Духовное лезвие: Холод Чунхуа;Spirit Blade: Chonghua's Layered Frost
talent_descr;chongyun_chonghuas_layered_frost;<p>name{Чун Юнь} совершает удар мечом по земле, вызывая перед собой в круглой области взрыв холода, который наносит cryo{Крио урон}.<br>Спустя некоторое время холодный воздух, образованный взрывом, собирается в область Холода Чунхуа. Оружие находящихся в этой области персонажей, экипированных name{одноручным} мечом, name{двуручным} мечом или name{древковым оружием}, наделяется cryo{инфузией Крио}.</p><p><i>Кристальный звон, вокруг всё замерло. Реки не текут, застыли облака. Открыты врата алтаря, изгнано зло.</i></p>;"<p>name{Chongyun} strikes the ground with his greatsword, causing a Cryo explosion in a circular AoE in front of him that deals cryo{Cryo DMG}.<br>After a short delay, the cold air created by the Cryo explosion will coalesce into a Chonghua name{Frost Field}, within which all name{Sword}, name{Claymore} and name{Polearm}-wielding characters' weapons will be infused with cryo{Cryo}.</p><p><i>""A crystal-clear ring, and all is silent. The rivers move not, and the clouds are heavy with frost. The altar gates open, and evil is banished.""</i></p>"
talent_name;chongyun_steady_breathing;Ровное дыхание;Steady Breathing
talent_descr;chongyun_steady_breathing;Увеличивает name{скорость обычной атаки} name{одноручным}, name{двуручным} и name{древковым оружием} в области навыка skill{skill:Духовное лезвие: Холод Чунхуа} на %{atk_speed_normal}.;name{Sword}, name{Claymore}, or name{Polearm}-wielding characters within the field created by skill{skill:Spirit Blade: Chonghua's Layered Frost} have their name{Normal} name{ATK SPD} increased by %{atk_speed_normal}.
talent_name;chongyun_rimechaser_blade;Лезвие ледяного хищника;Rimechaser Blade
