category;name;rus;eng
char_name;citlali;Ситлали;Citlali
talent_name;citlali_edict_of_entwined_splendor;Указ светил;Edict of Entwined Splendor
talent_descr;citlali_edict_of_entwined_splendor;<p>Призывает «союзников» из звёздных небес и бескрайней земли, низвергает ледяной шторм на область впереди и наносит cryo{Крио урон по площади} с характеристикой Ночного духа, восстанавливая определённое количество очков Ночного духа Ситлали и призывая в области действия рядом с максимум 3 врагами один name{Духовный сосуд-череп} для каждого из них. Духовный сосуд-череп через некоторое время взрывается, нанося cryo{Крио урон по площади} с характеристикой Ночного духа и восстанавливая определённое количество очков Ночного духа Ситлали.</p><p><i>«Ай, довольно! Хватит про эти тёмные звёзды, опаловые звезды! Ситлалин, Ицпапа, задайте им!»</i></p>;"<p>Summons ""allies"" from the starry skies and the vast earth, hurling forth an ice storm to bombard the area in front and deal Nightsoul-aligned cryo{AoE Cryo DMG}. This restores a set amount of Nightsoul points for Citlali, and also summons a name{Spiritvessel Skull} near a maximum of 3 opponents within the AoE, with 1 Skull for each opponent. Spiritvessel Skulls explode after some time, dealing Nightsoul-aligned cryo{AoE Cryo DMG} and restoring a set amount of Nightsoul points for Citlali.</p><p><i>""Ugh, enough of this 'dark star, opal star' stuff! Citlalin, Itzpapa, get 'em!""</i></p>"
talent_name;citlali_shadow_stealing_spirit_vessel;Духовный сосуд поимки теней;Shadow-Stealing Spirit Vessel
talent_descr;citlali_shadow_stealing_spirit_vessel;<p>name{Обычная атака:}<br>Взывает к тайным искусствам, передаваемым из поколения в поколение Повелителями Ночного Ветра, и выполняет до трёх атак, которые наносят cryo{Крио урон}.</p><p>name{Заряженная атака:}<br>Переходит в режим прицеливания, и когда удерживание прекращается, тратит определённое количество выносливости и в направлении прицеливания выпускает Морозную звезду, которая наносит cryo{Крио урон} врагам на своём пути.</p><p>name{Атака в падении:}<br>Собирает силу Крио и стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит cryo{Крио урон по площади}.</p>;<p>name{Normal Attack}<br>Calls upon secret arts passed down through the Masters of the Night-Wind from generation to generation, performing up to three strikes that deal cryo{Cryo DMG}.</p><p>name{Charged Attack}<br>Enters Aiming Mode, and after Holding, consumes a certain amount of Stamina to call forth a Frost Star that deals cryo{Cryo DMG} to opponents in its path.</p><p>name{Plunging Attack}<br>Gathers the power of Cryo and plunges towards the ground from mid-air, damaging all opponents in her path. Deals cryo{Aoe Cryo DMG} upon impact with the ground.</p>
talent_name;citlali_dawnfrost_darkstar;Тёмная звезда утреннего инея;Dawnfrost Darkstar
talent_descr;citlali_dawnfrost_darkstar;<p>Прибегает к тайным вековым договорам Повелителей Ночного Ветра, развёртывает Опаловый щит и призывает Обсидианового цицимитля Ицпапу, (якобы) невообразимо ужасающее существо, нанося cryo{Крио урон по площади} с характеристикой Ночного духа.<br>Поглощение урона Опаловым щитом зависит от мастерства стихий Ситлали. Он поглощает cryo{Крио урон} с 250% эффективностью. Когда Ситлали развёртывает щит, она кратковременно получает cryo{эффект Крио}.<br>После применения Ситлали получает 24 очка Ночного духа и входит в состояние Благословения Ночного духа.</p><p>name{Благословение Ночного духа: Ситлали}<br>Когда Ицпапа покидает поле, состояние Благословения Ночного духа Ситлали завершается.</p><p>name{Ицпапа}<br>· Следует за персонажем.<br>· Если у Ситлали есть не менее 50 очков Ночного духа, Ицпапа входит в состояние Белого пламени, непрерывно расходует очки Ночного духа и поднимает Морозный ураган, который следует за персонажем и атакует врагов в области его действия, нанося cryo{Крио урон} с характеристикой Ночного духа.<br>· Когда очки Ночного духа исчерпаются, состояние Белого пламени Ицпапы также завершается.</p><p><i>Обычно воли, символизирующие разные небесные тела, не могут сосуществовать - как чисто чёрный может отражаться в абсолютно белом?<br>Однако у Ситлали никогда не было предпочтений в отношении цветов, и в итоге всё так и сложилось.</i></p>;"<p>Invoking secret pacts passed down by her tribe over the millennia, Citlali deploys an Opal Shield and calls forth ""Obsidian Tzitzimitl: Itzpapa,"" a creature that is (reputedly) terrifying beyond compare, dealing Nightsoul-aligned cryo{AoE Cryo DMG}.<br>The Opal Shield's DMG absorption scales based on Citlali's Elemental Mastery, and absorbs cryo{Cryo DMG} with 250% efficiency. When it is deployed, it will cause Citlali to briefly be cryo{affected by Cryo}.<br>After using this skill, Citlali gains 24 Nightsoul points and enters the Nightsoul's Blessing state.</p><p>name{Nightsoul's Blessing: Citlali}<br>When Itzpapa leaves the field, Citlali exits the Nightsoul's Blessing state.</p><p>name{Itzpapa}<br>·Itzpapa will follow the character.<br>·If Citlali has at least 50 Nightsoul points, Itzpapa enters the Opal Fire state and continuously consumes Nightsoul points to whip up a Frostfall Storm that follows the character and attacks opponents within its AoE, dealing Nightsoul-aligned cryo{Cryo DMG}.<br>·When Citlali's Nightsoul points are fully depleted, Itzpapa's Opal Fire state also ends.</p><p><i>Usually, the wills that symbolize different stars cannot coexist, for how can purest black be reflected in purest white?<br>Be that as it may, Citlali has never harbored a particular preference for colors themselves, and that is just how things played out.</i></p>"
talent_name;citlali_mamaloacos_frigid_rain;Холодный дождь Мамалоако;Mamaloaco's Frigid Rain
talent_descr;citlali_mamaloacos_frigid_rain;Когда name{Ицпапа} находится на поле боя, а члены отряда поблизости активируют реакции cryo{Заморозка} или name{Таяние}, то pyro{Пиро} и hydro{Гидро сопротивление} поражённых ими противников снижается на %{enemy_res_pyro} на 12 сек. Кроме того, name{Ситлали} восстанавливает 16 очков name{Ночного духа}. Восстанавливать очки name{Ночного духа} таким способом можно один раз в 8 сек.;While name{Itzpapa} is on the field, after nearby party members trigger the cryo{Frozen} or name{Melt} reactions, the pyro{Pyro} and hydro{Hydro RES} of opponents affected by that reaction decreases by %{enemy_res_pyro} for 12s. Additionally, name{Citlali} will regain 16 name{Nightsoul points}. name{Nightsoul points} can be restored this way once every 8s.
talent_name;citlali_itzpapalotls_star_garments;Звёздное одеяние Ицпапалотль;Itzpapalotl's Star Garments
