category;name;rus;eng
char_name;collei;Коллеи;Collei
talent_name;collei_supplicants_bowmanship;Лук молельщицы;Supplicant's Bowmanship
talent_descr;collei_supplicants_bowmanship;<p>name{Обычная атака:}<br>До четырёх выстрелов из лука.</p><p>name{Заряженная атака:}<br>Более меткий name{прицельный выстрел} с увеличенным уроном.<br>Во время прицеливания наконечник стрелы заряжается стихией Дендро. Полностью заряженная стрела наносит dendro{Дендро урон}.</p><p>name{Атака в падении:}<br>Выпускает град стрел в воздухе, которые при приземлении персонажа наносят name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive shots with a bow.</p><p>name{Charged Attack}<br>Performs a more precise name{Aimed Shot} with increased DMG.<br>While aiming, Dendro energy will accumulate on the arrowhead. A fully charged arrow will deal dendro{Dendro DMG}.</p><p>name{Plunging Attack}<br>Fires off a shower of arrows in mid-air before falling and striking the ground, dealing name{AoE DMG} upon impact.</p>
talent_name;collei_floral_brush;Сметающие цветы;Floral Brush
talent_descr;collei_floral_brush;<p>Бросает name{Цветочное кольцо}, которое наносит однократный dendro{Дендро урон} врагам, с которыми оно соприкоснулось.<br>name{Цветочное кольцо} через некоторое время возвращается и наносит dendro{Дендро урон} ещё раз.</p><p><i>Надёжный инструмент, который помогает name{Коллеи} утихомиривать яростных зверей. После парочки ударов даже самые неистовые из них приходят в полное спокойствие. Он так же хорошо работает и для недружелюбно настроенных людей.</i></p>;<p>Throws out a name{Floral Ring} that deals 1 instance of dendro{Dendro DMG} to targets it comes into contact with.<br>The name{Floral Ring} will return after a set time, dealing dendro{Dendro DMG} once again.</p><p><i>This is name{Collei}'s go-to gadget for dealing with unruly wild beasts. A few good thwacks from this tool will generally improve their behavior. This same principle works just as well on evildoers.</i></p>
feature_burst;collei_leap_dmg;Урон прыжка;Leap DMG
talent_name;collei_trump_card_kitty;Кошачье сокровище;Trump-Card Kitty
talent_descr;collei_trump_card_kitty;"<p>Надёжнейший Куйлейн-Анбар спешит на помощь!<br>Бросает куклу по имени Куйлейн-Анбар, взрыв которой наносит dendro{Дендро урон по площади}, и создаёт зону name{Куйлейн-Анбара}. Куйлейн-Анбар беспрестанно прыгает внутри неё, нанося dendro{Дендро урон по площади}.</p><p><i>«Круто, да? ...А? Как я придумала это имя, ""Куйлейн-Анбар""? Эм, ну, я...»</i></p>";"<p>Trusty name{Cuilein-Anbar} comes to save the day!<br>Throws the doll named name{Cuilein-Anbar}, causing an explosion that deals dendro{AoE Dendro DMG}, creating a name{Cuilein-Anbar} Zone. name{Cuilein-Anbar} will bounce around within this zone, dealing dendro{AoE Dendro DMG}.</p><p><i>""Pretty impressive, huh? ... Eh? You want to know how I came up with the name name{Cuilein-Anbar}? Uh, well, I...""</i></p>"
talent_name;collei_floral_sidewinder;Возвращение цветов;Floral Sidewinder
talent_descr;collei_floral_sidewinder;<p>Ваш персонаж, который до возвращения skill{Цветочного кольца} вызвал pyro{Горение}, dendro{Стимуляцию}, electro{Обострение}, dendro{Разрастание}, dendro{Бутонизацию}, dendro{Вегетацию}, dendro{Цветение} или dendro{Лунную бутонизацию}, по его возвращении получит name{Росток}. Во время его действия враги поблизости будут получать продолжительный dendro{Дендро урон}, равный %{text_percent} от name{силы атаки} name{Коллеи}. Эффект длится 3 сек.<br>При повторной активации name{Ростка} существующий эффект снимается. Нанесённый name{Ростком} урон считается уроном name{элементального навыка}.</p>;<p>If one of your party members has triggered pyro{Burning}, dendro{Quicken}, electro{Aggravate}, dendro{Spread}, dendro{Bloom}, dendro{Hyperbloom}, dendro{Burgeon}, or dendro{Lunar-Bloom} reactions before the skill{Floral Ring} returns, it will grant the character the name{Sprout} effect upon return, which will continuously deal dendro{Dendro DMG} equivalent to %{text_percent} of name{Collei}'s name{ATK} to nearby opponents for 3s.<br>If another name{Sprout} effect is triggered during its initial duration, the initial effect will be removed. DMG dealt by name{Sprout} is considered name{Elemental Skill DMG}.</p>
talent_name;collei_the_languid_wood;Безмолвная чаща;The Languid Wood
talent_descr;collei_the_languid_wood;<p>Когда персонаж в skill{зоне Куйлейн-Анбара} активирует реакции pyro{Горение}, dendro{Стимуляция}, electro{Обострение}, dendro{Разрастание}, dendro{Бутонизация}, dendro{Вегетация}, dendro{Цветение} или dendro{Лунная бутонизация}, длительность зоны увеличивается на 1 сек.<br>Длительность одного и того же skill{burst:Кошачьего сокровища} можно увеличить этим способом до 3 раз.</p>;<p>When a character within the skill{Cuilein-Anbar Zone} triggers pyro{Burning}, dendro{Quicken}, electro{Aggravate}, dendro{Spread}, dendro{Bloom}, dendro{Hyperbloom}, dendro{Burgeon}, or dendro{Lunar-Bloom} reactions, the Zone's duration will be increased by 1s.<br>A single skill{burst:Trump-Card Kitty} can be extended this way by up to 3s.</p>
talent_name;collei_deepwood_patrol;Охрана чащи;Deepwood Patrol
talent_descr;collei_deepwood_patrol;<p>Когда name{Коллеи} в отряде, но не является активным персонажем, её name{восстановление энергии} повышается на %{recharge}.</p>;<p>When in the party and not on the field, name{Collei}'s name{Energy Recharge} is increased by %{recharge}.</p>
talent_name;collei_through_hill_and_copse;По горам и лесам;Through Hill and Copse
talent_descr;collei_through_hill_and_copse;<p>Талант возвышения name{Возвращение цветов} меняется следующим образом:<br>Возвращаясь, skill{Цветочное кольцо} наделяет персонажа эффектом name{Ростка} таланта возвышения name{Возвращение цветов}, нанося врагам поблизости dendro{Дендро урон}, равный %{text_percent} от name{силы атаки} name{Коллеи}, в течение 3 сек.<br>Если с момента использования навыка skill{skill:Сметающие цветы} до завершения текущего name{Ростка} свой персонаж отряда вызывает pyro{Горение}, dendro{Стимуляцию}, electro{Обострение}, dendro{Разрастание}, dendro{Бутонизацию}, dendro{Вегетацию}, dendro{Цветение} или dendro{Лунную бутонизацию}, действие name{Ростка} продлится на 3 сек.<br>Продлить действие name{Ростка} таким способом можно только один раз. При повторной активации name{Ростка} текущий эффект снимается. Урон, наносимый эффектом name{Ростком}, считается уроном name{элементального навыка}.<br>Требуется разблокировать талант возвышения name{Возвращение цветов}.</p>;"<p>The Ascension Talent name{Floral Sidewinder} is changed to this:<br>The skill{Floral Ring} will grant the character the name{Sprout} effect from name{Floral Sidewinder} upon return, dealing %{text_percent} of name{Collei}'s name{ATK} as dendro{Dendro DMG} to nearby opponents for 3s.<br>From the moment of using skill{skill:Floral Brush} to the moment when this instance of name{Sprout} effect ends, if any of your party members triggers pyro{Burning}, dendro{Quicken}, electro{Aggravate}, dendro{Spread}, dendro{Bloom}, dendro{Hyperbloom}, dendro{Lunar-Bloom}, or dendro{Burgeon} reactions, the name{Sprout} effect will be extended by 3s.<br>The name{Sprout} effect can only be extended this way once. If another name{Sprout} effect is triggered during its initial duration, the initial effect will be removed. DMG dealt by name{Sprout} is considered name{Elemental Skill DMG}.<br>You must first unlock the Ascension Talent ""name{Floral Sidewinder}.""</p>"
talent_name;collei_scent_of_summer;Благоухание лета;Scent of Summer
talent_name;collei_gift_of_the_woods;Дар лесов;Gift of the Woods
talent_descr;collei_gift_of_the_woods;<p>Активация skill{burst:Кошачьего сокровища} увеличивает name{мастерство стихий} всех членов отряда поблизости (кроме самой name{Коллеи}) на %{text_value} ед. на 12 сек.</p>;<p>Using skill{burst:Trump-Card Kitty} will increase all nearby characters' name{Elemental Mastery} by %{text_value} for 12s (not including name{Collei} herself).</p>
talent_name;collei_all_embers;Всё как угли;All Embers
talent_name;collei_forest_of_falling_arrows;Лес падающих стрел;Forest of Falling Arrows
talent_descr;collei_forest_of_falling_arrows;<p>Попадание skill{Цветочного кольца} создаёт миниатюрного name{Куйлейн-Анбара}, который наносит dendro{Дендро урон}, равный %{text_percent_dmg} от name{силы атаки} name{Коллеи}.<br>При каждом использовании skill{skill:Сметающих цветов} можно создать только одного миниатюрного name{Куйлейн-Анбара}.</p>;<p>When the skill{Floral Ring} hits, it will create a miniature name{Cuilein-Anbar} that will deal %{text_percent_dmg} of name{Collei}'s name{ATK} as dendro{Dendro DMG}.<br>Each skill{skill:Floral Brush} can only create one such miniature name{Cuilein-Anbar}.</p>
