category;name;rus;eng
char_name;columbina;Коломбина;Columbina
feature_attack;columbina_moondew_cleanse_dmg;Урон Очищения лунной росой;Moondew Cleanse DMG
talent_name;columbina_moondew_cascade;Ливень лунных рос;Moondew Cascade
talent_descr;columbina_moondew_cascade;<p>name{Обычная атака:}<br>Призывает волны лунного сияния и выполняет до трёх атак, наносящих hydro{Гидро урон}.</p><p>name{Заряженная атака:}<br>После прочтения краткого заклинания, на которое тратится определённое количество выносливости, наносит hydro{Гидро урон по площади}.<br>Если у вас есть хотя бы 1 skill{n11190008:Зелёная роса}, name{заряженная атака} Коломбины сменяется на особенную name{заряженную атаку} name{Очищение лунной росой}, которая не расходует выносливость: расходуется 1 Зелёная роса и 3 раза наносится dendro{Дендро урон по площади} врагам впереди. Такой урон считается уроном Лунной бутонизации.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит hydro{Гидро урон по площади}.</p>;<p>name{Normal Attack}<br>Summons Moonlit Tides, performing up to 3 attacks that deal hydro{Hydro DMG}.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to deal hydro{AoE Hydro DMG} after a short casting time.<br>If you have at least 1 skill{n11190008:Verdant Dew}, Columbina's name{Charged Attacks} will be replaced with the special name{Charged Attack} name{Moondew Cleanse}, which will not consume Stamina: Consume 1 Verdant Dew to deal 3 instances of dendro{AoE Dendro DMG} to opponents in front. This DMG is considered Lunar-Bloom DMG.</p><p>name{Plunging Attack}<br>Plunges towards the ground from mid-air, damaging all opponents in her path. Deals hydro{AoE Hydro DMG} upon impact with the ground.</p>
feature_skill;columbina_continuous_dmg;Зыбь тяготения: периодический урон;Gravity Ripple: Continuous DMG
feature_skill;columbina_lunar_charged_dmg;Вмешательство тяготения: урон Лунного заряда;Gravity Interference: Lunar-Charged DMG
feature_skill;columbina_lunar_bloom_dmg;Вмешательство тяготения: урон Лунной бутонизации;Gravity Interference: Lunar-Bloom DMG
feature_skill;columbina_lunar_crystallize_dmg;Вмешательство тяготения: урон Лунного кристалла;Gravity Interference: Lunar-Crystallize DMG
feature_skill;columbina_gravity_limit;Максимум Силы тяготения;Gravity Limit
feature_skill;columbina_gravity_ripple_duration;Длительность Зыби тяготения;Gravity Ripple Duration
talent_name;columbina_eternal_tides;Вечные приливы;Eternal Tides
talent_descr;columbina_eternal_tides;<p>Призывает прилив лунного моря, наносит hydro{Гидро урон по площади} и создаёт skill{n11250001:Зыбь тяготения}.<br>name{Зыбь тяготения} следует за активным персонажем и периодически наносит hydro{Гидро урон по площади} врагам поблизости. Во время действия name{Зыби тяготения}, когда персонажи отряда поблизости вызывают name{Лунные реакции} или наносят ими урон, Коломбина будет получать особую name{Силу тяготения}. Когда она достигает максимума, в зависимости от Лунной реакции, которая принесла Коломбине больше всего name{Силы тяготения}, врагам будет нанесён урон разных типов.<br>name{Лунное знамение - Высшее сияние}: name{Зыбь тяготения} наносит hydro{Гидро урон по большей площади}.</p><p><i>Вечная Луна ходом своим влечёт приливы и отливы. Когда богиня небрежно опускает руку, Первозданное море, океаны и бесчисленные народы откликаются зыбью.</i></p>;<p>Awaken Moonbound Tides, dealing hydro{AoE Hydro DMG} and summoning skill{n11250001:Gravity Ripple}.<br>name{Gravity Ripple} will follow the active character on the field, while continuously dealing hydro{AoE Hydro DMG} to surrounding opponents. While name{Gravity Ripple} is on the field, and nearby party members trigger Lunar reactions or inflict name{Lunar Reaction DMG}, Columbina will accrue a special name{Gravity}. Once Gravity is accumulated to its limit, different types of damage will be dealt to enemies based on the type of Lunar Reaction that has accumulated the most name{Gravity} for Columbina.<br>name{Moonsign: Ascendant Gleam}: name{Gravity Ripple} inflicts hydro{AoE Hydro DMG} over a wider area.</p><p><i>The Eternal Moon's orbit guides the rise and fall of the tides. With a languid motion, the goddess lets her hand fall, drawing forth a ripple across the Primordial Sea, the great ocean, and numberless crowds.</i></p>
feature_burst;columbina_lunar_reaction_dmg_bonus;Повышение урона Лунных реакций;Lunar Reaction DMG Bonus
feature_burst;columbina_lunar_domain_duration;Длительность Владений луны;Lunar Domain Duration
talent_name;columbina_moonlit_melancholy;Тоска во свете луны;Moonlit Melancholy
talent_descr;columbina_moonlit_melancholy;<p>Горы и моря сливаются под непорочным светом молодого месяца, на короткое время превращая местность поблизости во skill{n11250002:Владения луны} и нанося hydro{Гидро урон по площади}.</p><p><i>В древности трёх посланников, объединявших материальный мир со вселенной, называли «Йинкс», что означает «птицеподобные божества».</i></p>;"<p>Hills and tides unite under the silver light of a pristine new moon. Temporarily transforms the surrounding terrain into skill{n11250002:Lunar Domain}, dealing hydro{ AoE Hydro DMG}.</p><p><i>In ancient times, people called the three messengers connecting the material world and the universe ""Iynx,"" which means bird-like gods.</i></p>"
talent_name;columbina_lunacys_lure;Зов лунного безумия;Lunacy's Lure
talent_descr;columbina_lunacys_lure;<p>Активируя skill{n11250001:Вмешательство тяготения}, Коломбина получает эффект Лунного безумия, который на 10 сек. повышает её name{шанс крит. попадания} на 5%. Этот эффект складывается до 3 раз.</p>;<p>When triggering skill{n11250001:Gravity Interference}, Columbina gains the Lunacy effect, increasing her name{CRIT Rate} by value{5%} for 10s. This effect can be stacked up to 3 times.</p>
talent_name;columbina_law_of_the_new_moon;Закон новолуния;Law of the New Moon
