category;name;rus;eng
char_name;cyno;Сайно;Cyno
talent_name;cyno_wolfs_swiftness;Священный обряд: Проворство шакала;Sacred Rite: Wolf's Swiftness
talent_descr;cyno_wolfs_swiftness;<p>Взывает к богам и принимает форму Поклявшегося прокладывать путь.</p><p>name{Поклявшийся прокладывать путь}<br>Конвертирует урон от обычных атак, заряженных атак и атак в падении в electro{Электро урон}, который не может быть отменён другими инфузиями.<br>· Мастерство стихий и сопротивление прерыванию Сайно увеличиваются, и он получает иммунитет к урону от реакции Заряжен.</p><p>Эффект длится максимум 18 сек. и исчезает, если Сайно покидает поле боя.</p><p><i>Тайные обряды древнего государства являются для генерала махаматры окончательным и бесповоротным решением.</i><br><i>Ни прошлому с настоящим, ни бурям и гигантским змеям не под силу поколебать величие закона.</i></p>;<p>Calls upon a divine spirit to indwell him, morphing into the Pactsworn Pathclearer.</p><p>name{Pactsworn Pathclearer}<br>Cyno's Normal, Charged, and Plunging Attacks will be converted to electro{Electro DMG} that cannot be overridden.<br>·Cyno's Elemental Mastery and resistance to interruption will increase, and he gains immunity to Electro-Charged DMG.</p><p>This effect will be canceled when Cyno leaves the field and lasts a maximum of 18s.</p><p><i>The secret rituals passed down within the ancient nation are as a final judgment to the General Mahamatra.</i><br><i>Whether now or in the past, whether great storm or serpent, none shall shake the majesty of the law.</i></p>
talent_name;cyno_invokers_spear;Копьё призывателя;Invoker's Spear
talent_descr;cyno_invokers_spear;<p>name{Обычная атака:}<br>До четырёх ударов копьём.</p><p>name{Заряженная атака:}<br>Выпад, наносящий урон противникам на пути, на который тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит урон по площади.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive spear strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to lunge forward, dealing damage to opponents along the way.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing AoE DMG upon impact.</p>
talent_name;cyno_chasmic_soulfarer;Тайный обряд: Переправляющий души;Secret Rite: Chasmic Soulfarer
talent_descr;cyno_chasmic_soulfarer;<p>Совершает выпад вперёд, нанося противникам на пути electro{Электро урон}.</p><p>Если Сайно находится в состоянии Поклявшегося прокладывать путь, вызванном Священным обрядом: Проворство шакала, то вместо выпада он активирует name{Ритуал погребения}, который низвергает силу молний и наносит electro{Электро урон по площади}, а также продлевает действие Поклявшегося прокладывать путь.</p><p><i>«Решение принято, и тебе ни отвергнуть, ни принять его... Давно уж мы с тобой связаны этим долгом».</i></p>;"<p>Performs a swift thrust, dealing electro{Electro DMG} to opponents along the path.</p><p>When Cyno is under the Pactsworn Pathclearer state triggered by Sacred Rite: Wolf's Swiftness, he will instead unleash a name{Mortuary Rite} that deals thunderous electro{AoE Electro DMG} and extends the duration of Pactsworn Pathclearer.</p><p><i>""This judgment brooks no choice. There is no rejection or acceptance here... We have both long been bound up in this conviction.""</i></p>"
talent_name;cyno_featherfall_judgment;Суд пера;Featherfall Judgment
talent_descr;cyno_featherfall_judgment;Во время действия name{Поклявшегося прокладывать путь} skill{burst:Священного обряда: Проворство шакала} name{Сайно} периодически входит в состояние name{Свидетеля истины}. Активация skill{skill:Тайного обряда: Переправляющий души} в этом состоянии вызывает эффект name{Вынесения приговора}, который повышает урон текущего name{Тайного обряда: Переправляющий души} на %{dmg_skill_cyno} и выпускает 3 name{Молнии бедствия}, наносящие electro{Электро урон} в %{text_percent_dmg} от name{силы атаки} name{Сайно}.<br>Урон name{Молний бедствия} считается уроном name{элементального навыка}.;When name{Cyno} is in the name{Pactsworn Pathclearer} state activated by skill{burst:Sacred Rite: Wolf's Swiftness}, name{Cyno} will enter the name{Endseer} stance at intervals. If he activates skill{skill:Secret Rite: Chasmic Soulfarer} while affected by this stance, he will activate the name{Judication} effect, increasing the DMG of this name{Secret Rite: Chasmic Soulfarer} by %{dmg_skill_cyno}, and firing off 3 name{Duststalker Bolts} that deal %{text_percent_dmg} of name{Cyno}'s name{ATK} as electro{Electro DMG}.<br>name{Duststalker Bolt} DMG is considered name{Elemental Skill DMG}.
talent_name;cyno_authority_over_the_nine_bows;Повелитель девяти луков;Authority Over the Nine Bows
talent_descr;cyno_authority_over_the_nine_bows;Увеличивает следующие показатели урона name{Сайно} в зависимости от его name{мастерства стихий}:<br>· name{Урон обычной атаки} в состоянии name{Поклявшегося прокладывать путь} увеличивается на %{text_percent_dmg} от его name{мастерства стихий}.<br>· Урон name{Молний бедствия} таланта возвышения name{Суд пера} увеличивается на %{text_percent_dmg2} от его name{мастерства стихий}.;name{Cyno}'s DMG values will be increased based on his name{Elemental Mastery} as follows:<br>· name{Pactsworn Pathclearer}'s name{Normal Attack DMG} is increased by %{text_percent_dmg} of his name{Elemental Mastery}.<br>· name{Duststalker Bolt} DMG from his Ascension Talent name{Featherfall Judgment} is increased by %{text_percent_dmg2} of his name{Elemental Mastery}.
talent_name;cyno_unceasing_vigil;Завет: Беспрестанное бдение;Ordinance: Unceasing Vigil
talent_descr;cyno_unceasing_vigil;После активации skill{burst:Священного обряда: Проворство шакала} name{скорость обычной атаки} name{Сайно} повышается на %{atk_speed_normal} на 10 сек. Если во время действия skill{skill:Тайного обряда: Переправляющий души} активируется name{Вынесение приговора} таланта возвышения name{Суд пера}, длительность этого эффекта обновится.<br>Требуется разблокировать талант возвышения name{Суд пера}.;"After using skill{burst:Sacred Rite: Wolf's Swiftness}, name{Cyno}'s name{Normal Attack SPD} will be increased by %{atk_speed_normal} for 10s. If the name{Judication} effect of his Ascension Talent name{Featherfall Judgment} is triggered during skill{skill:Secret Rite: Chasmic Soulfarer}, the duration of this increase will be refreshed.<br>You must first unlock the Ascension Talent ""name{Featherfall Judgment}."""
talent_name;cyno_homecoming_of_spirits;Церемония: Проводы душ;Ceremony: Homecoming of Spirits
talent_descr;cyno_homecoming_of_spirits;Попадание name{Сайно} по врагу name{обычной атакой} увеличивает бонус electro{Электро урона} на %{dmg_electro} на 4 сек. Эффект может возникнуть не чаще 1 раза в 0,1 сек. и складывается до 5 раз.;When name{Cyno}'s name{Normal Attacks} hit opponents, his electro{Electro DMG Bonus} will increase by %{dmg_electro} for 4s. This effect can be triggered once every 0.1s. Max 5 stacks.
talent_name;cyno_lawful_enforcer;Указ: Исполнение наказания;Precept: Lawful Enforcer
talent_name;cyno_forbidding_guard;Строгая мера: Страж запрета;Austerity: Forbidding Guard
talent_descr;cyno_forbidding_guard;name{Сайно}, активируя реакции electro{Заряжен}, electro{Лунный заряд}, cryo{Сверхпроводник}, pyro{Перегрузка}, dendro{Стимуляция}, electro{Обострение}, dendro{Вегетация} или electro{Электро Рассеивание} во время действия name{Поклявшегося прокладывать путь} skill{burst:Священного обряда: Проворство шакала}, восстанавливает 3 name{ед. энергии} всем членам отряда поблизости (кроме самого name{Сайно}).<br>Эффект активируется до 5 раз во время действия одного и того же skill{burst:Священного обряда: Проворство шакала}.;When name{Cyno} is in the name{Pactsworn Pathclearer} state triggered by skill{burst:Sacred Rite: Wolf's Swiftness}, after he triggers an electro{Electro-Charged}, electro{Lunar-Charged}, cryo{Superconduct}, pyro{Overloaded}, dendro{Quicken}, electro{Aggravate}, dendro{Hyperbloom}, or electro{Electro Swirl} reaction, he will restore 3 name{Elemental Energy} for all nearby party members (except himself.)<br>This effect can occur 5 times within one use of skill{burst:Sacred Rite: Wolf's Swiftness}.
talent_name;cyno_the_passing_of_starlight;Погребение: Уходящий свет звёзд;Funerary Rite: The Passing of Starlight
talent_name;cyno_just_scales;Церемония пера: Весы справедливости;Raiment: Just Scales
talent_descr;cyno_just_scales;Использование skill{burst:Священного обряда: Проворство шакала} или активация name{Вынесения приговора} таланта возвышения name{Суд пера} наделяет name{Сайно} 4 уровнями name{Жертвоприношения шакала}. Попав name{обычной атакой}, name{Сайно} расходует 1 уровень name{Жертвоприношения шакала} и выпускает одну name{Молнию бедствия}.<br>name{Жертвоприношение шакала} длится 8 сек. и складывается до 8 раз. С завершением name{Поклявшегося прокладывать путь} name{Священного обряда: Проворство шакала} эффект полностью исчезает.<br>name{Молнию бедствия} таким образом можно выпустить не чаще одного раза в 0,4 сек.<br>Требуется разблокировать талант возвышения name{Суд пера}.;"After using skill{burst:Sacred Rite: Wolf's Swiftness} or triggering the name{Judication} effect of the Ascension Talent ""name{Featherfall Judgment},"" name{Cyno} will gain 4 stacks of the ""name{Day of the Jackal}"" effect. When he hits opponents with name{Normal Attacks}, he will consume 1 stack of ""name{Day of the Jackal}"" to fire off one name{Duststalker Bolt}.<br>""name{Day of the Jackal}"" lasts for 8s. Max 8 stacks. It will be canceled once name{Pactsworn Pathclearer} ends.<br>A maximum of 1 name{Duststalker Bolt} can be unleashed this way every 0.4s.<br>You must first unlock the Ascension Talent ""name{Featherfall Judgment}."""
