category;name;rus;eng
char_name;emilie;Эмилия;Emilie
talent_name;emilie_shadow_hunting_spear_custom;Копьё охоты на тени;Shadow-Hunting Spear (Custom)
talent_descr;emilie_shadow_hunting_spear_custom;<p>name{Обычная атака:}<br>До четырёх последовательных ударов копьём.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости и наносит восходящий удар.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive spear strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to perform an upward slash.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;emilie_level_1_lumidouce_case_attack_dmg;Урон Шкатулки Люмидус ур. 1;Level 1 Lumidouce Case Attack DMG
feature_skill;emilie_level_2_lumidouce_case_attack_dmg;Урон Шкатулки Люмидус ур. 2;Level 2 Lumidouce Case Attack DMG
feature_skill;emilie_lumidouce_case_duration;Длительность Шкатулки Люмидус;Lumidouce Case Duration
talent_name;emilie_fragrance_extraction;Извлечение ароматов;Fragrance Extraction
talent_descr;emilie_fragrance_extraction;<p>Создаёт Шкатулку Люмидус, которая наносит dendro{Дендро урон по площади}.</p><p>name{Шкатулка Люмидус}<br>· Периодически выпускает во врагов поблизости Благоухание чистых рос, нанося dendro{Дендро урон}.<br>· Если поблизости есть враги со статусом Горение, они будут периодически производить Ароматы, собираемые Шкатулкой Люмидус. Таким способом может создаваться 1 name{Аромат} каждые 2 сек. Собрав 2 name{Аромата}, Шкатулка станет уровнем выше, и во время стрельбы она будет дополнительно выпускать ещё одно Благоухание. Кроме того, увеличивается область поражения и урон вышеописанной атаки.<br>· Одновременно может существовать только одна name{Шкатулка Люмидус}, созданная самой name{Эмилией}. Шкатулка при создании обладает первым уровнем и может быть повышена до второго. Если Шкатулка в течение 8 сек. на поле боя не соберёт ни одного name{Аромата}, её уровень вернётся к 1.</p><p>name{Архэ: Пневма}<br>После того как name{Эмилия} создаёт Шкатулку Люмидус таким способом, перед ней периодически появляется пронзающая врагов Игла дыхания душ, которая наносит dendro{Дендро урон} пневмы.</p><p><i>«Мир подобен бесконечной гармонии ароматов, цветов и песен».</i></p>;"<p>Creates a name{Lumidouce Case} that deals dendro{AoE Dendro DMG}.</p><p>name{Lumidouce Case}<br>·Fires Puffs of Puredew at nearby opponents at intervals, dealing dendro{Dendro DMG}.<br>·When nearby opponents are affected by Burning, they will give off name{Scents} at intervals, and 1 name{Scent} can be created this way every 2s. The name{Lumidouce Case} collects nearby name{Scents}. The name{Lumidouce Case} will level up after gathering 2 of them, after which it will fire 1 extra Puff of Puredew when firing, while the DMG dealt by and DMG AoE of the above attack will also be increased.<br>·1 name{Lumidouce Case} created by name{Emilie} herself can exist at any one time. The Case starts at Level 1 and can go up to Level 2. If the Case does not collect any name{Scents} for 8s while it is on the field, it will go back to Level 1.</p><p>name{Arkhe: Pneuma}<br>At intervals, after name{Emilie} creates a name{Lumidouce Case} this way, a Spiritbreath Thorn will descend in front of her and pierce her opponent, dealing Pneuma-aligned dendro{Dendro DMG}.</p><p><i>""The world is an endless harmony of fragrance, color, and song.""</i></p>"
feature_burst;emilie_level_3_lumidouce_case_attack_dmg;Урон Шкатулки Люмидус ур. 3;Level 3 Lumidouce Case Attack DMG
feature_burst;emilie_level_3_lumidouce_case_duration;Длительность Шкатулки Люмидус ур. 3;Level 3 Lumidouce Case Duration
