category;name;rus;eng
char_name;faruzan;Фарузан;Faruzan
talent_name;faruzan_parthian_shot;Парфянский выстрел;Parthian Shot
talent_descr;faruzan_parthian_shot;<p>name{Обычная атака:}<br>До четырёх выстрелов из лука.</p><p>name{Заряженная атака:}<br>Более меткий name{прицельный выстрел} с увеличенным уроном.<br>Во время прицеливания на наконечнике стрелы собирается могучий ветер. Полностью заряженная могучим ветром стрела наносит anemo{Анемо урон}.</p><p>name{Атака в падении:}<br>Выпускает град стрел в воздухе и стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive shots with a bow.</p><p>name{Charged Attack}<br>Performs a more precise name{Aimed Shot} with increased DMG.<br>While aiming, mighty winds will accumulate on the arrowhead. A fully charged wind arrow will deal anemo{Anemo DMG}.</p><p>name{Plunging Attack}<br>Fires off a shower of arrows in mid-air before falling and striking the ground, hitting opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;faruzan_pressurized_collapse_vortex_dmg;Урон воронки Обвала под давлением;Pressurized Collapse Vortex DMG
feature_skill;faruzan_duration;Длительность Проявления бури;Manifest Gale Duration
talent_name;faruzan_wind_realm_of_nasamjnin;Царство ветров насамджнин;Wind Realm of Nasamjnin
talent_descr;faruzan_wind_realm_of_nasamjnin;<p>name{Фарузан} вызывает многогранник, который наносит противникам поблизости anemo{Анемо урон по площади}, и переходит в состояние name{Проявления бури}.<br>Во время действия name{Проявления бури} следующий заряженный прицельный выстрел name{Фарузан} расходует это состояние и превращается в стрелу урагана, которая несёт потоки высокого давления и наносит anemo{Анемо урон}, пропорциональный урону полностью заряженного прицельного Парфянского выстрела.</p><p>name{Обвал под давлением}<br>Стрела урагана накладывает на поражённого врага или персонажа name{Обвал под давлением}. После небольшой задержки эффект исчезает и вызывает воронку, которая наносит anemo{Анемо урон по площади} и притягивает к себе предметы и противников поблизости. Если стрела урагана не попадёт в противников или персонажей, на поражённое ею место будет наложен name{Обвал под давлением}.<br>Урон воронки считается уроном name{элементального навыка}.</p><p><i>Ветра истины поддерживают искателей мудрости, разбивая стены предубеждений.</i></p>;"<p>name{Faruzan} deploys a polyhedron that deals anemo{AoE Anemo DMG} to nearby opponents. She will also enter the name{Manifest Gale} state.<br>While in the name{Manifest Gale} state, name{Faruzan}'s next fully charged shot will consume this state and will become a Hurricane Arrow that contains high-pressure currents. This arrow deals anemo{Anemo DMG} based on the DMG of a fully charged Aimed Shot from ""name{Normal Attack}: Parthian Shot.""</p><p>name{Pressurized Collapse}<br>The Hurricane Arrow will apply a name{Pressurized Collapse} effect to the opponent or character hit. This effect will be removed after a short delay, creating a vortex that deals anemo{AoE Anemo DMG} and pulls nearby objects and opponents in. If the Hurricane Arrow does not hit any opponent or character, it will create a name{Pressurized Collapse} effect at its point of impact.<br>The vortex DMG is considered name{Elemental Skill DMG}.</p><p><i>The winds of truth buffet the spirits of those who seek truth, dispersing the miasma of preconception.</i></p>"
feature_burst;faruzan_anemo_dmg_bonus;Бонус Анемо урона;Anemo DMG Bonus
feature_burst;faruzan_duration_1;Длительность Дара молитвенного ветра;Prayerful Wind's Benefit Duration
feature_burst;faruzan_anemo_res_decrease;Понижение Анемо сопротивления;Anemo RES Decrease
