category;name;rus;eng
char_name;flins;Флинс;Flins
talent_name;flins_pocztowy_demonspear;Демоническое копьё;Pocztowy Demonspear
talent_descr;flins_pocztowy_demonspear;<p>name{Обычная атака:}<br>До пяти последовательных ударов копьём.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости и бросает копьё вперёд.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 consecutive spear strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to perform a forward spear throw.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;flins_northland_spearstorm_dmg;Урон Шторма северных копий;Northland Spearstorm DMG
feature_skill;flins_northland_spearstorm_cd;Время отката Шторма северных копий;Northland Spearstorm CD
feature_skill;flins_manifest_flame_duration;Длительность Явления пламени;Manifest Flame Duration
talent_name;flins_arcane_light;Древний обряд: Тайный свет;Ancient Rite: Arcane Light
talent_descr;flins_arcane_light_1;<p>name{Флинс} призывает древнюю силу, заключённую в его фонаре, и переходит в режим name{Явления пламени}. У этого режима следующие особенности:<br>· Обычная и заряженная атаки Флинса наносят electro{Электро урон}, который не может быть отменён другими инфузиями. Он не может выполнять name{атаки в падении}.<br>· Сопротивление прерыванию Флинса повышается.<br>· Элементальный навык name{Древний обряд: Тайный свет} сменяется на особый name{элементальный навык} name{Шторм северных копий}.</p> <p>name{Шторм северных копий}<br>name{Флинс} призывает град копий перед собой, нанося electro{Электро урон по площади} и на последующие 6 сек. заменяя name{взрыв стихии} name{Древний ритуал: Наступает ночь} на особый name{взрыв стихии} skill{n11200001:Громогласная симфония}.<br>Базовый откат name{Шторма северных копий} составляет 6 сек. и не подвергается влиянию других эффектов.</p> <p><i>«Мы движем прочь снежную завесу неба, мы гоним зимние ветры по пустошам».</i></p>;"<p>name{Flins} summons forth the ancient power concealed within his lamp and switches to his name{Manifest Flame} form. This form has the following characteristics:<br>· name{Flins}'s name{Normal} and name{Charged Attacks} deal electro{Electro DMG} that cannot be overridden by other Elemental infusions, and he is unable to perform name{Plunging Attacks}.<br>· His interruption resistance is increased.<br>· His name{Elemental Skill} name{Ancient Rite: Arcane Light} is replaced with the special name{Elemental Skill} name{Northland Spearstorm}.</p> <p>name{Northland Spearstorm}<br>name{Flins} summons a flurry of spears in front, dealing electro{AoE Electro DMG} and causing his name{Elemental Burst} name{Ancient Ritual: Cometh the Night} to be replaced with the special name{Elemental Burst} skill{n11200001:Thunderous Symphony} for the next 6s.<br>The base CD of name{Northland Spearstorm} is 6s and will not be affected by other effects.</p> <p><i>""We shall part the snow-curtain of the sky, and blast the winter winds across the wasteland.""</i></p>"
talent_descr;flins_arcane_light_2;<p>name{Флинс} призывает древнюю силу, заключённую в его фонаре, и переходит в режим name{Явления пламени}. У этого режима следующие особенности:<br>· Обычная и заряженная атаки Флинса наносят electro{Электро урон}, который не может быть отменён другими инфузиями. Он не может выполнять name{атаки в падении}.<br>· Сопротивление прерыванию Флинса повышается.<br>· Элементальный навык name{Древний обряд: Тайный свет} сменяется на особый name{элементальный навык} name{Шторм северных копий}.</p>;<p>name{Flins} summons forth the ancient power concealed within his lamp and switches to his name{Manifest Flame} form. This form has the following characteristics:<br>· name{Flins}'s name{Normal} and name{Charged Attacks} deal electro{Electro DMG} that cannot be overridden by other Elemental infusions, and he is unable to perform name{Plunging Attacks}.<br>· His interruption resistance is increased.<br>· His name{Elemental Skill} name{Ancient Rite: Arcane Light} is replaced with the special name{Elemental Skill} name{Northland Spearstorm}.</p>
feature_burst;flins_initial_skill_dmg;Исходный урон навыка;Initial Skill DMG
feature_burst;flins_middle_phase_lunar_charged_dmg;Урон промежуточного этапа Лунного заряда;Middle Phase Lunar-Charged DMG
feature_burst;flins_final_phase_lunar_charged_dmg;Урон финального этапа Лунного заряда;Final Phase Lunar-Charged DMG
feature_burst;flins_thunderous_symphony_dmg;Урон Громогласной симфонии;Thunderous Symphony DMG
feature_burst;flins_thunderous_symphony_additional_dmg;Дополнительный урон Громогласной симфонии;Thunderous Symphony Additional DMG
feature_burst;flins_thunderous_symphony_energy_cost;Потребление энергии Громогласной симфонии;Thunderous Symphony Energy Cost
talent_name;flins_cometh_the_night;Древний ритуал: Наступает ночь;Ancient Ritual: Cometh the Night
