category;name;rus;eng
char_name;freminet;Фремине;Freminet
talent_name;freminet_flowing_eddies;Меч водоворотов;Flowing Eddies
talent_descr;freminet_flowing_eddies;<p>name{Обычная атака:}<br>До четырёх ударов.</p><p>name{Заряженная атака:}<br>Вращающаяся атака по окружающим врагам, на которую непрерывно тратится выносливость.<br>После вращения проводит дополнительную мощную атаку мечом.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive strikes.</p><p>name{Charged Attack}<br>Drains Stamina over time to perform continuous spinning attacks against all nearby opponents.<br>At the end of the sequence, performs a more powerful slash. </p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;freminet_upward_thrust_dmg;Урон воздушной атаки;Upward Thrust DMG
feature_skill;freminet_frost_dmg;Урон мороза;Frost DMG
feature_skill;freminet_level_0_shattering_pressure_dmg;Урон 0 уровня Дробящего давления;Level 0 Shattering Pressure DMG
feature_skill;freminet_level_1_shattering_pressure_dmg;Урон 1 уровня Дробящего давления;Level 1 Shattering Pressure DMG
feature_skill;freminet_level_2_shattering_pressure_dmg;Урон 2 уровня Дробящего давления;Level 2 Shattering Pressure DMG
feature_skill;freminet_level_3_shattering_pressure_dmg;Урон 3 уровня Дробящего давления;Level 3 Shattering Pressure DMG
feature_skill;freminet_level_4_shattering_pressure_dmg;Урон 4 уровня Дробящего давления;Level 4 Shattering Pressure DMG
talent_name;freminet_pressurized_floe;Давление дрейфующего льда;Pressurized Floe
