category;name;rus;eng
char_name;furina;Фурина;Furina
talent_name;furina_soloists_solicitation;Приглашение на одиночный танец;Soloist's Solicitation
talent_descr;furina_soloists_solicitation;<p>name{Обычная атака:}<br>Выполняет до четырёх последовательных ударов.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости и начинает одиночный танец, который наносит name{физ. урон} противникам поблизости и меняет вид архэ. Если на поле боя есть участники салона или name{Певец Потоков}, вызванные её name{элементальным навыком} Салон одиноких сердец, то они сменяются на другой тип гостей.</p><p>name{Архэ: Священные и мирские места}<br>С некоторым интервалом, когда name{обычная атака} name{Фурины} попадает по противнику, на его месте, в зависимости от вида архэ name{Фурины}, появляется Игла дыхания душ или Клинок бурных вод, которые наносят соответственно hydro{Гидро урон} пневмы или усии.<br>Когда name{Фурина} выходит на поле боя, у неё архэ усии.</p><p>name{Атака в падении}:<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;"<p>name{Normal Attack}<br>Performs up to 4 consecutive strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash a solo dance, dealing name{Physical DMG} to nearby opponents and changing her Arkhe alignment. If Salon Members or the name{Singer of Many Waters} summoned by her name{Elemental Skill} ""Salon Solitaire"" is present, their lineup will switch in response.</p><p>name{Arkhe: Seats Sacred and Secular}<br>At intervals, when name{Furina}'s name{Normal Attacks} hit, a Spiritbreath Thorn or a Surging Blade will descend based on her current Arkhe alignment, dealing Pneuma- or Ousia-aligned hydro{Hydro DMG}.<br>When name{Furina} takes the field, her starting Arkhe alignment will be Ousia.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>"
feature_skill;furina_ousia_bubble_dmg;Урон пузыря усии;Ousia Bubble DMG
feature_skill;furina_gentilhomme_usher_dmg;Урон Месье Уше;Gentilhomme Usher DMG
feature_skill;furina_surintendante_chevalmarin_dmg;Урон Управляющей Шевальмарин;Surintendante Chevalmarin DMG
feature_skill;furina_mademoiselle_crabaletta_dmg;Урон Мадемуазель Крабалетты;Mademoiselle Crabaletta DMG
feature_skill;furina_gentilhomme_usher_hp_consumption;Потребление HP Месье Уше;Gentilhomme Usher HP Consumption
feature_skill;furina_surintendante_chevalmarin_hp_consumption;Потребление HP Управляющей Шевальмарин;Surintendante Chevalmarin HP Consumption
feature_skill;furina_mademoiselle_crabaletta_hp_consumption;Потребление HP Мадемуазель Крабалетты;Mademoiselle Crabaletta HP Consumption
feature_skill;furina_singer_of_many_waters_healing;Лечение Певца Потоков;Singer of Many Waters Healing
talent_name;furina_salon_solitaire;Салон одиноких сердец;Salon Solitaire
