category;name;rus;eng
char_name;gaming;Ка Мин;Gaming
talent_name;gaming_suannis_gilded_dance;Золотой танец суаньни;Suanni's Gilded Dance
talent_descr;gaming_suannis_gilded_dance;<p>name{Ка Мин} принимает стойку Ушоу, кратковременно приобретает pyro{эффект Пиро}, восстанавливает себе определённое количество name{HP} и призывает надёжного компаньона, суаньни Ман Чая, который врезается в цель и наносит pyro{Пиро урон по площади}.<br>После удара по цели name{Ман Чай} перекатывается в сторону, затем направляется к name{Ка Мину}. Воссоединившись с name{Ка Мином}, name{Ман Чай} покидает поле боя и сбрасывает откат name{элементального навыка} Восхождение благовещего зверя name{Ка Мина}.<br>Когда name{Ка Мин} находится в стойке Ушоу, его сопротивление прерыванию увеличивается, а если name{HP} name{Ка Мина} выше 50%, приземление name{атаки в падении: Ступающий по облакам} или завершение рывка вперёд Восхождения благовещего зверя призывает Ман Чая ещё раз.<br>Одновременно может существовать только 1 призванный самим name{Ка Мином} name{Ман Чай}.<br>Эффект исчезает, когда name{Ка Мин} покидает поле боя.</p><p><i>«Златой зверь, вестник счастья, несёт море огней и процветание! Это и есть жизнь в изобилии!»</i></p>;"<p>name{Gaming} enters Wushou Stance, briefly applying pyro{Pyro} to him, recovering a fixed amount of name{HP}, and summons his companion, the name{Suanni Man Chai}, to smash into his target, dealing pyro{AoE Pyro DMG}.<br>After bashing its target, Man Chai will roll to a nearby location before moving towards name{Gaming}. When it links up with name{Gaming}, Man Chai will leave the field and reset the CD for name{Gaming}'s name{Elemental Skill}, Bestial Ascent.<br>While Wushou Stance is active, his resistance to interruption is increased, and when name{Gaming} lands with Charmed Cloudstrider attack or completes the forward pounce attack from Bestial Ascent with over 50% name{HP}, he will summon Man Chai again.<br>Each name{Gaming} can only have 1 Man Chai on the field simultaneously.<br>This effect will be canceled once name{Gaming} leaves the field.</p><p><i>""The gilded Suanni spits out fortune like a fireworks show! Hey, now that's what's called prosperity, when business is really 'booming'!""</i></p>"
talent_name;gaming_stellar_rend;Разорванные когтями звёзды;Stellar Rend
talent_descr;gaming_stellar_rend;<p>name{Обычная атака:}<br>До четырёх быстрых ударов.</p><p>name{Заряженная атака:}<br>Вращающаяся атака по окружающим врагам, на которую непрерывно тратится выносливость.<br>После вращения проводит дополнительную мощную рубящую атаку.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive strikes.</p><p>name{Charged Attack}<br>Drains Stamina over time to perform continuous spinning attacks against all nearby opponents.<br>At the end of the sequence, performs a more powerful slash. </p><p>Plunging Attack<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;gaming_bestial_ascent;Восхождение благовещего зверя;Bestial Ascent
talent_descr;gaming_bestial_ascent;<p>Выполняет рывок вперёд, используя искусство Ушоу, а после контакта с целью или поверхностью подпрыгивает высоко в воздух.<br>Если name{Ка Мин}, поднявшись с помощью Восхождения благовещего зверя в воздух, мгновенно выполняет name{атаку в падении}, она значительно усиливается, становясь name{атакой в падении}: Ступающий по облакам.</p><p>name{Атака в падении: Ступающий по облакам}<br>Урон атаки в падении Восхождения благовещего зверя конвертируется в pyro{Пиро урон}, который не может быть отменён другими инфузиями. Приземлившись, name{Ка Мин} расходует определённое количество name{HP}. Этот эффект не может опустить name{HP} name{Ка Мина} ниже 10% от его name{макс. HP}.<br>Урон Ступающего по облакам считается уроном атаки в падении.</p><p><i>«Благой зверь скачет и щиплет травы - значит, счастье уже на пороге. Пусть здоровье и богатство придут к нам, а жизнь станет краше!»</i></p>;"<p>Pounces forward using the Wushou arts, leaping high into the air after coming into contact with a target or surface.<br>After name{Gaming} has used Bestial Ascent to rise into the air, if he immediately uses a Plunging Attack, he will use the especially powerful name{Plunging Attack: Charmed Cloudstrider} instead.</p><p>name{Plunging Attack: Charmed Cloudstrider}<br>The DMG from name{Plunging Attacks} caused by Bestial Ascent is converted to pyro{Pyro DMG} that cannot be overridden by other elemental infusions. Upon landing, name{Gaming} will consume a fixed amount of name{HP}. name{Gaming}'s name{HP} cannot be reduced below 10% by this method.<br>Charmed Cloudstrider DMG is considered name{Plunging Attack DMG}.</p><p><i>""Auspicious beasts leap high to pluck the greens — that symbolizes good fortune and knowing how to make some serious green, y'know — so may we all rise to new heights, one step at a time!""</i></p>"
talent_name;gaming_dance_of_amity;Танец мира;Dance of Amity
talent_descr;gaming_dance_of_amity;После попадания name{атаки в падении: Ступающий по облакам} навыка skill{skill:Восхождение благовещего зверя} по противнику name{Ка Мин} раз в 0,2 сек. восстанавливает name{HP} пропорционально %{text_percent_heal} name{макс. HP} name{Ка Мина}. Эффект длится 0,8 сек.;After skill{skill:Bestial Ascent}'s name{Plunging Attack: Charmed Cloudstrider} hits an opponent, name{Gaming} will regain %{text_percent_heal} of his name{Max HP} once every 0.2s for 0.8s.
talent_name;gaming_air_of_prosperity;Дух благоденствия;Air of Prosperity
talent_descr;gaming_air_of_prosperity_1;Когда name{HP} name{Ка Мина} опускается ниже 50%, он получает %{healing_recv} name{бонус получаемого лечения}.;When name{Gaming} has less than 50% name{HP}, he will receive a %{healing_recv} name{Incoming Healing Bonus}.
talent_descr;gaming_air_of_prosperity_2;Если name{HP} name{Ка Мина} равно или выше 50%, урон name{атаки в падении: Ступающий по облакам} увеличивается на %{dmg_skill_gaming}.;When name{Gaming} has 50% name{HP} or more, name{Plunging Attack: Charmed Cloudstrider} will deal %{dmg_skill_gaming} more DMG.
talent_name;gaming_bringer_of_blessing;Несущий благословение;Bringer of Blessing
talent_descr;gaming_bringer_of_blessing;name{Ман Чай} skill{burst:Золотого танца суаньни}, воссоединяясь с name{Ка Мином}, восстанавливает ему %{text_percent_heal} name{HP}.;When the name{Suanni Man Chai} from skill{burst:Suanni's Gilded Dance} meets back up with name{Gaming}, it will heal %{text_percent_heal} of name{Gaming}'s name{HP}.
talent_name;gaming_plum_blossoms_underfoot;Цветы сливы под ногами;Plum Blossoms Underfoot
talent_descr;gaming_plum_blossoms_underfoot;Когда name{Ка Мин} получает лечение с избытком, его name{сила атаки} повышается на %{atk_percent} на 5 сек.;When name{Gaming} receives healing and this instance of healing overflows, his name{ATK} will be increased by %{atk_percent} for 5s.
talent_name;gaming_awakening_spirit;Пробуждающийся дух;Awakening Spirit
talent_name;gaming_soar_across_mountains;Паря над облаками;Soar Across Mountains
talent_descr;gaming_soar_across_mountains;Попадания name{атаки в падении: Ступающий по облакам} навыка skill{skill:Восхождение благовещего зверя} по противнику восстанавливают name{Ка Мину} 2 name{ед. энергии}. Этот эффект может возникнуть один раз в 0,2 сек.;When skill{skill:Bestial Ascent}'s name{Plunging Attack: Charmed Cloudstrider} hits an opponent, it will restore 2 name{Energy} to name{Gaming}. This effect can be triggered once every 0.2s.
talent_name;gaming_evil_daunting_roar;Устрашающий зло рёв;Evil-Daunting Roar
talent_name;gaming_to_tame_all_beasts;Приручить всех зверей;To Tame All Beasts
talent_descr;gaming_to_tame_all_beasts;Повышает name{шанс крит. попадания} name{атаки в падении: Ступающий по облакам} навыка skill{skill:Восхождение благовещего зверя} на %{crit_rate_gaming}, name{крит. урон} - на %{crit_dmg_gaming}, а также увеличивает радиус атаки.;skill{skill:Bestial Ascent}'s name{Plunging Attack: Charmed Cloudstrider} name{CRIT Rate} increased by %{crit_rate_gaming} and name{CRIT DMG} increased by %{crit_dmg_gaming}, and its attack radius will be increased.
