category;name;rus;eng
char_name;ganyu;Гань Юй;Ganyu
feature_attack;ganyu_frostflake;Урон стрелы-снежинки;Frostflake Arrow DMG
feature_attack;ganyu_frostflake_bloom;Урон цветения стрелы;Frostflake Arrow Bloom DMG
talent_name;ganyu_liutian_archery;Небесная стрела;Liutian Archery
talent_descr;ganyu_liutian_archery;"<p>name{Обычная атака:}<br>До шести выстрелов из лука.</p><p>name{Заряженная атака:}<br>Более меткий name{прицельный выстрел} с увеличенным уроном.<br>Во время прицеливания наконечник стрелы заряжается ледяной аурой. Эффект зависит от длительности заряда стрелы:<br>· Уровень заряда 1: Выпускает ледяную стрелу, наносящую cryo{Крио урон};<br>· Уровень заряда 2: Выпускает стрелу-снежинку, наносящую cryo{Крио урон}. При попадании name{стрела-снежинка} расцветает и наносит cryo{Крио урон по площади}.</p><p>name{Атака в падении:}<br>Выпускает град стрел в воздухе, которые при приземлении персонажа наносят name{урон по площади}.</p>";<p>name{Normal Attack}<br>Performs up to 6 consecutive shots with a bow.</p><p>name{Charged Attack}<br>Performs a more precise name{Aimed Shot} with increased DMG.<br>While aiming, an icy aura will accumulate on the arrowhead before the arrow is fired. Has different effects based on how long the energy has been charged:<br>·Charge Level 1: Fires off an icy arrow that deals cryo{Cryo DMG}.<br>·Charge Level 2: Fires off a name{Frostflake Arrow} that deals cryo{Cryo DMG}. The name{Frostflake Arrow} blooms after hitting its target, dealing cryo{AoE Cryo DMG}.</p><p>name{Plunging Attack}<br>Fires off a shower of arrows in mid-air before falling and striking the ground, dealing name{AoE DMG} upon impact.</p>
feature_skill;ganyu_lotus_hp;HP лотоса;Inherited HP
talent_name;ganyu_trail_of_the_qilin;След цилиня;Trail of the Qilin
talent_descr;ganyu_trail_of_the_qilin;"<p>name{Гань Юй} отпрыгивает назад, оставив перед собой Ледяной лотос, который наносит cryo{Крио урон по площади}.</p><p>name{Ледяной лотос:}<br>· Привлекает атаки врагов на себя;<br>· name{Макс. HP} Ледяного лотоса зависит от name{макс. HP} name{Гань Юй};<br>· Если Ледяной лотос уничтожен, либо его время заканчивается, он распускается, нанося cryo{Крио урон по площади}.</p><p><i>«Говоришь, видел меня? Должно быть, ты ошибся. В тот вечер я задержалась на работе».</i></p>";"<p>Leaving a single Ice Lotus behind, name{Ganyu} dashes backward, shunning all impurity and dealing cryo{AoE Cryo DMG}.</p><p>name{Ice Lotus}<br>·Continuously taunts surrounding opponents, attracting them to attack it.<br>·Endurance scales based on name{Ganyu}'s name{Max HP}.<br>·Blooms profusely when destroyed or once its duration ends, dealing cryo{AoE Cryo DMG}.</p><p><i>""You saw me, you say? You must be mistaken. I was working overtime then.""</i></p>"
feature_burst;ganyu_ice_shard_dmg;Урон ледяных осколков;Ice Shard DMG
talent_name;ganyu_celestial_shower;Небесный дождь;Celestial Shower
