category;name;rus;eng
char_name;gorou;Горо;Gorou
talent_name;gorou_forward_unto_victory;Дзюга: Вперёд к победе;Juuga: Forward Unto Victory
talent_descr;gorou_forward_unto_victory;<p>Демонстрируя свой талант полководца, Горо наносит geo{Гео урон по площади} и создаёт область Влияния генерала для поддержки соратников.</p><p>name{Влияние генерала}<br>Обладает следующими свойствами:<br>· Даёт те же эффекты, что элементальный навык «Всесторонняя защита Инудзаки», в зависимости от количества geo{Гео} персонажей в отряде на момент запуска. Область перемещается вместе с активным персонажем.<br>· Каждые 1,5 сек. запускает Кристальный обвал, нанося geo{Гео урон по площади}.<br>· Каждые 1,5 сек. 1 элементальный осколок, созданный реакцией Кристалл притягивается к активному персонажу.</p><p>Если при запуске Влияния генерала на поле есть установленный самим Горо Боевой штандарт генерала, штандарт исчезает. Если Горо запускает элементальный навык Всесторонняя защита Инудзаки во время действия Влияния генерала, Боевой штандарт не создаётся.<br>Собственный эффект Влияния генерала Горо исчезает, если Горо повержен.</p><p><i>«Преимущество у нас!» - чтобы одержать победу, Горо может в некоторой степени изменять рельеф поля боя. Благодаря этому он выстоял во множестве битв против превосходящих сил противника.</i></p>;"<p>Displaying his valor as a general, Gorou deals geo{AoE Geo DMG} and creates a field known as General's Glory to embolden his comrades.</p><p>name{General's Glory}<br>This field has the following properties:<br>· Like the General's War Banner created by Inuzaka All-Round Defense, provides buffs to active characters within the skill's AoE based on the number of geo{Geo} characters in the party. Also moves together with your active character.<br>· Generates 1 Crystal Collapse every 1.5s that deals geo{AoE Geo DMG} to 1 opponent within the skill's AoE.<br>· Pulls 1 elemental shard in the skill's AoE to your active character's position every 1.5s (elemental shards are created by Crystallize reactions).</p><p>If a General's War Banner created by Gorou currently exists on the field when this ability is used, it will be destroyed. In addition, for the duration of General's Glory, Gorou's Elemental Skill ""Inuzaka All-Round Defense"" will not create the General's War Banner.<br> If Gorou falls, the effects of General's Glory will be cleared.</p><p><i>""We have the high ground!"" Gorou can ever so slightly change the terrain of the battlefield to help win victory. This technique has seen him through many battles against seemingly superior opposition.</i></p>"
talent_name;gorou_ripping_fang_fletching;Клыкастое оперение;Ripping Fang Fletching
talent_descr;gorou_ripping_fang_fletching;<p>name{Обычная атака}<br>До четырёх выстрелов из лука.</p><p>name{Заряженная атака}<br>Более меткий name{прицельный выстрел} с увеличенным уроном.<br>Во время прицеливания стрела накапливает энергию земли. Полностью заряженная энергией земли стрела наносит geo{Гео урон}.</p><p>name{Атака в падении}<br>Выпускает град стрел, которые при приземлении персонажа наносят урон по площади.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive shots with a bow.</p><p>name{Charged Attack}<br>Performs a more precise name{Aimed Shot} with increased DMG.<br>While aiming, stone crystals will accumulate on the arrowhead. A fully charged crystalline arrow will deal geo{Geo DMG}.</p><p>name{Plunging Attack}<br>Fires off a shower of arrows in mid-air before falling and striking the ground, dealing AoE DMG upon impact.</p>
talent_name;gorou_inuzaka_all_round_defense;Всесторонняя защита Инудзаки;Inuzaka All-Round Defense
talent_descr;gorou_inuzaka_all_round_defense;<p>Наносит geo{Гео урон по площади} и устанавливает Боевой штандарт генерала.</p><p>name{Боевой штандарт генерала}<br>Даёт усиления активному персонажу в области действия штандарта в зависимости от числа персонажей geo{Гео} в отряде:<br>· Если в отряде есть один персонаж Гео, даётся эффект Стойкость, увеличивающий защиту.<br>· При наличии двух персонажей Гео в отряде действует Крепость: к эффекту Стойкости добавляется сопротивление прерыванию.<br>· Три персонажа Гео в отряде дают эффект Ярость: к прошлым эффектам прибавляется geo{бонус Гео урона}.</p><p>Горо не может установить больше одного своего Боевого штандарта генерала на поле боя одновременно. Персонажи могут одновременно использовать эффекты только одного Боевого штандарта генерала. Эффект области действует в течение 2 сек. после выхода из области.</p><p>name{Долгое нажатие}<br>Используется для выбора места действия навыка.</p><p><i>«Займите места в этом построении, и мы будем в безопасности - я гарантирую это!» - как генерал и настоящий лидер Горо меньше всего хочет, чтобы те, кто следует за ним, пострадали.</i></p>;"<p>Deals geo{AoE Geo DMG} and sets up a General's War Banner.</p><p>name{General's War Banner}<br>Provides up to 3 buffs to active characters within the skill's AoE based on the number of geo{Geo} characters in the party at the time of casting:<br>· 1 Geo character: Adds ""Standing Firm"" - DEF Bonus.<br>· 2 Geo characters: Adds ""Impregnable"" - Increased resistance to interruption.<br>· 3 Geo characters: Adds ""Crunch"" - geo{Geo DMG Bonus}.</p><p>Gorou can deploy only 1 General's War Banner on the field at any one time. Characters can only benefit from 1 General's War Banner at a time. When a party member leaves the field, the active buff will last for 2s.</p><p>name{Hold}<br>Adjust the location of the skill.</p><p><i>""Take up this formation and we'll be safe — I guarantee it!"" As a general and a leader of troops, the last thing Gorou wants is to see is those who follow him getting hurt.</i></p>"
talent_name;gorou_heedless_of_the_wind_and_weather;Бросая вызов стихии;Heedless of the Wind and Weather
talent_descr;gorou_heedless_of_the_wind_and_weather;В течение 12 сек. после запуска навыка skill{burst:Дзюга: Вперёд к победе} name{защита} всех членов отряда поблизости увеличивается на %{def_percent}.;After using skill{burst:Juuga: Forward Unto Victory}, all nearby party members' name{DEF} is increased by %{def_percent} for 12s.
talent_name;gorou_a_favor_repaid;Ответная услуга;A Favor Repaid
talent_descr;gorou_a_favor_repaid;Урон атак name{Горо} увеличивается пропорционально его защите:<br>· Урон навыка skill{skill:Всесторонняя защита Инудзаки} повышается на %{text_percent_1} name{защиты}.<br>· Урон навыка skill{burst:Дзюга: Вперёд к победе} и кристального обвала увеличивается на %{text_percent_2} name{защиты}.;name{Gorou} receives the following DMG Bonuses to his attacks based on his name{DEF}:<br>· skill{skill:Inuzaka All-Round Defense}: Skill DMG increased by %{text_percent_1} of name{DEF}<br>· skill{burst:Juuga: Forward Unto Victory}: Skill DMG and name{Crystal Collapse} DMG increased by %{text_percent_2} of name{DEF}
