category;name;rus;eng
char_name;hu_tao;Ху Тао;Hu Tao
talent_name;hu_tao_spirit_soother;Упокоение духов;Spirit Soother
talent_descr;hu_tao_spirit_soother;<p>Приказывает пылающему духу атаковать, нанося pyro{Пиро урон} по большой площади.<br>При попадании по врагу восстанавливает некоторый процент макс. HP Ху Тао. Этот эффект может активироваться до 5 раз, в зависимости от количества задетых противников.<br>Если HP Ху Тао равно или ниже 50% в момент попадания по противнику, наносимый урон и количество восстановленного HP увеличиваются.</p><p><i>Сверхъестественная активность тех, кто уже покинул этот мир, является источником больших переживаний в похоронном бюро «Ваншэн». В подобных случаях кремация всегда помогает Ху Тао обрести душевный покой. Чем больше она тревожится, тем сильнее пламя.</i></p>;<p>Commands a blazing spirit to attack, dealing pyro{Pyro DMG} in a large AoE.<br>Upon striking the enemy, regenerates a percentage of Hu Tao's Max HP. This effect can be triggered up to 5 times, based on the number of enemies hit.<br>If Hu Tao's HP is below or equal to 50% when the enemy is hit, both the DMG and HP Regeneration are increased.</p><p><i>Supernatural activity by those who have already left this world is a source of great anxiety for the Wangsheng Funeral Parlor. In such cases, cremation always lets Hu Tao find peace of mind. The more anxious she feels, the stronger the flame.</i></p>
talent_name;hu_tao_secret_spear_of_wangsheng;Скрытое копьё «Ваншэн»;Secret Spear of Wangsheng
talent_descr;hu_tao_secret_spear_of_wangsheng;<p>name{Обычная атака:}<br>До шести ударов копьём.</p><p>name{Заряженная атака:}<br>Выпад, наносящий урон противникам на пути, на который тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит урон по площади.</p>;<p>name{Normal Attack}<br>Performs up to 6 consecutive spear strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to lunge forward, dealing damage to opponents along the way.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing AoE DMG upon impact.</p>
talent_name;hu_tao_guide_to_afterlife;Путеводитель по загробной жизни;Guide to Afterlife
talent_descr;hu_tao_guide_to_afterlife;<p>Лишь непоколебимое пламя может очистить этот мир.<br>Ху Тао потребляет определённое количество HP, откидывает окружающих её противников и входит в состояние Танец бабочки.</p><p>name{Танец бабочки:}<br>· Сила атаки Ху Тао в этом состоянии увеличивается в зависимости от её макс. HP. Полученный таким образом бонус силы атаки не может превышать 400% от базовой силы атаки Ху Тао.<br>· Конвертирует урон от атак в pyro{Пиро урон}, этот эффект не может быть отменён какой-либо элементальной инфузией.<br>· Заряженные атаки накладывают на врагов эффект Кровавого цветка.<br>· Повышает сопротивление Ху Тао к прерыванию.</p><p>name{Кровавый цветок:}<br>Противники с эффектом Кровавого цветка будут получать pyro{Пиро урон} каждые 4 сек., который считается уроном элементального навыка.<br>Каждый противник может иметь только один эффект Кровавого цветка, и его длительность может быть обновлена только самой Ху Тао.</p><p>name{Танец бабочки} заканчивается, если истёк срок действия, Ху Тао покинула поле боя или повержена.</p><p><i>Техника скрытого копья Ху Тао основывается на нескольких правилах, первое из которых гласит: «На тот свет дорогу открывает копьё, идут вслед за бабочками умерших души».</i></p>;"<p>Only an unwavering flame can cleanse the impurities of this world.<br>Hu Tao consumes a set portion of her HP to knock the surrounding enemies back and enter the Paramita Papilio state.</p><p>name{Paramita Papilio}<br>·Increases Hu Tao's ATK based on her Max HP at the time of entering this state. ATK Bonus gained this way cannot exceed 400% of Hu Tao's Base ATK.<br>·Converts attack DMG to pyro{Pyro DMG}, which cannot be overridden by any other elemental infusion.<br>·Charged Attacks apply the Blood Blossom effect to the enemies hit.<br>·Increases Hu Tao's resistance to interruption.</p><p>name{Blood Blossom}<br>Enemies affected by Blood Blossom will take pyro{Pyro DMG} every 4s. This DMG is considered Elemental Skill DMG.<br>Each enemy can be affected by only one Blood Blossom effect at a time, and its duration may only be refreshed by Hu Tao herself.</p><p>name{Paramita Papilio} ends when its duration is over, or Hu Tao has left the battlefield or fallen.</p><p><i>Hu Tao's Secret Spear technique is based on several rules, the first of which is: ""The spear opens the path to the afterlife, and the butterflies bridge this world and the next.""</i></p>"
talent_name;hu_tao_flutter_by;Порхай как бабочка;Flutter By
talent_descr;hu_tao_flutter_by;После окончания состояния skill{skill:Танец бабочки} навыка skill{skill:Путеводитель по загробной жизни} name{шанс крит. попадания} всех членов отряда (кроме самой name{Ху Тао}) увеличивается на %{text_percent} в течение 8 сек.;When a skill{skill:Paramita Papilio} state activated by skill{skill:Guide to Afterlife} ends, all allies in the party (excluding name{Hu Tao} herself) will have their name{CRIT Rate} increased by %{text_percent} for 8s.
talent_name;hu_tao_sanguine_rouge;Кровавая сангина;Sanguine Rouge
