category;name;rus;eng
char_name;iansan;Иансан;Iansan
talent_name;iansan_the_three_principles_of_power;Три принципа силы;The Three Principles of Power
talent_descr;iansan_the_three_principles_of_power;<p>Ударом ног name{Иансан} «Силой» сокрушает землю, нанося electro{Электро урон по площади} с характеристикой name{Ночного духа}. Затем она извлекает драгоценный name{Измеритель кинетической энергии} (для тренировок, лимитированная версия).<br>Во время применения навыка name{Иансан} получает 15 очков name{Ночного духа} и входит в состояние name{Благословения Ночного духа}.<br>Когда name{Измеритель кинетической энергии} покидает поле, состояние name{Благословения Ночного духа} name{Иансан} завершается.</p><p>name{Измеритель кинетической энергии}<br>name{Измеритель кинетической энергии} следует за персонажем и, в зависимости от количества очков name{Ночного духа} name{Иансан}, разными способами повышает name{силу атаки} активного персонажа вашего отряда:<br>· Если у name{Иансан} менее 42 очков name{Ночного духа}, получаемый бонус name{силы атаки} пропорционален её очкам name{Ночного духа} и name{силе атаки}.<br>· Если у name{Иансан} не менее 42 очков name{Ночного духа}, name{Измеритель кинетической энергии} переключается в режим «Пламенная поддержка!», в котором даётся более высокий бонус name{силы атаки}, пропорциональный name{силе атаки} name{Иансан}.<br>Кроме того, во время своего действия name{Измеритель кинетической энергии} регистрирует расстояние, пройденное текущим активным членом вашего отряда (кроме самой name{Иансан}) и раз в секунду восстанавливает очки name{Ночного духа} name{Иансан} пропорционально расстоянию, пройденному в течение предыдущей секунды.<br>name{Измеритель кинетической энергии} исчезает, когда завершается состояние name{Благословения Ночного духа} name{Иансан}, или через 1 сек. вне боя. Пока name{Измеритель кинетической энергии} активен, состояние name{Благословения Ночного духа} name{Иансан} не завершается даже когда она неактивна.</p><p><i>«Сила - не дар природы, а результат непрерывных усилий. Сила требует правильного подхода».</i></p>;"<p>name{Iansan}'s stomping foot shatters the very earth with ""Power,"" dealing Nightsoul-aligned electro{AoE Electro DMG}. She then whips out her ""Limited-Edition Kinetic name{Energy} name{Scale} (For Workouts).""<br>When this Skill is used, name{Iansan} will gain 15 name{Nightsoul points} and enter the name{Nightsoul's Blessing} state.<br>When the Kinetic name{Energy} name{Scale} leaves the field, name{Iansan}'s name{Nightsoul's Blessing} state will end.</p><p>name{Kinetic Energy Scale}<br>The Kinetic name{Energy} name{Scale} will follow the character around, boosting the name{ATK} of your current active party member in different ways based on name{Iansan}'s name{Nightsoul points}.<br>· If name{Iansan} has less than 42 name{Nightsoul points}, the name{ATK} bonus will be based on her name{Nightsoul points} and name{ATK}.<br>· If name{Iansan} has at least 42 name{Nightsoul points}, the Kinetic name{Energy} name{Scale} will switch to the ""Ardent Support!"" state, in which the name{ATK} bonus will be stronger and based on her name{ATK} alone.<br>Additionally, the name{Scale} will log the distance your current active character (excluding name{Iansan}) has moved so long as it is active, restoring name{Nightsoul points} to name{Iansan} every second based on the distance moved in the previous second.<br>The name{Scale} will disappear once her name{Nightsoul's Blessing} state ends. It will also disappear after 1 second when you are not in a state of combat. While it is active, name{Iansan}'s name{Nightsoul's Blessing} state will not end even if she is not on the field.</p><p><i>""Power is not about natural talent. Power stems from unceasing practice. Power must be exercised correctly.""</i></p>"
talent_name;iansan_weighted_spike;Укол с отягощением;Weighted Spike
talent_descr;iansan_weighted_spike;<p>name{Обычная атака:}<br>До трёх ударов копьём.</p><p>name{Заряженная атака:}<br>Выпад, наносящий урон противникам на пути, на который тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p><p>name{Благословение Ночного духа: Громовое нисхождение}<br>Когда name{Иансан} пребывает в состоянии name{Благословения Ночного духа}, её name{заряженная атака} превращается в мощное name{Громовое нисхождение}: она расходует определённое количество выносливости и яростно бьёт ногами землю перед собой, нанося electro{Электро урон по площади} с характеристикой name{Ночного духа}.</p>;<p>name{Normal Attack}<br>Performs up to 3 consecutive spear strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to lunge forward, dealing damage to opponents along the way.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p><p>name{Nightsoul State: Swift Stormflight}<br>While in the name{Nightsoul's Blessing} state: name{Iansan}'s name{Charged Attack} will be transformed into the formidable name{Swift Stormflight}, consuming a certain amount of Stamina to stomp fiercely down, dealing Nightsoul-aligned electro{AoE Electro DMG}.</p>
talent_name;iansan_thunderbolt_rush;Молниеносный натиск;Thunderbolt Rush
talent_descr;iansan_thunderbolt_rush;<p>name{Иансан} совершает выпад вперёд и наносит врагам на пути electro{Электро урон} с характеристикой name{Ночного духа}.<br>После применения навыка name{Иансан} восстанавливает 54 очка name{Ночного духа} и входит в состояние name{Благословения Ночного духа}. Если в течение 5 сек. после окончания рывка использовать name{обычную атаку}, то name{Иансан} быстро совершит одно name{Громовое нисхождение}, не расходуя выносливости.</p><p>name{Благословение Ночного духа: Иансан}<br>Непрерывно расходует очки name{Ночного духа}. Когда очки name{Ночного духа} исчерпаются или навык используется повторно, состояние name{Благословения Ночного духа} name{Иансан} завершается. У состояния name{Благословения Ночного духа} следующие особенности:<br>· Повышает name{скорость передвижения} name{Иансан}.<br>· Если удерживать спринт, name{Иансан} перейдёт в режим Натиска молнии, в котором на короткое время значительно повышается name{скорость передвижения} name{Иансан}. В этом режиме name{Иансан} способна совершать летающие рывки, используя местность, либо дополнительно расходовать очки name{Ночного духа} и передвигаться по поверхности воды или жидкого флогистона, не получая урона от последнего.</p><p><i>«Быстрее, выше! Именно ради этого я так тяжело трудилась!»</i></p>;"<p>name{Iansan} charges forward a certain distance, dealing Nightsoul-aligned electro{Electro DMG} to all opponents in her path.<br>After this Skill is used, name{Iansan} will regain 54 name{Nightsoul points} and enter the name{Nightsoul's Blessing} state. Within 5s after this is done, using a name{Normal Attack} will trigger 1 quick name{Swift Stormflight} stomp from name{Iansan} that will not consume Stamina.</p><p>name{Nightsoul's Blessing: Iansan}<br>Continuously consumes name{Nightsoul points}. If she runs out, or uses this Skill again, her name{Nightsoul's Blessing} state will end. It has the following properties:<br>· Increases name{Iansan}'s name{Movement SPD}.<br>· Holding sprint will switch name{Iansan} to Rushing Thunderbolt mode, greatly increasing her name{Movement SPD} temporarily. In this mode, name{Iansan} can make flying leaps using terrain, or consume additional name{Nightsoul points} to move on water or liquid Phlogiston while being immune to DMG from the latter.</p><p><i>""Faster, stronger! That's what all that hard work is for!""</i></p>"
talent_name;iansan_enhanced_resistance_training;Улучшенная тренировка с отягощением;Enhanced Resistance Training
talent_descr;iansan_enhanced_resistance_training;После того как name{Громовое нисхождение} попадает по врагам, name{Иансан} на 15 сек. получает эффект name{Точных движений}.<br>Во время его действия name{сила атаки} name{Иансан} повышается на %{atk_percent}, а при восстановлении очков name{Ночного духа} посредством name{Измерителя кинетической энергии} name{взрыва стихии} skill{burst:Три принципа силы} она будет дополнительно восстанавливать 1 очко name{Ночного духа}. Кроме того, после того как ваш активный член отряда расходует или восстанавливает очки name{Ночного духа}, последующее восстановление очков name{Ночного духа} name{Иансан} с помощью name{Измерителя кинетической энергии} дополнительно восстанавливает 4 очка. Этот эффект может возникнуть один раз в 2,8 сек.<br>Когда состояние name{Благословения Ночного духа} name{Иансан} прекращается, эффект name{Точных движений} исчезает.;"After name{Swift Stormflight} hits opponents, name{Iansan} will gain the name{Precise Movement} effect for 15s.<br>During this time, her name{ATK} is increased by %{atk_percent}, and whenever she regains name{Nightsoul points} through the Kinetic name{Energy} name{Scale} in her name{Elemental Burst}, skill{burst:The Three Principles of Power}, she will gain 1 extra name{Nightsoul point}. Additionally, when your current active party member consumes or restores name{Nightsoul points}, the extra name{Nightsoul points} name{Iansan} gains the next time she restores name{Nightsoul points} via the name{Scale} will be increased to 4. This effect can occur once every 2.8s.<br>""name{Precise Movement}"" will expire when name{Iansan}'s name{Nightsoul's Blessing} state ends."
talent_name;iansan_kinetic_energy_gradient_test;Проверка уровня кинетической энергии;Kinetic Energy Gradient Test
