category;name;rus;eng
char_name;illuga;Иллуги;Illuga
talent_name;illuga_oathkeepers_spear;Копьё хранителя клятвы;Oathkeeper's Spear
talent_descr;illuga_oathkeepers_spear;<p>name{Обычная атака:}<br>До четырёх ударов копьём.</p><p>name{Заряженная атака:}<br>Выпад вперёд, наносящий урон противникам на пути, на который тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive spear strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to lunge forward, dealing damage to opponents along the way.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;illuga_dawnbearing_songbird;Рассветное пение иволги;Dawnbearing Songbird
talent_descr;illuga_dawnbearing_songbird;<p>Призывает своего верного соратника, почтовую птицу Аэдона, который производит разные эффекты в зависимости от быстрого или долгого нажатия навыка.</p><p>name{Быстрое нажатие}<br>Аэдон устремляется к противнику впереди и при соприкосновении с ним наносит geo{Гео урон}.</p><p>name{Долгое нажатие}<br>Позволяет прицелиться. Аэдон устремляется к противнику, в которого вы прицелились, и при соприкосновении с ним наносит geo{Гео урон}.</p><p><i>Птица-посланник Аэдон, рождённый из куувяки, защищает эту землю и не отступит даже перед свирепостью Дикой охоты.</i></p>;"<p>Summons the trusty messenger bird, ""Aedon."" Different effects are produced depending on whether the skill is Tapped or Held.</p><p>name{Tap}<br>Aedon dashes towards enemies in front, dealing geo{Geo DMG} to enemies it comes into contact with.</p><p>name{Hold}<br>Enter aiming mode, and command Aedon to dash towards opponents being aimed at, dealing geo{Geo DMG} to opponents it comes into contact with.</p><p><i>The messenger bird Aedon is a being born from kuuvahki and a guardian of this land, who will not falter even when facing the Wild Hunt.</i></p>"
feature_burst;illuga_geo_dmg_bonus;Увеличение Гео урона;Geo DMG Bonus
feature_burst;illuga_lunar_crystallize_reaction_dmg_bonus;Увеличение урона Лунного кристалла;Lunar-Crystallize Reaction DMG Bonus
feature_burst;illuga_nightingales_song_stacks_gained_from_elemental_burst;Уровни Соловьиной трели от взрыва стихии;Nightingale's Song Stacks Gained from Elemental Burst
feature_burst;illuga_nightingales_song_stacks_gained_from_geo_constructs;Уровни Соловьиной трели от Гео конструкций;Nightingale's Song Stacks Gained from Geo Constructs
talent_name;illuga_shadowless_reflection;Отражение без тени;Shadowless Reflection
