category;name;rus;eng
char_name;ineffa;Инеффа;Ineffa
talent_name;ineffa_cyclonic_duster;Вихревой пылеочиститель;Cyclonic Duster
talent_descr;ineffa_cyclonic_duster;<p>name{Обычная атака:}<br>До четырёх последовательных ударов копьём.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости и выполняет вращающуюся атаку.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive spear strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to perform a spinning attack.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;ineffa_birgitta_discharge_dmg;Урон разряда Биргитты;Birgitta Discharge DMG
feature_skill;ineffa_birgitta_duration;Длительность Биргитты;Birgitta Duration
talent_name;ineffa_carrier_frequency;Режим очистки: Несущая частота;Cleaning Mode: Carrier Frequency
talent_descr;ineffa_carrier_frequency;<p>name{Инеффа} активирует Усовершенствованный модуль уборки и один раз наносит electro{Электро урон по площади} врагам поблизости, развёртывая name{Барьер оптического потока} и призывая Умный многоцелевой вспомогательный модуль skill{n11160001:Биргитту}.<br>name{Барьер оптического потока} поглощает урон согласно name{силе атаки} name{Инеффы}. Также он поглощает electro{Электро урон} с 250% эффективностью.</p><p><i>«Подтверждаю цель для уборки. Барьер развёрнут. Дождитесь выполнения команды. Биологические и технические нечистоты будут устранены. Ёмкость переведена в режим обслуживания. Сопротивление бесполезно, Айно».</i></p>;"<p>name{Ineffa} engages her Enhanced Cleaning Module, dealing a single instance of electro{AoE Electro DMG} to nearby opponents, activating her name{Optical Flow Shield Barrier}, and summoning the Multipurpose Smart Assistance Unit, skill{n11160001:Birgitta}.<br>The name{Optical Flow Shield Barrier} absorbs DMG based on name{Ineffa}'s name{ATK}, and it will absorb electro{Electro DMG} with 250% effectiveness.</p><p><i>""Target for cleanup sequence confirmed. Shield raised, please await order completion. We will cleanse nearby biological and technological dirt on our own. Capacitance adjusted to service mode. Resistance is futile, Aino.""</i></p>"
talent_name;ineffa_cyclonic_exterminator;Высшая команда: Циклонический истребитель;Supreme Instruction: Cyclonic Exterminator
talent_descr;ineffa_cyclonic_exterminator;<p>Умный многоцелевой вспомогательный модуль skill{n11160001:Биргитта} очищает поле от врагов Ракетными кулаками! name{Инеффа} выпускает Биргитту в бой и наносит electro{Электро урон по площади}, причём Биргитта остаётся на поле.</p><p>Если на поле уже есть Биргитта, призванная самой Инеффой, то Биргитта вновь вызывается на месте цели, а её длительность сбрасывается.</p><p><i>Считается, что переключение Ракетных кулаков в красный режим (по терминологии Айно) увеличивает их силу в три раза, но на самом деле это всего лишь приводит к тому, что name{Инеффа} выпускает Биргитту с утроенной силой.</i></p>;<p>Through Multipurpose Smart Assistance Unit, skill{n11160001:Birgitta}, name{Ineffa} can use Rocket Punches to quickly clean up opponents! Shoots Birgitta into the fray, dealing electro{AoE Electro DMG} and allowing Birgitta to remain on the field.</p><p>If Birgitta is already on the field, having been summoned by name{Ineffa}, this Skill will re-summon Birgitta at the target's location and reset her duration.</p><p><i>It's said that switching Rocket Punches to Red Mode (Aino's terminology) increases their power threefold. In reality, it simply results in name{Ineffa} ejecting Birgitta with three times the force.</i></p>
talent_name;ineffa_overclocking_circuit;Контур превышения частоты;Overclocking Circuit
