category;name;rus;eng
char_name;jean;Джинн;Jean
talent_name;jean_favonius_bladework;Фехтовальный стиль Фавония;Favonius Bladework
talent_descr;jean_favonius_bladework;<p>name{Обычная атака:}<br>До пяти быстрых ударов мечом.</p><p>name{Заряженная атака:}<br>С помощью силы ветра подкидывает противников в воздух, на что тратится определённое количество выносливости.<br>Подкинутые враги медленно падают на землю.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 consecutive strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of stamina to launch an opponent using the power of wind.<br>Launched opponents will slowly fall to the ground.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;jean_stamina_consumption;Потребление выносливости;Stamina Consumption
talent_name;jean_gale_blade;Клинок ветра;Gale Blade
talent_descr;jean_gale_blade;<p>name{Джинн} фокусирует всю мощь бесформенного ветра вокруг своего клинка и создаёт миниатюрный вихрь, который подбрасывает противников в направлении её взгляда, а также наносит им большой anemo{Анемо урон}.</p><p>name{Долгое нажатие:}<br>Продолжая затрачивать выносливость, name{Джинн} может с помощью вихря притянуть врагов и предметы к себе. Также можно выбрать направление броска. Во время действия навыка name{Джинн} не может двигаться.</p><p><i>Благородный защитник name{Джинн} - ветер-хранитель, оберегающий её спутников от опасностей.</i></p>;<p>Focusing the might of the formless wind around her blade, name{Jean} releases a miniature storm, launching opponents in the direction she aims at, dealing massive anemo{Anemo DMG}.</p><p>name{Hold}<br>At the cost of continued stamina consumption, name{Jean} can command the whirlwind to pull surrounding opponents and objects towards her front.<br>Direction can be adjusted.<br>Character is immobile during skill duration.</p><p><i>That which follows name{Jean}, the wholehearted defender, is a guardian wind that can banish danger from her comrades' presence.</i></p>
talent_name;jean_dandelion_breeze;Одуванчиковый бриз;Dandelion Breeze
talent_descr;jean_dandelion_breeze;"<p>name{Джинн} призывает защитный ветер и создаёт name{поле} одуванчиков, которое отбрасывает окружающих врагов и наносит им anemo{Анемо урон}.<br>В то же время name{Джинн} восстанавливает всем членам отряда определённое количество name{HP}, которое зависит от её name{силы атаки}.</p><p>name{Поле одуванчиков:}<br>· Периодически восстанавливает name{HP} членам отряда в name{поле} одуванчиков;<br>· Наделяет членов отряда в name{поле} одуванчиков anemo{эффектом Анемо};<br>· Наносит anemo{Анемо урон} врагам, входящим или выходящим за границы name{поля одуванчиков}.</p><p><i>Доброта name{Джинн} - это бескрайнее name{поле} одуванчиков, где посеяны семена её самоотверженности и героизма.</i></p>";<p>Calling upon the wind's protection, name{Jean} creates a swirling name{Dandelion Field}, launching surrounding opponents and dealing anemo{Anemo DMG}.<br>At the same time, she instantly regenerates a large amount of name{HP} for all party members. The amount of name{HP} restored scales off name{Jean}'s name{ATK}.</p><p>name{Dandelion Field}<br>·Continuously regenerates name{HP} of characters within the AoE and continuously imbues them with anemo{Anemo}.<br>·Deals anemo{Anemo DMG} to opponents entering or exiting the name{Dandelion Field}.</p><p><i>name{Jean}'s magnanimity is as vast as the dandelion fields, and it is the root of her wish to protect others.</i></p>
talent_name;jean_wind_companion;Дружественный бриз;Wind Companion
talent_descr;jean_wind_companion;Попадания name{обычной атакой} name{Джинн} имеют 50% шанс вылечить всех членов отряда на количество name{HP}, равное %{text_percent_dmg} от name{силы атаки} name{Джинн}.;On hit, name{Jean}'s name{Normal Attacks} have a 50% chance to regenerate name{HP} equal to %{text_percent_dmg} of name{Jean}'s name{ATK} for all party members.
talent_name;jean_let_the_wind_lead;Да направит тебя ветер;Let the Wind Lead
talent_descr;jean_let_the_wind_lead;Использование навыка skill{burst:Одуванчиковый бриз} восстанавливает %{text_percent} энергии.;Using skill{burst:Dandelion Breeze} will regenerate %{text_percent} of its name{Energy}.
talent_name;jean_spiraling_tempest;Растущий ураган;Spiraling Tempest
talent_descr;jean_spiraling_tempest;Увеличивает скорость притягивания навыка skill{skill:Клинок ветра} после его удерживания более 1 сек, а также увеличивает урон навыка на %{dmg_skill_jean}.;Increases the pulling speed of skill{skill:Gale Blade} after holding for more than 1s, and increases the DMG dealt by %{dmg_skill_jean}.
talent_name;jean_peoples_aegis;Братский щит;People's Aegis
talent_descr;jean_peoples_aegis;Когда name{Джинн} получает name{элементальную сферу} или name{частицу}, name{скорость передвижения} и name{скорость атаки} всех членов отряда увеличивается на %{atk_speed_normal} в течение 15 сек.;When name{Jean} picks up an name{Elemental Orb}/name{Particle}, all party members have their name{Movement SPD} and name{ATK SPD} increased by %{atk_speed_normal} for 15s.
talent_name;jean_when_the_west_wind_arises;Куда дует ветер;When the West Wind Arises
talent_name;jean_lands_of_dandelion;Королевство Одуванчиков;Lands of Dandelion
talent_descr;jean_lands_of_dandelion;Понижает anemo{Анемо сопротивление} противников, находящихся в name{поле} навыка skill{burst:Одуванчиковый бриз}, на %{enemy_res_anemo}.;Within the name{Field} created by skill{burst:Dandelion Breeze}, all opponents have their anemo{Anemo RES} decreased by %{enemy_res_anemo}.
talent_name;jean_outbursting_gust;Шквальный ветер;Outbursting Gust
talent_name;jean_lions_fang_fair_protector_of_mondstadt;Рыцарь Львиный клык;Lion's Fang, Fair Protector of Mondstadt
talent_descr;jean_lions_fang_fair_protector_of_mondstadt;Уменьшает получаемый в name{поле} навыка skill{burst:Одуванчиковый бриз} урон на %{dmg_reduction}.<br>После ухода из name{поля одуванчиков} данный эффект длится ещё 3 атаки или 10 сек.;Incoming DMG is decreased by %{dmg_reduction} within the name{Field} created by skill{burst:Dandelion Breeze}. Upon leaving the name{Dandelion Field}, this effect lasts for 3 attacks or 10s.
