category;name;rus;eng
char_name;kachina;Качина;Kachina
talent_name;kachina_time_to_get_serious;Ну теперь всё!;Time to Get Serious!
talent_descr;kachina_time_to_get_serious;<p>Атакуя землю, Качина наносит geo{Гео урон по площади}, пропорциональный своей защите, и создаёт область Турбобура.<br>Область Турбобура повышает площадь атаки Турбовихря и скорость передвижения верхом.</p><p>Если во время активации на поле есть Турбовихрь самой Качины, то он будет призван к ней.</p><p><i>Если артисты, пытаясь справиться с волнением на сцене, представляют, что зрители - деревянные манекены, то Качина в своём воображении обращает противников прекрасной рудой с самоцветами - такими, что можно с гордостью хранить дома.</i></p>;<p>Striking the ground, Kachina deals geo{AoE Geo DMG} based on her DEF and creates a Turbo Drill Field.<br>The Field increases Turbo Twirly's attack AoE and its Movement SPD when Kachina is riding it.</p><p>If Kachina's own Turbo Twirly is present when this is used, the Turbo Twirly will be summoned to her side.</p><p><i>Just as nervous performers might imagine audience members as wooden puppets, Kachina imagines that her opponents are the loveliest of gem-bearing ores — the kind you'd be proud to bring home and hoard.</i></p>
talent_name;kachina_cragbiter;Скалогрыз;Cragbiter
talent_descr;kachina_cragbiter;<p>name{Обычная атака:}<br>До четырёх ударов копьём.</p><p>name{Заряженная атака:}<br>Выпад, наносящий урон противникам на пути, на который тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит урон по площади.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive spear strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to lunge forward, dealing damage to opponents along the way.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing AoE DMG upon impact.</p>
talent_name;kachina_go_go_turbo_twirly;Вперёд, Турбовихрь!;Go, Go Turbo Twirly!
talent_descr;kachina_go_go_turbo_twirly;<p>В бой вместе с надёжным Турбовихрем!<br>Призывает Турбовихрь. При долгом нажатии Качина призывает Турбовихрь и садится на него.<br>После активации Качина получает 60 очков Ночного духа и переходит в состояние Благословения Ночного духа.</p><p>name{Благословение Ночного духа: Качина}<br>Действия Турбовихря расходуют очки Ночного духа Качины.<br>Когда очки Ночного духа заканчиваются, Благословение Ночного духа Качины завершается.</p><p>name{Турбовихрь}<br>Может существовать отдельно или управляться оседлавшей его Качиной. Когда Турбовихрь существует, при использовании элементального навыка Качина будет садиться на него или слезать с него.<br>· Существуя отдельно, Турбовихрь периодически врезается в землю, нанося geo{Гео урон по площади} с характеристикой Ночного духа, пропорциональный защите Качины.<br>· Когда Качина верхом на Турбовихре, она способна управлять им, чтобы быстро перемещаться, карабкаться и поражать землю с помощью обычной атаки, нанося geo{Гео урон по площади} с характеристикой Ночного духа, пропорциональный защите Качины.</p><p>Когда Благословение Ночного духа Качины завершается, Турбовихрь исчезает. Он считается Гео конструкцией. На поле боя может существовать только один Турбовихрь, созданный самой Качиной.</p><p><i>Турбовихрь только похож на юлу - на деле это бур, способный расколоть самый твёрдый камень.</i></p>;"<p>Fight alongside the turbo trusty Turbo Twirly!<br>Summons Turbo Twirly. When the skill is Held and released, Kachina will summon and ride Turbo Twirly.<br>After the Skill is used, Kachina will gain 60 Nightsoul points and enter the Nightsoul's Blessing state.</p><p>name{Nightsoul's Blessing: Kachina}<br>Turbo Twirly's various actions consume Kachina's Nightsoul points.<br>The Nightsoul's Blessing state will end when these points have been depleted.</p><p>name{Turbo Twirly}<br>Can exist independently or be ridden and operated by Kachina. When Turbo Twirly is present, Kachina's Elemental Skill, ""Go, Go Turbo Twirly!"", will change to an option to Mount/Dismount Turbo Twirly.<br>·When present independent of Kachina, it will slam the ground at intervals, dealing Nightsoul-aligned geo{AoE Geo DMG} based on Kachina's DEF.<br>·When Kachina is riding Turbo Twirly, she can control it to move and climb swiftly, and use Normal Attacks to slam the ground, dealing Nightsoul-aligned geo{AoE Geo DMG} based on Kachina's DEF.</p><p>Turbo Twirly will disappear once Kachina's Nightsoul's Blessing state ends, and it is considered a Geo Construct. Only 1 Turbo Twirly created by Kachina herself can exist on the field at any one time.</p><p><i>Turbo Twirly only looks like a top — it is, in fact, a drill that can split even the strongest rock asunder!</i></p>"
talent_name;kachina_mountain_echoes;Горное эхо;Mountain Echoes
talent_descr;kachina_mountain_echoes;После того как член отряда поблизости активирует name{Вспышку Ночного духа}, бонус geo{Гео урона} name{Качины} повышается на %{dmg_geo} на 12 сек.;After nearby party members trigger a name{Nightsoul Burst}, name{Kachina}'s geo{Geo DMG Bonus} increases by %{dmg_geo} for 12s.
talent_name;kachina_the_weight_of_stone;Тяжесть монолитной породы;The Weight of Stone
talent_descr;kachina_the_weight_of_stone;Повышает урон skill{skill:Турбовихря} на %{text_percent} от защиты name{Качины}.;skill{skill:Turbo Twirly}'s DMG is increased by %{text_percent} of name{Kachina}'s name{DEF}.
talent_name;kachina_shards_are_gems_too;Осколки тоже самоцветы;Shards Are Gems Too
talent_descr;kachina_shards_are_gems_too;Когда name{Качина} садится на skill{skill:Турбовихрь} или сходит с него, она подбирает элементальные осколки, созданные реакцией geo{Кристалл}, поблизости.<br>Кроме того, когда член отряда подбирает такой осколок, name{Качина} восстанавливает 3 name{ед. энергии}. Восстанавливать энергию таким способом можно не чаще одного раза в 5 сек.;When name{Kachina} mounts or dismounts skill{skill:Turbo Twirly}, she will absorb nearby Elemental Shards created by geo{Crystallize}.<br>Additionally, when a party member picks up such a Shard, 3 name{Energy} will be restored to name{Kachina}. name{Energy} can be restored this way once every 5s.
talent_name;kachina_never_leave_home_without_turbo_twirly;Я всегда с собой беру... Турбовихрь;Never Leave Home Without... Turbo Twirly
talent_descr;kachina_never_leave_home_without_turbo_twirly;name{Качина}, активируя навык skill{burst:Ну теперь всё!}, восстанавливает 20 очков name{Ночного духа}. Если на поле нет её собственного skill{skill:Турбовихря}, name{Качина} войдет в состояние name{Благословение Ночного духа} и призовёт его.;"When name{Kachina} uses skill{burst:""Time to Get Serious!""}, she will regain 20 name{Nightsoul points}. If there is no skill{skill:Turbo Twirly} belonging to her on the field, she will enter name{Nightsoul's Blessing} and summon one."
talent_name;kachina_improved_stabilizer;Улучшенный стабилизатор;Improved Stabilizer
talent_name;kachina_more_foes_more_caution;Больше врагов - больше осторожности;More Foes, More Caution
talent_descr;kachina_more_foes_more_caution;Когда в области name{Турбобура} навыка skill{burst:Ну теперь всё!} 1/2/3/4 и более врагов, name{защита} активного персонажа в этой области повышается на 8%/12%/16%/20% соответственно.;"When there are 1/2/3/4 (or more) opponents within the name{Turbo Drill Field} created by skill{burst:""Time to Get Serious!""}, the active character within the field gains 8%/12%/16%/20% increased name{DEF}."
talent_name;kachina_all_ive_collected_till_now;Моя нынешняя коллекция;All I've Collected Till Now
talent_name;kachina_this_time_ive_gotta_win;На этот раз победа за мной;This Time, I've Gotta Win
talent_descr;kachina_this_time_ive_gotta_win;Когда щит вашего активного персонажа по какой-либо причине заменяется или разрушается, name{Качина} наносит geo{Гео урон} по площади, равный %{text_percent_dmg} от её защиты. Этот эффект может возникнуть один раз в 5 сек.;When your active character's Shield is replaced or destroyed for any reason, name{Kachina} will deal %{text_percent_dmg} of her name{DEF} as AoE geo{Geo DMG}. This effect can be triggered once every 5s.
