category;name;rus;eng
char_name;kaedehara_kazuha;Кадзуха;Kaedehara Kazuha
talent_name;kaedehara_kazuha_garyuu_bladework;Фехтовальный стиль Гарю;Garyuu Bladework
talent_descr;kaedehara_kazuha_garyuu_bladework;<p>name{Обычная атака:}<br>До пяти быстрых ударов мечом.</p><p>name{Заряженная атака:}<br>Два быстрых взмаха мечом, на которые тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}. Если name{атака в падении} произошла благодаря навыку name{Тихаяфуру}, то вместо неё выполняется name{атака в падении}: Мидарэ рандзан.</p><p>name{Атака в падении: Мидарэ рандзан}<br>Урон name{атаки в падении}, выполненной благодаря элементальному навыку name{Тихаяфуру}, конвертируется в anemo{Анемо урон}. Также с помощью тайной техники эта атака создаёт небольшой воздушный тоннель, который втягивает в себя ближайшие объекты и врагов.</p>;<p>name{Normal Attack}<br>Performs up to 5 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact. If this name{Plunging Attack} is triggered by name{Chihayaburu}, it will be converted to name{Plunging Attack}: Midare Ranzan.</p><p>name{Plunging Attack: Midare Ranzan}<br>When a name{Plunging Attack} is performed using the effects of the name{Elemental Skill} name{Chihayaburu}, name{Plunging Attack DMG} is converted to anemo{Anemo DMG} and will create a small wind tunnel via a secret blade technique that pulls in nearby objects and opponents.</p>
talent_name;kaedehara_kazuha_chihayaburu;Тихаяфуру;Chihayaburu
talent_descr;kaedehara_kazuha_chihayaburu;<p>Использование тайной техники, столь же свирепой, сколь стремительный ветер, притягивает объекты и врагов к текущей позиции name{Кадзухи} и в небольшом радиусе подкидывает их в воздух, нанося anemo{Анемо урон}. Также ветряные потоки поднимают в воздух и самого Кадзуху.<br>В течение 10 сек. после поднятия name{Кадзухи} в воздух навыком name{Тихаяфуру} и при соблюдении состояния в воздухе он может выполнить более сильную name{атаку в падении}: Мидарэ рандзан.</p><p>name{Быстрое нажатие:}<br>Можно совершить в воздухе.</p><p>name{Долгое нажатие:}<br>Некоторое время заряжается, а затем наносит увеличенный anemo{Анемо урон} по большей площади, чем быстрое нажатие.</p><p>name{Атака в падении: Мидарэ рандзан}<br>Урон name{атаки в падении}, выполненной благодаря элементальному навыку name{Тихаяфуру}, конвертируется в anemo{Анемо урон}. Также с помощью тайной техники эта атака создаёт небольшой воздушный тоннель, который втягивает в себя ближайшие объекты и врагов.<br>Урон Мидарэ рандзан считается уроном name{атаки в падении}.</p><p><i>«Ветра среди листьев клёна плачут,<br>Не осталось ни людей, ни богов.<br>Они ушли, словно рыжие осенние горы».</i></p>;"<p>Unleashes a secret technique as fierce as the rushing wind that pulls objects and opponents towards Kazuha's current position before launching opponents within the AoE, dealing anemo{Anemo DMG} and lifting Kazuha into the air on a rushing gust of wind.<br>Within 10s of remaining airborne after casting name{Chihayaburu}, Kazuha can unleash a powerful name{Plunging Attack} known as Midare Ranzan.</p><p>name{Press}<br>Can be used in mid-air.</p><p>name{Hold}<br>Charges up before unleashing greater anemo{Anemo DMG} over a larger AoE than Press Mode.</p><p>name{Plunging Attack: Midare Ranzan}<br>When a name{Plunging Attack} is performed using the effects of the name{Elemental Skill} name{Chihayaburu}, name{Plunging Attack DMG} is converted to anemo{Anemo DMG}. On landing, Kazuha creates a small wind tunnel via a secret blade technique that pulls in nearby objects and opponents.<br>Midare Ranzan's DMG is considered name{Plunging Attack DMG}.</p><p><i>""Wind in branches grieves<br>Bygone ages, gods of old<br>Withered autumn leaves""</i></p>"
feature_burst;kaedehara_kazuha_slashing_dmg;Рубящий урон;Slashing DMG
feature_burst;kaedehara_kazuha_additional_elemental_dmg;Доп. элементальный урон;Additional Elemental DMG
talent_name;kaedehara_kazuha_kazuha_slash;Удар Кадзухи;Kazuha Slash
talent_descr;kaedehara_kazuha_kazuha_slash;<p>Особая техника Гарю - единственный взмах, словно надвигающийся шторм, наносит anemo{Анемо урон} по площади.<br>След от меча оставляет за собой поле name{Осеннего вихря}, которое наносит периодический anemo{Анемо урон} по площади врагам, находящимся в нём.</p><p>name{Поглощение стихии:}<br>При контакте с элементами hydro{Гидро}, pyro{Пиро}, cryo{Крио} или electro{Электро} Осенний вихрь наносит дополнительный урон этим элементом.<br>За каждое использование навык может поглотить только один элемент.</p><p><i>«Лист, познавший осень, даёт мне видения о пронёсшейся вечности. Поэтому я вмиг разрублю этот клён, чтобы узнать его секрет...»</i></p>;"<p>The signature technique of Kazuha's self-styled bladework — a single slash that strikes with the force of the first winds of autumn, dealing anemo{AoE Anemo DMG}.<br>The blade's passage will leave behind a field named ""name{Autumn Whirlwind}"" that periodically deals anemo{AoE Anemo DMG} to opponents within its range.</p><p>name{Elemental Absorption}<br>If name{Autumn Whirlwind} comes into contact with hydro{Hydro}/pyro{Pyro}/cryo{Cryo}/electro{Electro}, it will deal additional elemental DMG of that type.<br>Elemental Absorption may only occur once per use.</p><p><i>""I see eternity go by in an instant, the autumns of many years from a single leaf. Thus I shall slice this maple in a flash, and ask a question of the ages.""</i></p>"
talent_name;kaedehara_kazuha_soumon_swordsmanship;Летучий клинок;Soumon Swordsmanship
talent_descr;kaedehara_kazuha_soumon_swordsmanship;<p>При контакте с элементами hydro{Гидро}, pyro{Пиро}, cryo{Крио} и electro{Электро} name{атака в падении}: Мидарэ рандзан навыка skill{skill:Тихаяфуру} наносит дополнительный урон соответствующим элементом, равный %{text_percent_dmg} от name{силы атаки}. Этот урон считается уроном name{атаки в падении}. За раз навык skill{skill:Тихаяфуру} может поглотить только один элемент.</p>;<p>If skill{skill:Chihayaburu} comes into contact with hydro{Hydro}/pyro{Pyro}/cryo{Cryo}/electro{Electro} when cast, this skill{skill:Chihayaburu} will absorb that element and if name{Plunging Attack: Midare Ranzan} is used before the effect expires, it will deal an additional %{text_percent_dmg} name{ATK} of the absorbed elemental type as DMG. This will be considered name{Plunging Attack DMG}.<br>Elemental Absorption may only occur once per use of skill{skill:Chihayaburu}.</p>
talent_name;kaedehara_kazuha_poetics_of_fuubutsu;Поэзия песен ветра;Poetics of Fuubutsu
talent_descr;kaedehara_kazuha_poetics_of_fuubutsu;<p>Вызывая реакцию anemo{Рассеивания}, name{Кадзуха} даёт остальным членам отряда value{0,04%} бонус name{элементального урона} соответствующего элемента за каждую единицу собственного name{мастерства стихий} в течение 8 сек. Полученные этим способом бонусы разных элементов могут совмещаться.</p>;<p>Upon triggering a anemo{Swirl} reaction, name{Kaedehara Kazuha} will grant all party members a value{0.04%} name{Elemental DMG Bonus} to the element absorbed by anemo{Swirl} for every point of name{Elemental Mastery} he has for 8s. Bonuses for different elements obtained through this method can co-exist.</p>
talent_name;kaedehara_kazuha_scarlet_hills;Алые холмы;Scarlet Hills
talent_descr;kaedehara_kazuha_scarlet_hills;<p>Уменьшает время отката навыка skill{skill:Тихаяфуру} на %{text_percent_cd}, также использование навыка skill{burst:Удар Кадзухи} полностью сбрасывает его время отката.</p>;<p>Decreases skill{skill:Chihayaburu}'s CD by %{text_percent_cd}.<br>Using skill{burst:Kazuha Slash} resets the CD of skill{skill:Chihayaburu}.</p>
talent_name;kaedehara_kazuha_yamaarashi_tailwind;Ветер ямаараси;Yamaarashi Tailwind
