category;name;rus;eng
char_name;kaeya;Кэйа;Kaeya
talent_name;kaeya_glacial_waltz;Ледниковый вальс;Glacial Waltz
talent_descr;kaeya_glacial_waltz;<p>Собрав остатки инея из утреннего воздуха, Кэйа создаёт три вращающиеся вокруг него льдинки.<br>Они следуют за активным персонажем и наносят cryo{Крио урон} врагам, которых касаются.</p><p><i>Обворожительная улыбка, остроумные комментарии и скрытый глубоко жестокий иней... Всё это оружие name{Кэйи}.</i></p>;<p>Coalescing the frost in the air, name{Kaeya} summons 3 icicles that revolve around him.<br>These icicles will follow the character around and deal cryo{Cryo DMG} to opponents in their path for the ability's duration.</p><p><i>A winsome smile, genial words, and the merciless hoarfrost that lies beneath... These are all name{Kaeya}'s weapons.</i></p>
talent_name;kaeya_ceremonial_bladework;Ритуальное фехтование;Ceremonial Bladework
talent_descr;kaeya_ceremonial_bladework;<p>name{Обычная атака:}<br>До пяти быстрых ударов мечом.</p><p>name{Заряженная атака:}<br>Два быстрых взмаха мечом, на которые тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;kaeya_frostgnaw;Выпад холода;Frostgnaw
talent_descr;kaeya_frostgnaw;<p>Совершает выпад холода, который наносит cryo{Крио урон} врагам впереди.</p><p><i>Кэйа кажется тёплым человеком, однако его характер словно нетающий лёд.</i></p>;<p>Unleashes a frigid blast, dealing cryo{Cryo DMG} to opponents in front of name{Kaeya}.</p><p><i>name{Kaeya} seems affable, but his nature is that of unyielding ice.</i></p>
talent_name;kaeya_cold_blooded_strike;Клинок холодной крови;Cold-Blooded Strike
talent_descr;kaeya_cold_blooded_strike;Каждое попадание навыком skill{skill:Выпад холода} восстанавливает name{Кэйе} name{HP} в размере %{text_percent_dmg} от name{силы атаки}.;Every hit with skill{skill:Frostgnaw} regenerates name{HP} for name{Kaeya} equal to %{text_percent_dmg} of his name{ATK}.
talent_name;kaeya_glacial_heart;Ледниковое сердце;Glacial Heart
talent_descr;kaeya_glacial_heart;Противники, замороженные навыком skill{skill:Выпад холода}, роняют больше элементальных частиц.<br>Каждый удар навыка name{Выпад холода} генерирует до 2 элементальных частиц.;Opponents cryo{Frozen} by skill{skill:Frostgnaw} will drop additional name{Elemental Particles}.<br>Frostgnaw may only produce a maximum of 2 additional name{Elemental Particles} per use.
talent_name;kaeya_excellent_blood;Превосходная кровь;Excellent Blood
talent_descr;kaeya_excellent_blood;Увеличивает name{шанс крит. попадания} обычной и name{заряженной атаки} name{Кэйи} по противникам с эффектом cryo{Крио} на %{crit_rate_kaeya}.;The name{CRIT Rate} of name{Kaeya}'s name{Normal} and name{Charge Attacks} against opponents affected by cryo{Cryo} is increased by %{crit_rate_kaeya}.
talent_name;kaeya_never_ending_performance;Бесконечный вальс;Never-Ending Performance
talent_descr;kaeya_never_ending_performance;Каждый побеждённый во время длительности навыка skill{burst:Ледниковый вальс} враг увеличивает его длительность на 2,5 сек. Макс. 15 сек.;While skill{burst:Glacial Waltz} is in effect, for each opponent defeated, its duration is increased by 2.5s, up to a maximum of 15s.
talent_name;kaeya_dance_of_frost;Танец холода;Dance of Frost
talent_name;kaeya_frozen_kiss;Поцелуй холода;Frozen Kiss
talent_descr;kaeya_frozen_kiss;Активируется, когда name{HP} name{Кэйи} падает ниже 20%:<br>Создаёт щит, в течение 20 сек. поглощающий урон, равный %{text_percent} от name{макс. HP} name{Кэйи}.<br>cryo{Крио урон} поглощается с эффективностью 250%.<br>Может возникнуть раз в 60 сек.;Triggers automatically when name{Kaeya}'s name{HP} falls below 20%:<br>Creates a shield that absorbs damage equal to %{text_percent} of name{Kaeya}'s name{Max HP}. Lasts for 20s.<br>This shield absorbs cryo{Cryo DMG} with 250% efficiency.<br>Can only occur once every 60s.
talent_name;kaeya_frostbiting_embrace;Объятья холода;Frostbiting Embrace
talent_name;kaeya_glacial_whirlwind;Ледниковый вихрь;Glacial Whirlwind
talent_descr;kaeya_glacial_whirlwind;Использование навыка skill{burst:Ледниковый вальс} создаёт одну дополнительную льдинку, и при активации восстанавливает 15 name{ед. энергии}.;skill{burst:Glacial Waltz} will generate 1 additional icicle, and will regenerate 15 name{Energy} when cast.
