category;name;rus;eng
char_name;kamisato_ayaka;Аяка;Kamisato Ayaka
talent_name;kamisato_ayaka_soumetsu;Искусство Камисато: Сомэцу;Kamisato Art: Soumetsu
talent_descr;kamisato_ayaka_soumetsu;<p>Безупречным движением вызывает снежную бурю и выпускает непрерывно движущийся вперёд Морозный сэки но то.</p><p>name{Морозный сэки но то}<br>· Пронзающий холодный ветер непрерывно кромсает противников и наносит им cryo{Крио урон}.<br>· По истечении времени действия взрывается и наносит cryo{Крио урон по площади}.</p><p><i>«Метель заносит снегом мысли цапли, в сердце её тяжёлая грусть».</i></p>;"<p>Summons forth a snowstorm with flawless poise, unleashing a name{Frostflake Seki no To} that moves forward continuously.</p><p>name{Frostflake Seki no To}<br>·A storm of whirling icy winds that slashes repeatedly at every enemy it touches, dealing cryo{Cryo DMG}.<br>·The snowstorm explodes after its duration ends, dealing cryo{AoE Cryo DMG}.</p><p><i>""The blizzard veils the heron's thoughts, pity heavy in its heart.""</i></p>"
talent_name;kamisato_ayaka_kabuki;Искусство Камисато: Нанамэ;Kamisato Art: Kabuki
talent_descr;kamisato_ayaka_kabuki;<p>name{Обычная атака:}<br>До пяти быстрых ударов мечом.</p><p>name{Заряженная атака:}<br>Создаёт продолжительный град из клинков, для которого тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash a flurry of sword ki.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging enemies along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;kamisato_ayaka_hyouka;Искусство Камисато: Хёка;Kamisato Art: Hyouka
talent_descr;kamisato_ayaka_hyouka;<p>Призывает цветущий лёд, который подбрасывает ближайших противников в воздух и наносит им cryo{Крио урон}.</p><p><i>«Облака окутывают лунную ночь. Тоска опускается, словно туман, наполняя заключённого страстью к путешествиям».</i></p>;"<p>Summons blooming ice to launch nearby opponents, dealing cryo{AoE Cryo DMG}.</p><p><i>""Clouds shroud the moonlit night. Longing descends like a fog, filling the one detained with wanderlust.""</i></p>"
talent_name;kamisato_ayaka_senho;Искусство Камисато: Сэнхо;Kamisato Art: Senho
talent_descr;kamisato_ayaka_senho;<p>name{Заменяет спринт}<br>Аяка потребляет выносливость и скрывается в стремительном потоке мокрого снега, который движется вместе с ней.</p><p>Форма Сэнхо позволяет ей двигаться по воде с большой скоростью.<br>После окончания формы Сэнхо и при повторном появлении происходят следующие эффекты:<br>· Высвобождается холодная энергия, которая накладывает cryo{эффект Крио} на ближайших противников.<br>· Холод собирается вдоль лезвия name{Аяки}, на короткое время наделяя её атаки cryo{инфузией Крио}.</p><p><i>«Перья мокрые исчезают,<br>Как же цапля может ступать по воде?»</i></p>;"<p>name{Alternate Sprint}<br>Ayaka consumes Stamina and cloaks herself in a frozen fog that moves with her.</p><p>In Senho form, she moves swiftly upon water.<br>When she reappears, the following effects occur:<br>·Ayaka unleashes frigid energy to apply cryo{Cryo} on nearby opponents.<br>·Coldness condenses around Ayaka's blade, infusing her attacks with cryo{Cryo} for a brief period.</p><p><i>""Feathers fleeting wet / the white heron treads water / a sight without flaw""</i></p>"
talent_name;kamisato_ayaka_amatsumi_kunitsumi_sanctification;Освящение амацуми куницуми;Amatsumi Kunitsumi Sanctification
