category;name;rus;eng
char_name;kamisato_ayato;Аято;Kamisato Ayato
talent_name;kamisato_ayato_suiyuu;Искусство Камисато: Суйю;Kamisato Art: Suiyuu
talent_descr;kamisato_ayato_suiyuu;<p>Создаёт безмятежный сад, в котором гаснет суета и шум.<br>Пока сад существует, в его области на врагов непрерывно обрушиваются Клинки водных цветов, нанося им hydro{Гидро урон}, а name{урон обычной атаки} персонажей внутри него увеличивается.</p><p><i>«Я вижу её. Рябь, которая проходит по этим тихим водам от ударов твоего сердца».</i></p>;"<p>Unveils a garden of purity that silences the cacophony within.<br>While this space exists, Bloomwater Blades will constantly rain down and attack opponents within its AoE, dealing hydro{Hydro DMG} and increasing the name{Normal Attack DMG} of characters within.</p><p><i>""I can see them, you know. The ripples of your beating heart within this realm of still waters.""</i></p>"
talent_name;kamisato_ayato_marobashi;Искусство Камисато: Маробаси;Kamisato Art: Marobashi
talent_descr;kamisato_ayato_marobashi;<p>name{Обычная атака:}<br>До пяти быстрых ударов.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости на выпад вперёд и выполняет иай.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to dash forward and performs an iai.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;kamisato_ayato_kyouka;Искусство Камисато: Кёка;Kamisato Art: Kyouka
talent_descr;kamisato_ayato_kyouka;<p>name{Камисато Аято} перемещается и входит в состояние Такимэгури канка.<br>После перемещения на его исходной позиции остаётся водная иллюзия. Когда время действия полностью сформировавшейся водной иллюзии истекает или рядом находятся враги, она взрывается и наносит hydro{Гидро урон по площади}.</p><p>name{Такимэгури канка}<br>В этом состоянии name{Камисато Аято} совершает молниеносные атаки, используя свой name{Сюнсуйкэн}. Урон от name{обычных атак} конвертируется в hydro{Гидро урон по площади}. Этот эффект не может быть отменён другими инфузиями.<br>Также он обладает следующими свойствами:<br>· Попадания name{Сюнсуйкэн} по врагу наделяют name{Аято} эффектом name{Намисэн}, который увеличивает наносимый name{Сюнсуйкэн} урон пропорционально текущему name{макс. HP} name{Аято}. Изначально name{Намисэн} может складываться до 4 раз. Один уровень эффекта можно получить с помощью name{Сюнсуйкэн} раз в 0,1 сек. С завершением Такимэгури канка этот эффект исчезнет.<br>· Увеличивает сопротивление прерыванию name{Аято}.<br>· name{Заряженные атаки} и name{атаки в падении} становятся недоступны.</p><p>Такимэгури канка снимается, когда name{Аято} покидает поле боя. Если во время действия Такимэгури канка применить name{Искусство Камисато: Кёка} повторно, текущее состояние прервётся.</p><p><i>«Когда это вам померещилось, что победа на вашей стороне?»</i><br><i>Таков name{Аято} как в боевых искусствах, так и в хитросплетениях политических интриг. При главах других комиссий он такого не говорит, заботясь об их достоинстве. Посему эту фразу доводилось слышать только Томе, Итто и Аяке.</i></p>;"<p>name{Kamisato Ayato} shifts positions and enters the Takimeguri Kanka state.<br>After this shift, he will leave a watery illusion at his original location. After it is formed, the watery illusion will explode if opponents are nearby or after its duration ends, dealing hydro{AoE Hydro DMG}.</p><p>name{Takimeguri Kanka}<br>In this state, name{Kamisato Ayato} uses his name{Shunsuiken} to engage in blindingly fast attacks, causing DMG from his name{Normal Attacks} to be converted into hydro{AoE Hydro DMG}. This cannot be overridden.<br>It also has the following properties:<br>·After a name{Shunsuiken} attack hits an opponent, it will grant name{Ayato} the name{Namisen} effect, increasing the DMG dealt by name{Shunsuiken} based on name{Ayato}'s current name{Max HP}. The initial maximum number of name{Namisen} stacks is 4, and 1 stack can be gained through name{Shunsuiken} every 0.1s. This effect will be dispelled when Takimeguri Kanka ends.<br>·name{Kamisato Ayato}'s resistance to interruption is increased.<br>·Unable to use name{Charged} or name{Plunging Attacks}.</p><p>Takimeguri Kanka will be cleared when name{Ayato} leaves the field. Using name{Kamisato Art: Kyouka} again while in the Takimeguri Kanka state will reset and replace the pre-existing state.</p><p><i>""When, I wonder, did you come under the illusion that you were winning?""</i><br><i>— name{Ayato} is like this in both matter of martial prowess and political intrigue, but to preserve the dignity of his fellow Commissioners, he does not say such things to them. As such, only Thoma, Itto, and Ayaka have ever heard this line.</i></p>"
talent_name;kamisato_ayato_mine_wo_matoishi_kiyotaki;Искусство Камисато: Минэ о матойси киётаки;Kamisato Art: Mine Wo Matoishi Kiyotaki
talent_descr;kamisato_ayato_mine_wo_matoishi_kiyotaki;skill{skill:Искусство Камисато: Кёка} обладает следующими эффектами:<br>· После использования name{Камисато Аято} получает два уровня name{Намисэн}.<br>· Когда водная иллюзия взрывается, name{Аято} обретает эффект name{Намисэн}, равный максимальному количеству уровней эффекта.;skill{skill:Kamisato Art: Kyouka} has the following properties:<br>·After it is used, name{Kamisato Ayato} will gain 2 name{Namisen} stacks.<br>·When the water illusion explodes, name{Ayato} will gain a name{Namisen} effect equal to the maximum number of stacks possible.
talent_name;kamisato_ayato_michiyuku_hagetsu;Искусство Камисато: Митиюку хагэцу;Kamisato Art: Michiyuku Hagetsu
talent_descr;kamisato_ayato_michiyuku_hagetsu;Когда name{Камисато Аято} не на поле боя, а его name{энергия} ниже 40 ед., он восстанавливает себе 2 name{ед. энергии} в секунду.;If name{Kamisato Ayato} is not on the field and his name{Energy} is less than 40, he will regenerate 2 name{Energy} for himself every second.
talent_name;kamisato_ayato_kyouka_fuushi;Кёка фуси;Kyouka Fuushi
talent_descr;kamisato_ayato_kyouka_fuushi;Увеличивает на %{dmg_normal_ayato} урон skill{skill:Сюнсуйкэн} против врагов с name{НР}, равным 50% или ниже.;skill{skill:Shunsuiken} DMG is increased by %{dmg_normal_ayato} against opponents with 50% name{HP} or less.
talent_name;kamisato_ayato_world_source;Родник мира;World Source
talent_descr;kamisato_ayato_world_source_1; Максимум уровней skill{skill:Намисэн} увеличен до 5.; skill{skill:Namisen}'s maximum stack count is increased to 5.
talent_descr;kamisato_ayato_world_source_2; Когда у name{Камисато Аято} не менее 3 уровней name{Намисэн}, его name{макс. HP} повышается на %{hp_percent}.; When name{Kamisato Ayato} has at least 3 name{Namisen} stacks, his name{Max HP} is increased by %{hp_percent}.
talent_name;kamisato_ayato_to_admire_the_flowers;Созерцание цветов;To Admire the Flowers
talent_name;kamisato_ayato_endless_flow;Бесконечный поток;Endless Flow
talent_descr;kamisato_ayato_endless_flow;После использования skill{burst:Искусства Камисато: Суйю} name{скорость обычной атаки} всех ближайших членов отряда повышается на %{atk_speed_normal} в течение 15 сек.;After using skill{burst:Kamisato Art: Suiyuu}, all nearby party members will have %{atk_speed_normal} increased name{Normal Attack SPD} for 15s.
talent_name;kamisato_ayato_bansui_ichiro;Бансуй итиро;Bansui Ichiro
talent_name;kamisato_ayato_boundless_origin;Бескрайний исток;Boundless Origin
