category;name;rus;eng
char_name;kaveh;Кавех;Kaveh
talent_name;kaveh_schematic_setup;Схематическая настройка;Schematic Setup
talent_descr;kaveh_schematic_setup;<p>name{Обычная атака:}<br>Выполняет до четырёх атак, используя Мехрак.</p><p>name{Заряженная атака:}<br>Комбо-атака, на которую непрерывно тратится выносливость.<br>После комбо-атаки проводит дополнительную мощную атаку мечом.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Uses Mehrak to perform up to 4 consecutive attacks.</p><p>name{Charged Attack}<br>Drains Stamina over time to perform continuous slashes.<br>At the end of the sequence, performs a more powerful slash.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;kaveh_artistic_ingenuity;Творческое мастерство;Artistic Ingenuity
talent_descr;kaveh_artistic_ingenuity;<p>Использует способность картографирования Мехрака для атаки, проводя круговое сканирование и нанося dendro{Дендро урон по площади}. Также сканирует все Дендро ядра в области действия и заставляет их мгновенно взорваться.</p><p><i>Мехрак - модифицированная древняя технология, и может обладать другими функциями, помимо картографирования...</i></p>;<p>Uses Mehrak's mapping ability for offensive purposes, initiating a radial scan that deals dendro{AoE Dendro DMG}. It will also scan all Dendro Cores in its AoE and cause them to immediately burst.</p><p><i>Mehrak was created through the modification of ancient technology and may have some other functions apart from mapping work...</i></p>
feature_burst;kaveh_bloom_dmg_bonus;Бонус урона взрыва Дендро ядер;Dendro Core Burst DMG Bonus
talent_name;kaveh_painted_dome;Расписной купол;Painted Dome
talent_descr;kaveh_painted_dome_1;<p>Полностью высвобождает энергию Мехрака и создаёт сканируемое пространство в форме куба, нанося находящимся в нём противникам dendro{Дендро урон по площади} и заставляя все dendro{Дендро ядра} в области действия взорваться, а также на некоторое время даёт Кавеху следующие боевые усиления:<br>· Увеличивает область поражения name{обычной атаки}, name{заряженной атаки} и name{атаки в падении} name{Кавеха}, а также конвертирует урон атак в dendro{Дендро урон}, который не может быть отменён другими инфузиями.<br>· Повышает урон взрыва dendro{Дендро ядер}, создаваемых персонажами вашего отряда с помощью реакций dendro{Бутонизация} или dendro{Лунная бутонизация}.<br>· Увеличивает сопротивление прерыванию name{Кавеха}.<br>Эти эффекты исчезают, когда name{Кавех} покидает поле боя.</p><p><i>«В здании каждого стиля заключено уникальное мировоззрение его архитектора. Исходя из этого, можно сказать, что здания - застывшие человеческие воспоминания».</i></p>;"<p>Completely unleashes Mehrak's energy and creates a cubic scanned space, dealing dendro{AoE Dendro DMG} to all opponents within it, causing all dendro{Dendro Cores} in its AoE to immediately burst, and granting name{Kaveh} the following enhanced combat abilities for a specific duration:<br>· Increases name{Kaveh}'s name{Normal}, name{Charged}, and name{Plunging Attack} AoE, and converts his attack DMG to dendro{Dendro DMG} that cannot be overridden.<br>· All dendro{Dendro Cores} created by all your own party members through dendro{Bloom} and dendro{Lunar-Bloom} reactions will deal additional DMG when they burst.<br>· Increases name{Kaveh}'s resistance to interruption.<br>These effects will be canceled once name{Kaveh} leaves the field.</p><p><i>""Every building style includes the architect's unique worldview, and from this angle, one can say that the buildings themselves are coalescences of human memories.""</i></p>"
talent_descr;kaveh_painted_dome_2;· Увеличивает область поражения name{обычной атаки}, name{заряженной атаки} и name{атаки в падении} name{Кавеха}, а также конвертирует урон атак в dendro{Дендро урон}, который не может быть отменён другими инфузиями.<br>· Повышает урон взрыва dendro{Дендро ядер}, создаваемых персонажами вашего отряда с помощью реакций dendro{Бутонизация} или dendro{Лунная бутонизация}.<br>· Увеличивает сопротивление прерыванию name{Кавеха}.<br>Эти эффекты исчезают, когда name{Кавех} покидает поле боя.;· Increases name{Kaveh}'s name{Normal}, name{Charged}, and name{Plunging Attack} AoE, and converts his attack DMG to dendro{Dendro DMG} that cannot be overridden.<br>· All dendro{Dendro Cores} created by all your own party members through dendro{Bloom} and dendro{Lunar-Bloom} reactions will deal additional DMG when they burst.<br>· Increases name{Kaveh}'s resistance to interruption.<br>These effects will be canceled once name{Kaveh} leaves the field.
talent_descr;kaveh_painted_dome_3;Повышает урон взрыва dendro{Дендро ядер}, создаваемых персонажами вашего отряда с помощью реакций dendro{Бутонизация} или dendro{Лунная бутонизация}.;All dendro{Dendro Cores} created by all your own party members through dendro{Bloom} and dendro{Lunar-Bloom} reactions will deal additional DMG when they burst.
talent_name;kaveh_an_architects_undertaking;Ответственность строителя;An Architect's Undertaking
talent_descr;kaveh_an_architects_undertaking;Когда name{Кавех} получает урон от dendro{Дендро ядер} (включая урон от реакций dendro{Цветение} и dendro{Вегетация}), он восстанавливает name{HP} в размере %{text_percent_heal} от собственного name{мастерства стихий}. Эффект может возникнуть один раз в 0,5 сек.;When DMG dealt by a dendro{Dendro Core} (including DMG from dendro{Burgeon} and dendro{Hyperbloom}) hits name{Kaveh}, name{Kaveh} will regain name{HP} equal to %{text_percent_heal} of his name{Elemental Mastery}. This effect can be triggered once every 0.5s.
talent_name;kaveh_a_craftsmans_curious_conceptions;Причуды мастера;A Craftsman's Curious Conceptions
talent_descr;kaveh_a_craftsmans_curious_conceptions;Попадания по врагам name{обычных атак}, name{заряженных атак} или name{атак в падении} name{Кавеха} во время действия skill{burst:Расписного купола} увеличивают его name{мастерство стихий} на %{mastery} ед. Этот эффект может возникнуть один раз в 0,1 сек. и складывается до 4 раз.<br>Когда name{Расписной купол} заканчивается, эффект исчезает.;During skill{burst:Painted Dome}, after name{Kaveh}'s name{Normal}, name{Charged}, or name{Plunging Attacks} hit opponents, his name{Elemental Mastery} will increase by %{mastery}. This effect can be triggered once every 0.1s. Max 4 stacks.<br>This effect will be canceled when name{Painted Dome}'s effects end.
talent_name;kaveh_sublime_salutations;Возвышенные приветствия;Sublime Salutations
talent_descr;kaveh_sublime_salutations;На 3 сек. после активации skill{skill:Творческого мастерства} dendro{Дендро сопротивление} name{Кавеха} повышается на %{res_dendro}, а name{бонус получаемого лечения} - на %{healing_recv}.;Within 3s after using skill{skill:Artistic Ingenuity}, name{Kaveh}'s dendro{Dendro RES} and name{Incoming Healing Bonus} will be increased by %{res_dendro} and %{healing_recv} respectively.
talent_name;kaveh_grace_of_royal_roads;Изящество королевских путей;Grace of Royal Roads
talent_descr;kaveh_grace_of_royal_roads;Во время действия skill{burst:Расписного купола} name{скорость обычной атаки} name{Кавеха} повышается на %{atk_speed_normal}.;name{Kaveh}'s name{Normal Attack SPD} increases by %{atk_speed_normal} during skill{burst:Painted Dome}.
talent_name;kaveh_profferings_of_dur_untash;Подношения Дур-Унташ;Profferings of Dur Untash
talent_name;kaveh_feast_of_apadana;Пиршество Ападаны;Feast of Apadana
talent_descr;kaveh_feast_of_apadana;Урон взрыва dendro{Дендро ядер}, которые создаются вызванными name{Кавехом} реакциями dendro{Бутонизация} или dendro{Лунная бутонизация}, повышается на %{dmg_reaction_rupture}.;dendro{Dendro Cores} created from dendro{Bloom} and dendro{Lunar-Bloom} reactions name{Kaveh} triggers will deal %{dmg_reaction_rupture} more DMG when they burst.
talent_name;kaveh_treasures_of_bonkhanak;Сокровища Бон-Ханак;Treasures of Bonkhanak
talent_name;kaveh_pairidaezas_dreams;Мечты Пайридаэзы;Pairidaeza's Dreams
talent_descr;kaveh_pairidaezas_dreams;Попадания по врагам name{обычной атакой}, name{заряженной атакой} и name{атакой в падении} name{Кавеха} во время действия skill{burst:Расписного купола} вызывают на позиции противника name{Свет Пайридаэзы}, который наносит dendro{Дендро урон} по площади, равный value{61,8%} от name{силы атаки} name{Кавеха}, и взрывает все dendro{Дендро ядра} в области действия. Этот эффект может возникнуть раз в 3 сек.;When name{Kaveh}'s name{Normal}, name{Charged}, or name{Plunging Attacks} hit opponents during skill{burst:Painted Dome}, they will unleash name{Pairidaeza's Light} upon the opponent's position, dealing value{61.8%} of name{Kaveh}'s name{ATK} as AoE dendro{Dendro DMG} and causing all dendro{Dendro Cores} within that AoE to burst. This effect can be triggered once every 3s.
