category;name;rus;eng
char_name;keqing;Кэ Цин;Keqing
talent_name;keqing_yunlai_swordsmanship;Грозовое фехтование;Yunlai Swordsmanship
talent_descr;keqing_yunlai_swordsmanship;<p>name{Обычная атака:}<br>До пяти быстрых ударов мечом.</p><p>name{Заряженная атака:}<br>Два быстрых взмаха мечом, на которые тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;keqing_skill_stiletto;Урон стилета;Lightning Stiletto DMG
feature_skill;keqing_skill_slash;Рубящий урон;Slashing DMG
feature_skill;keqing_skill_clap_dmg;Урон громового комбо;Thunderclap Slash DMG
talent_name;keqing_stellar_restoration;Возвращение звезды;Stellar Restoration
talent_descr;keqing_stellar_restoration;<p>Выпускает name{Громовой стилет}, который поражает врагов словно внезапный удар молнии.<br>При попадании name{Громовой стилет} наносит electro{Электро урон} врагам в небольшом радиусе и устанавливает Метку стилета в точке попадания.</p><p>name{Долгое нажатие:}<br>Удерживайте, чтобы выбрать направление броска Громового стилета.<br>Стилеты, брошенные долгим нажатием, могут остаться в воздухе, что позволит name{Кэ Цин} телепортироваться к ним при повторном использовании навыка Возвращение звезды.</p><p>name{Громовой стилет:}<br>Если name{Кэ Цин} активирует навык второй раз или использует name{заряженную атаку} в течение действия навыка, Метка стилета пропадает и эффекты навыка меняются:<br>При повторном использовании навыка Возвращение звезды, name{Кэ Цин} телепортируется к Метке стилета и проводит атаку, наносящую electro{Электро урон по площади}. С помощью телепортации name{Кэ Цин} может преодолевать ландшафтные препятствия.<br>Выполнение name{заряженной атаки} активирует серию ударов молнии в точке Метки стилета, нанося множественный electro{Электро урон по площади}.</p><p><i>«Люди подобны мотылькам, они неустанно летят на свет, который называют Архонтами или Адептами. Но мой свет - только мой».</i></p>;"<p>Hurls a name{Lightning Stiletto} that annihilates her opponents like the swift thunder.<br>When the Stiletto hits its target, it deals electro{Electro DMG} to opponents in a small AoE, and places a Stiletto Mark on the spot hit.</p><p>name{Hold}<br>Hold to adjust the direction in which the Stiletto shall be thrown.<br>Stilettos thrown by the Hold attack mode can be suspended in mid-air, allowing name{Keqing} to jump to them when using Stellar Restoration a second time.</p><p>name{Lightning Stiletto}<br> If name{Keqing} uses Stellar Restoration again or uses a name{Charged Attack} while its duration lasts, it will clear the Stiletto Mark and produce different effects:<br>·If she uses Stellar Restoration again, she will blink to the location of the Mark and unleash one slashing attack that deals electro{AoE Electro DMG}. When blinking to a Stiletto that was thrown from a Holding attack, name{Keqing} can leap across obstructing terrain.<br>·If name{Keqing} uses a name{Charged Attack}, she will ignite a series of thundering cuts at the Mark's location, dealing electro{AoE Electro DMG}.</p><p><i>""Humans are like moths, endlessly chasing the flame we call gods and adepti. But this light that I have here is my own.""</i></p>"
feature_burst;keqing_burst_slash;Урон комбо атаки;Consecutive Slash DMG
feature_burst;keqing_burst_last;Урон последнего удара;Last Attack DMG
talent_name;keqing_starward_sword;Меч небесного тракта;Starward Sword
talent_descr;keqing_starward_sword;<p>name{Кэ Цин} выпускает силу грома, нанося electro{Электро урон по площади}.<br>Затем она растворяется в тени своего меча и исполняет серию молниеносных атак по всем окружающим её врагам, нанося множественный electro{Электро урон}. Последний удар наносит electro{Электро урон по площади}.</p><p><i>Самая быстрая атака в арсенале name{Кэ Цин}, способная сорвать звёзды с небес.</i></p>;<p>name{Keqing} unleashes the power of lightning, dealing electro{Electro DMG} in an AOE.<br>She then blends into the shadow of her blade, striking a series of thunderclap-blows to nearby opponents simultaneously that deal multiple instances of electro{Electro DMG}. The final attack deals massive electro{AoE Electro DMG}.</p><p><i>The swiftest technique in name{Keqing}'s personal arsenal is fast enough to bring stars crashing down.</i></p>
talent_name;keqing_thundering_penance;Небесное покаяние;Thundering Penance
talent_descr;keqing_thundering_penance;При повторной активации навыка skill{skill:Возвращение звезды}, когда на поле боя есть name{Громовой стилет}, оружие name{Кэ Цин} наделяется инфузией electro{Электро} на 5 сек.;After recasting skill{skill:Stellar Restoration} while a name{Lightning Stiletto} is present, name{Keqing}'s weapon gains an electro{Electro} Infusion for 5s.
talent_name;keqing_aristocratic_dignity;Благородие аристократа;Aristocratic Dignity
talent_descr;keqing_aristocratic_dignity;Активация навыка skill{burst:Меч небесного тракта} увеличивает name{шанс крит. попадания} name{Кэ Цин} и её name{восстановление энергии} на %{crit_rate}. Эффект длится 8 сек.;When casting skill{burst:Starward Sword}, name{Keqing}'s name{CRIT Rate} is increased by %{crit_rate}, and her name{Energy Recharge} is increased by %{recharge}. This effect lasts for 8s.
talent_name;keqing_thundering_might;Громовая мощь;Thundering Might
talent_descr;keqing_thundering_might;При повторной активации навыка skill{skill:Возвращение звезды}, когда на поле боя есть name{Громовой стилет}, name{Кэ Цин} в начальной и конечной точке своей телепортации наносит electro{Электро урон} по площади, равный %{text_percent_dmg} от её name{силы атаки}.;Recasting skill{skill:Stellar Restoration} while a name{Lightning Stiletto} is present causes name{Keqing} to deal %{text_percent_dmg} of her name{ATK} as AoE electro{Electro DMG} at the start point and terminus of her Blink.
talent_name;keqing_keen_extraction;Тяжёлые налоги;Keen Extraction
talent_descr;keqing_keen_extraction;Попадания name{Кэ Цин} по врагу с эффектом electro{Электро} имеют 50% шанс создать элементальную частицу.<br>Может возникнуть раз в 5 сек.;When name{Keqing}'s name{Normal} and name{Charged Attacks} hit opponents affected by electro{Electro}, they have a 50% chance of producing an name{Elemental Particle}.<br>This effect can only occur once every 5s.
talent_name;keqing_foreseen_reformation;Верх иерархии;Foreseen Reformation
talent_name;keqing_attunement;Настройка инструмента;Attunement
talent_descr;keqing_attunement;При вызове electro{Электро} реакций name{Кэ Цин} увеличивает name{силу атаки} на %{atk_percent} в течение 10 сек.;For 10s after name{Keqing} triggers an electro{Electro}-related name{Elemental Reaction}, her name{ATK} is increased by %{atk_percent}.
talent_name;keqing_beckoning_stars;Мановение звёзд;Beckoning Stars
talent_name;keqing_tenacious_star;Упорная звезда;Tenacious Star
talent_descr;keqing_tenacious_star;При выполнении name{обычной} или name{заряженной атаки}, либо при активации name{элементального навыка} или name{взрыва стихии} name{Кэ Цин} получает %{dmg_electro} бонус electro{Электро урона} на 8 сек.<br>Эффекты, вызванные name{обычной атакой}, name{заряженной атакой}, name{элементным навыком} или name{взрывом стихии}, существуют независимо друг от друга.;When initiating a name{Normal Attack}, a name{Charged Attack}, name{Elemental Skill} or name{Elemental Burst}, name{Keqing} gains a %{dmg_electro} electro{Electro DMG Bonus} for 8s.<br>Effects triggered by name{Normal Attacks}, name{Charged Attacks}, name{Elemental Skills} and name{Elemental Bursts} are considered independent entities.
