category;name;rus;eng
char_name;kinich;Кинич;Kinich
feature_attack;kinich_mid_air_normal_attack_dmg;Урон обычной атаки в воздухе;Mid-Air Normal Attack DMG
talent_name;kinich_nightsun_style;Стиль ночного солнца;Nightsun Style
talent_descr;kinich_nightsun_style;<p>name{Обычная атака:}<br>До трёх ударов подряд.<br>Совершив прыжок с помощью крюка name{элементального навыка} Охотник Крон: Верхом на высотах, до приземления name{Кинич} может выполнить одну name{обычную атаку} в воздухе.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости на вращение и бросок двуручного меча во врагов впереди.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;"<p>name{Normal Attack}<br>Performs up to 3 rapid strikes.<br>After using his name{Elemental Skill} ""Canopy Hunter: Riding High""'s mid-air swing, he can perform a name{Normal Attack} in mid-air before landing.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to spin and throw his name{Claymore} forward to attack opponents.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>"
feature_skill;kinich_loop_shot_dmg;Урон кольцевого выстрела;Loop Shot DMG
feature_skill;kinich_scalespiker_cannon_dmg;Урон Чешуебоя;Scalespiker Cannon DMG
talent_name;kinich_riding_high;Охотник Крон: Верхом на высотах;Canopy Hunter: Riding High
talent_descr;kinich_riding_high;<p>Используя знания об охоте на крупную дичь, name{Кинич} быстро перемещается или атакует врагов.<br>Если рядом есть противник или объект, который можно атаковать, то name{Кинич} выпускает в цель крюк, закрепляется и переходит в состояние name{Благословения Ночного духа} с 0 очков. Если рядом ничего из перечисленного нет, он выпускает перед собой крюк и совершает с его помощью прыжок, причём откат данного навыка сокращается на 60%.<br>Может активироваться долгим нажатием. При долгом нажатии он способен прицельно выбирать направление крюка.</p><p>name{Благословение Ночного духа: Кинич}<br>name{Благословение Ночного духа} name{Кинича} длится 10 сек. и раз в секунду создаёт 2 очка name{Ночного духа}.<br>В этом состоянии name{Кинич} прикрепляется крюком к противнику поблизости и может совершать разные атаки следующим образом:<br>· При использовании name{обычной атаки} он скользит вокруг противника, к которому прицеплен, в текущем направлении движения и совершает кольцевые выстрелы, которые наносят dendro{Дендро урон} с характеристикой name{Ночного духа}, а также создаёт 3 очка name{Ночного духа}. Урон этих выстрелов считается уроном name{элементального навыка}.<br>· С максимумом очков name{Ночного духа} он может задействовать name{элементальный навык} name{Чешуебой}: расходуя все очки name{Ночного духа}, наносит dendro{Дендро урон} с характеристикой name{Ночного духа}. Если name{Чешуебой} активировать долгим нажатием, можно прицельно выбирать цель. Выстрелив из name{Чешуебоя}, name{Кинич} попробует закрепиться к его цели.<br>Находясь в состоянии name{Благословения Ночного духа}, name{Кинич}, после того как он закрепился крюком к противнику или выстрелил из name{Чешуебоя}, создаёт рядом с противником Слепую зону. Когда name{Кинич} входит в Слепую зону, он создаёт 4 очка name{Ночного духа}, а зона пропадает.<br>Если связь прерывается из-за превышения макс. расстояния или по другой причине, name{обычная атака} закрепит крюком новую цель поблизости перед тем как производить выстрелы.</p><p><i>«У всего есть своя цена. Полагаю, ты сделаешь разумное предложение... Что? Нет, я не принимаю оплату в рассрочку».</i></p>;"<p>name{Kinich} uses his big-game hunting skills to either move swiftly or attack his opponent.<br>When there is an opponent or object that can be attacked nearby, he will attach a grappling hook to the target and enter name{Nightsoul's Blessing} with 0 name{Nightsoul points}. If neither is nearby, he fires a grappling hook forward and swings in mid-air, and this Skill's CD is decreased by 60%.<br>This skill can be Held to release. When it is Held, name{Kinich} can aim the grappling hook.</p><p>name{Nightsoul's Blessing: Kinich}<br>name{Kinich}'s name{Nightsoul's Blessing} lasts 10s and generates 2 name{Nightsoul points} every second.<br>In this state, name{Kinich} will hook onto a nearby opponent and perform a variable attack:<br>·When using a name{Normal Attack}, name{Kinich} will fire name{Loop Shots} as he loops around the grappled target based on his current movement direction, dealing Nightsoul-aligned dendro{Dendro DMG} and generating 3 name{Nightsoul points}. Loop Shot DMG is considered name{Elemental Skill DMG}.<br>·When name{Nightsoul points} are at max, he can use the name{Elemental Skill} ""name{Scalespiker Cannon}"": Consume all name{Nightsoul points} to deal Nightsoul-aligned dendro{Dendro DMG}. When ""name{Scalespiker Cannon}"" is Held, name{Kinich} can aim this shot. After firing the name{Cannon}, name{Kinich} will try to grapple to its target.<br>While in name{Nightsoul's Blessing}, after grappling an opponent or firing ""name{Scalespiker Cannon},"" a Blind Spot will be generated next to the opponent. When name{Kinich} enters this Blind Spot, it will disappear and he will generate 4 name{Nightsoul points}.<br>If the grapple connection should snap due to exceeding the maximum distance or some other reason, using a name{Normal Attack} will establish a new connection with a nearby opponent before performing name{Loop Shots}.</p><p><i>""All things come with a cost. I suggest you make a suitable offer... What? No, I don't do installments.""</i></p>"
feature_burst;kinich_dragon_breath_dmg;Урон дыхания дракона;Dragon Breath DMG
talent_name;kinich_hail_to_the_almighty_dragonlord;Слава драконьему величеству;Hail to the Almighty Dragonlord
