category;name;rus;eng
char_name;kirara;Кирара;Kirara
talent_name;kirara_boxcutter;Нарезка коробок;Boxcutter
talent_descr;kirara_boxcutter;<p>name{Обычная атака:}<br>До четырёх быстрых ударов.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости на три быстрых удара когтями.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 3 rapid claw strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;kirara_flying_kick_dmg;Урон удара в прыжке;Tail-Flicking Flying Kick DMG
feature_skill;kirara_urgent_neko_parcel_dmg;Урон удара Срочной посылки нэко;Urgent Neko Parcel Hit DMG
feature_skill;kirara_urgent_neko_parcel_duration;Макс. длительность Срочной посылки нэко;Max Urgent Neko Parcel Duration
feature_skill;kirara_flipclaw_strike_dmg;Урон Удара когтями;Flipclaw Strike DMG
talent_name;kirara_meow_teor_kick;Мяутеоритный удар;Meow-teor Kick
talent_descr;kirara_meow_teor_kick;<p>name{Быстрое нажатие}<br>Подпрыгивает в воздух с ловкостью мчащейся через кусты кошки и больно бьёт противников, нанося dendro{Дендро урон по площади}. Также развёртывает Щит безопасной перевозки и на короткое время получает dendro{эффект Дендро}. Щит безопасной перевозки поглощает dendro{Дендро урон} с 250% эффективностью. Поглощаемый щитом урон зависит от name{макс. HP} name{Кирары} и не превышает определённого процента от него. Оставшийся поглощаемый урон name{Щита безопасной перевозки} при создании нового щита суммируется с ним, а его длительность обновляется.</p><p>name{Долгое нажатие}<br>Следуя рвению «доставить за полдня», создаёт такой же Щит безопасной перевозки, как и при коротком нажатии, сворачивается калачиком в специальном ящике для экспресс-доставки и переходит в состояние name{Срочной посылки нэко}, чтобы передвигаться и сражаться ещё быстрее.</p><p>name{Срочная посылка нэко}<br>· Наносит dendro{Дендро урон} противникам, в которых врезается. Этот эффект может возникнуть один раз в 0,5 сек. для каждого врага.<br>· В этом состоянии name{скорость передвижения}, скорость карабканья и сила прыжка name{Кирары} увеличены, а при карабканье она тратит больше энергии.<br>· После истечения времени действия или повторной активации навыка выполняет Удар когтями, который наносит dendro{Дендро урон по площади}. Этот удар сильнее атаки при коротком нажатии навыка.<br>· Состояние name{Срочной посылки нэко} длится до 10 сек., после чего переходит в режим отката. Чем дольше name{Кирара} пребывает в этом состоянии, тем дольше откат.<br>· Спринт или произвольное завершение карабканья прерывает это состояние.</p><p><i>«Хотите знать, в чём секрет такой быстрой доставки? В силе ног, конечно же!»</i></p>;"<p>name{Press}<br>Leaps into the air with all the agility of a cat passing through the bushes, and thwacks her foes with a flying kick that deals dendro{AoE Dendro DMG} while creating a name{Shield of Safe Transport}. This will also briefly dendro{apply Dendro} to name{Kirara}. The shield will absorb dendro{Dendro DMG} with 250% effectiveness. The shield's DMG absorption will be based on name{Kirara}'s name{Max HP} and will not exceed a certain percentage of that name{Max HP}. The remaining DMG absorption on a name{Shield of Safe Transport} will stack on a new one when it is created, and its duration will reset.</p><p>name{Hold}<br>Out of her desire to ""deliver within half a day,"" name{Kirara} deploys a name{Shield of Safe Transport} identical to the one that can be created by pressing the skill. She will also curl up into a special express delivery box, entering the name{Urgent Neko Parcel} state in order to move and fight more swiftly.</p><p>name{Urgent Neko Parcel}<br>· Deals dendro{Dendro DMG} to opponents she crashes into. This effect can be triggered once on each opponent every 0.5s.<br>· When in this state, name{Kirara}'s movement speed, climbing speed, and jumping power are all increased, and her Stamina Consumption from climbing is increased.<br>· When the duration ends or the skill is used again, a Flipclaw Strike more powerful than the attack in the Press Mode will be unleashed, dealing dendro{AoE Dendro DMG}.<br>· The name{Urgent Neko Parcel} state lasts a maximum of 10s. When the state ends, the skill will enter CD. The longer name{Kirara} spends in this state, the longer the CD will be.<br>· Sprinting or actively canceling climbing will end this state early.</p><p><i>""So you wanna know the secret to speedy deliveries? Well, it's all in the legs!""</i></p>"
feature_burst;kirara_cat_grass_explosion_dmg;Урон взрыва Семян кошачьей мяты;Cat Grass Cardamom Explosion DMG
feature_burst;kirara_cat_grass_duration;Длительность Семян кошачьей мяты;Cat Grass Cardamom Duration
talent_name;kirara_surprise_dispatch;Неожиданное отправление;Secret Art: Surprise Dispatch
talent_descr;kirara_surprise_dispatch;<p>Обрушивает Особый ящик для доставки на любителей красть посылки, нанося dendro{Дендро урон по площади}. Взрываясь, Особый ящик для доставки разделяется на множество name{Семян кошачьей мяты}. Семена кошачьей мяты взрываются при столкновении с врагом или спустя некоторое время, нанося dendro{Дендро урон по площади}.</p><p><i>«Хе-хе, это специально для тех, кто любит красть чужие посылки. По получении не забудьте оставить хороший отзыв, мерзавцы!»</i></p>;"<p>Smash opponents with a Special Delivery Package used for punishing parcel thieves, dealing dendro{AoE Dendro DMG}. After the Special Delivery Package explodes, it will split up into many name{Cat Grass Cardamoms} that will explode either upon contact with opponents or after a period of time, dealing dendro{AoE Dendro DMG}.</p><p><i>""Hehe, that's right, this stuff was made to deal with those parcel thieves! Remember to leave a 5-star rating once you've received yours!""</i></p>"
talent_name;kirara_bewitching_betwitching_tails;Чарующие хвосты;Bewitching, Betwitching Tails
