category;name;rus;eng
char_name;klee;Кли;Klee
talent_name;klee_sparks_n_splash;Грохот и искры;Sparks 'n' Splash
talent_descr;klee_sparks_n_splash;<p>Кли жжёт по полной! На время действия навыка Кли призывает Грохот и искры, которые наносят окружающим врагам pyro{Пиро урон по площади}.</p><p><i>Рыцари Ордо Фавониус считают, что, должно быть, за Кли присматривает счастливая звезда, ведь ни одна из её собственных бомб ни разу не нанесла ей вреда...</i></p>;<p>Klee's Blazing Delight! For the duration of this ability, continuously summons Sparks 'n' Splash to attack nearby opponents, dealing pyro{AoE Pyro DMG}.</p><p><i>The knights all believe that Klee must have a lucky star watching over her to have never been hurt by any of her own bombs...</i></p>
talent_name;klee_kaboom;Бабах!;Kaboom!
talent_descr;klee_kaboom;<p>name{Обычная атака:}<br>Кли любит взрывать всё вокруг! Она бросает до трёх бомб, наносящих pyro{Пиро урон по площади}.</p><p>name{Заряженная атака:}<br>Короткое заклинание, наносящее pyro{Пиро урон по площади}, на которое тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Накопив энергию огня, стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит pyro{Пиро урон по площади}.</p>;<p>name{Normal Attack}<br>Throws things that go boom when they hit things! Performs up to 3 explosive attacks, dealing pyro{AoE Pyro DMG}.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina and deals pyro{AoE Pyro DMG} to opponents after a short casting time.</p><p>name{Plunging Attack}<br>Gathering the power of Pyro, Klee plunges towards the ground from mid-air, damaging all opponents in her path. Deals pyro{AoE Pyro DMG} upon impact with the ground.</p>
talent_name;klee_jumpy_dumpty;Прыг-скок бомба;Jumpy Dumpty
talent_descr;klee_jumpy_dumpty;<p>Прыг-скок бомбы - сплошное взрывное веселье!<br>Бросает мощную Прыг-скок бомбу, которая три раза отскакивает от поверхностей и взрывается, нанося pyro{Пиро урон по площади} при каждом отскоке.</p><p>После третьего отскока бомба взрывается и распадается на мины.<br>Мины взрываются через некоторое время, либо при касании врагов. Взрыв наносит pyro{Пиро урон по площади}.<br>Изначально имеет два заряда.</p><p><i>Прыг-скок - это хороший друг Кли! Она не может не представить его всем присутствующим.</i></p>;<p>Jumpy Dumpty is tons of boom-bang-fun! <br>When thrown, Jumpy Dumpty bounces thrice, igniting and dealing pyro{AoE Pyro DMG} with every bounce.</p><p>On the third bounce, the bomb splits into many mines.<br>The mines will explode upon contact with opponents, or after a short period of time, dealing pyro{AoE Pyro DMG}.</p><p>Starts with 2 charges.</p><p><i>Jumpy Dumpty is Klee's good friend! She can't help but introduce him to everyone.</i></p>
talent_name;klee_pounding_surprise;Тук-тук, кто там?;Pounding Surprise
talent_descr;klee_pounding_surprise;При нанесении урона навыком skill{skill:Прыг-скок бомба} или name{обычной атакой}, name{Кли} имеет 50% шанс получить name{Взрывную искру}.<br>name{Взрывная искра} тратится при следующей name{заряженной атаке}, которая наносит на %{dmg_charged} больше урона и не потребляет выносливость.;When skill{skill:Jumpy Dumpty} and name{Normal Attacks} deal DMG, name{Klee} has a 50% chance to obtain an name{Explosive Spark}.<br>This name{Explosive Spark} is consumed by the next name{Charged Attack}, which costs no Stamina and deals %{dmg_charged} increased DMG.
talent_name;klee_sparkling_burst;Искры без границ;Sparkling Burst
talent_descr;klee_sparkling_burst;При критическом попадании name{заряженной атакой} name{Кли} все члены отряда получают 2 ед. name{элементальной энергии}.;When name{Klee}'s name{Charged Attack} results in a name{CRIT Hit}, all party members gain 2 name{Elemental Energy}.
talent_name;klee_chained_reactions;Цепные реакции;Chained Reactions
talent_descr;klee_chained_reactions;Исполнение атак и навыков имеет шанс забросать врагов искрами, нанося урон, равный %{text_percent_dmg} от урона навыка skill{burst:Грохот и искры}.;Attacks and Skills have a certain chance to summon sparks that bombard opponents, dealing DMG equal to %{text_percent_dmg} of skill{burst:Sparks 'n' Splash}'s DMG.
talent_name;klee_explosive_frags;Осколочные мины;Explosive Frags
talent_descr;klee_explosive_frags;Мины навыка skill{skill:Прыг-скок бомба} уменьшают защиту коснувшихся их врагов на %{enemy_def_reduce} в течение 10 сек.;Being hit by skill{skill:Jumpy Dumpty}'s mines decreases opponents' name{DEF} by %{enemy_def_reduce} for 10s.
talent_name;klee_exquisite_compound;Фирменный ингредиент;Exquisite Compound
talent_name;klee_sparkly_explosion;Взрывоопасно;Sparkly Explosion
talent_descr;klee_sparkly_explosion;Если name{Кли} покидает поле боя во время навыка skill{burst:Грохот и искры}, активируется взрыв, который наносит %{text_percent_dmg} её name{силы атаки} в качестве pyro{Пиро урона} по площади.;If name{Klee} leaves the field during the duration of skill{burst:Sparks 'n' Splash}, her departure triggers an explosion that deals %{text_percent_dmg} of her name{ATK} as AoE pyro{Pyro DMG}.
talent_name;klee_nova_burst;Сверхновая звезда;Nova Burst
talent_name;klee_blazing_delight;Пламенный восторг;Blazing Delight
talent_descr;klee_blazing_delight;Когда навык skill{burst:Грохот и искры} активен, name{Кли} каждые 3 сек. восстанавливает 3 ед. name{элементальной энергии} другим членам отряда.<br>Активация навыка skill{burst:Грохот и искры} даёт всем членам отряда %{dmg_pyro} бонус pyro{Пиро урона} на 25 сек.;While under the effects of skill{burst:Sparks 'n' Splash}, name{Klee} will regenerate 3 name{Energy} for all members of the party (excluding name{Klee}) every 3s.<br>When skill{burst:Sparks 'n' Splash} is used, all party members will gain a %{dmg_pyro} pyro{Pyro DMG Bonus} for 25s.
