category;name;rus;eng
char_name;kujou_sara;Сара;Kujou Sara
talent_name;kujou_sara_koukou_sendou;Подчинение: Коко сэндо;Subjugation: Koukou Sendou
talent_descr;kujou_sara_koukou_sendou;<p>По позиции цели бьёт name{Тэнгу дзюрай}: Крушитель титанов, который наносит electro{Электро урон по площади}. После этого name{Тэнгу дзюрай}: Крушитель титанов разделяется на 4 линии последовательных name{Тэнгу дзюрай}: Громокластер, которые наносят electro{Электро урон по площади}.<br>name{Тэнгу дзюрай}: Крушитель титанов и name{Тэнгу дзюрай}: Громокластер позволяют активному персонажу в зоне действия получить тот же бонус атаки, что и во время name{элементального навыка} Призыв грозы тэнгу.</p><p>Бонусы атаки от разных name{Тэнгу дзюрай} не складываются, а их эффекты и длительность считаются по последнему появившемуся name{Тэнгу дзюрай}.</p><p><i>Сара покинула свой народ, тэнгу, и на время потеряла веру в комиссию Тэнрё. Но когда тучи в её сердце рассеялись, она заново нашла свою молнию.</i></p>;<p>Casts down name{Tengu Juurai}: Titanbreaker, dealing electro{AoE Electro DMG}. Afterwards, name{Tengu Juurai}: Titanbreaker spreads out into 4 consecutive bouts of name{Tengu Juurai: Stormcluster}, dealing electro{AoE Electro DMG}.<br>name{Tengu Juurai}: Titanbreaker and name{Tengu Juurai: Stormcluster} can provide the active character within their AoE with the same name{ATK} Bonus as given by the name{Elemental Skill}, Tengu Stormcall.</p><p>The name{ATK} Bonus provided by various kinds of name{Tengu Juurai} will not stack, and their effects and duration will be determined by the last name{Tengu Juurai} to take effect.</p><p><i>Sara departed from her people, the tengu, and also temporarily lost her faith in the Tenryou Commission. But once the clouds over her heart cleared, she found her own lightning anew.</i></p>
talent_name;kujou_sara_tengu_bowmanship;Стрелковое искусство тэнгу;Tengu Bowmanship
talent_descr;kujou_sara_tengu_bowmanship;<p>name{Обычная атака:}<br>До пяти выстрелов из лука.</p><p>name{Заряженная атака:}<br>Более меткий name{прицельный выстрел} с увеличенным уроном.<br>Во время прицеливания наконечник стрелы заряжается потрескивающей молнией. Полностью заряженная силой грозы стрела наносит electro{Электро урон}.<br>Когда персонаж находится в состоянии name{Укрытия вороньего пера}, полностью заряженный выстрел при попадании оставляет после себя name{Воронье перо}.</p><p>name{Атака в падении:}<br>Выпускает град стрел в воздухе, которые при приземлении персонажа наносят name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 consecutive shots with a bow.</p><p>name{Charged Attack}<br>Performs a more precise name{Aimed Shot} with increased DMG.<br>While aiming, crackling lightning will accumulate on the arrowhead. An arrow fully charged with the storm's might will deal electro{Electro DMG}.<br>When in the name{Crowfeather Cover} state, a fully-charged arrow will leave a name{Crowfeather} behind after it hits.</p><p>name{Plunging Attack}<br>Fires off a shower of arrows in mid-air before falling and striking the ground, dealing name{AoE DMG} upon impact.</p>
talent_name;kujou_sara_tengu_stormcall;Призыв грозы тэнгу;Tengu Stormcall
talent_descr;kujou_sara_tengu_stormcall;<p>Быстро отступает со скоростью тэнгу и призывает защиту Вороньего пера.<br>name{Кудзё Сара} получает Укрытие вороньего пера на 18 сек., и когда она совершает полностью заряженный прицельный выстрел, Укрытие вороньего пера тратится и оставляет на месте цели name{Воронье перо}.<br>Через короткое время Вороньи перья активируют name{Тэнгу дзюрай}: Засада, которые наносят противникам в зоне действия electro{Электро урон} и дают активному персонажу, находящемуся в зоне действия, бонус атаки, зависящий от базовой атаки Кудзё Сары.</p><p>Бонусы атаки от разных name{Тэнгу дзюрай} не складываются, а их эффекты и длительность считаются по последнему появившемуся name{Тэнгу дзюрай}.</p><p><i>У расы тэнгу не было недостатка в представителях исключительного таланта, получивших Электро Глаз Бога, и они до сих пор по старой привычке во время манипуляций с Электро восхваляют Электро Архонта. Их моление звучит примерно так:</i><br><i>«Покажи своё превосходство, о достойнейшая Наруками! Даруй слуге твоему силу грозы! Совака!»</i></p>;"<p>Retreats rapidly with the speed of a tengu, summoning the protection of the name{Crowfeather}.<br>Gains name{Crowfeather Cover} for 18s, and when name{Kujou Sara} fires a fully-charged Aimed Shot, name{Crowfeather Cover} will be consumed, and will leave a name{Crowfeather} at the target location.<br>Crowfeathers will trigger name{Tengu Juurai: Ambush} after a short time, dealing electro{Electro DMG} and granting the active character within its AoE an name{ATK} Bonus based on name{Kujou Sara}'s name{Base ATK}.</p><p>The name{ATK} Bonuses from different name{Tengu Juurai} will not stack, and their effects and duration will be determined by the last name{Tengu Juurai} to take effect.</p><p><i>The tengu race have never lacked for exceptional talents who have received an Electro Vision. It's just that they often habitually chant praises to the Electro Archon while manipulating Electro. The chants go something like this</i><br><i>""Show forth your might, O praiseworthy Narukami, and grant this supplicant your thunderous might! Sowaka!""</i></p>"
talent_name;kujou_sara_immovable_will;Недвижимая воля;Immovable Will
talent_descr;kujou_sara_immovable_will;Нахождение в состоянии name{Укрытия вороньего пера} навыка skill{skill:Призыв грозы тэнгу} уменьшает время заряда name{прицельного выстрела} на %{text_percent}.;While in the name{Crowfeather Cover} state provided by skill{skill:Tengu Stormcall}, name{Aimed Shot} charge times are decreased by %{text_percent}.
talent_name;kujou_sara_decorum;Этикет;Decorum
talent_descr;kujou_sara_decorum;Когда name{Тэнгу дзюрай}: Засада попадает атакой по противнику, name{Кудзё Сара} восстанавливает 1,2 name{ед. энергии} всем членам отряда за каждые 100% своего показателя name{восстановления энергии}.<br>Этот эффект может возникнуть только 1 раз каждые 3 сек.;When name{Tengu Juurai: Ambush} hits opponents, name{Kujou Sara} will restore 1.2 name{Energy} to all party members for every 100% name{Energy Recharge} she has. This effect can be triggered once every 3s.
talent_name;kujou_sara_crows_eye;Глаз ворона;Crow's Eye
talent_descr;kujou_sara_crows_eye;Когда name{Тэнгу дзюрай} дают персонажам бонус атаки или попадают по противнику, время отката навыка skill{skill:Призыв грозы тэнгу} уменьшается на 1 сек.<br>Этот эффект может возникнуть только 1 раз каждые 3 сек.;When name{Tengu Juurai} grants characters name{ATK} Bonuses or hits opponents, the CD of skill{skill:Tengu Stormcall} is decreased by 1s.<br>This effect can be triggered once every 3s.
talent_name;kujou_sara_dark_wings;Тёмные крылья;Dark Wings
talent_descr;kujou_sara_dark_wings;Активация навыка skill{skill:Призыв грозы тэнгу} оставляет на месте Кудзё Сары name{Воронье перо}, которое призывает слабого name{Тэнгу дзюрай}: Засада, наносящего %{text_percent_dmg} изначального урона.;Unleashing skill{skill:Tengu Stormcall} will leave a weaker name{Crowfeather} at name{Kujou Sara}'s original position that will deal %{text_percent_dmg} of its original DMG.
talent_name;kujou_sara_the_war_within;Внутренняя война;The War Within
talent_name;kujou_sara_conclusive_proof;Неоспоримое доказательство;Conclusive Proof
talent_descr;kujou_sara_conclusive_proof;Количество призванных навыком skill{burst:Подчинение: Коко сэндо} name{Тэнгу дзюрай}: Громокластер увеличено до 6.;The number of name{Tengu Juurai: Stormcluster} released by skill{burst:Subjugation: Koukou Sendou} is increased to 6.
talent_name;kujou_sara_spellsinger;Заклинательная песнь;Spellsinger
talent_name;kujou_sara_sin_of_pride;Грех гордыни;Sin of Pride
talent_descr;kujou_sara_sin_of_pride;Критический electro{Электро урон} персонажей, получивших бонус атаки от name{Тэнгу дзюрай}, увеличивается на %{crit_dmg_electro}.;The electro{Electro DMG} of characters who have had their name{ATK} increased by name{Tengu Juurai} has its name{CRIT DMG} increased by %{crit_dmg_electro}.
