category;name;rus;eng
char_name;kuki_shinobu;Синобу;Kuki Shinobu
talent_name;kuki_shinobu_gyoei_narukami_kariyama_rite;Обряд Гёэй Наруками Карияма;Gyoei Narukami Kariyama Rite
talent_descr;kuki_shinobu_gyoei_narukami_kariyama_rite;<p>Вонзает в землю изгоняющий зло клинок, создавая очищающий барьер, который непрерывно наносит electro{Электро урон}, зависящий от макс. HP Синобу.<br>Если у Синобу осталось не более 50% HP при активации навыка, то барьер продержится дольше. </p><p><i>Первоначально этот навык использовался при прополке и в ежегодных ритуальных молитвах за урожай, но Синобу не забыла его, пусть её жизнь в качестве жрицы и осталась позади.</i></p>;<p>Stabs an evil-excoriating blade into the ground, creating a field that cleanses the area of all that is foul, dealing continuous electro{Electro DMG} to opponents within its AoE based on Shinobu's Max HP.<br>If Shinobu's HP is less than or equal to 50% when this skill is used, the field will last longer.</p><p><i>This was originally a technique used in weeding and in ritual prayers for the yearly harvest, but Shinobu has not forgotten it, though her career as a shrine maiden may have ended.</i></p>
talent_name;kuki_shinobu_shinobus_shadowsword;Теневой меч Синобу;Shinobu's Shadowsword
talent_descr;kuki_shinobu_shinobus_shadowsword;<p>name{Обычная атака:}<br>До четырёх быстрых ударов мечом.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости на два быстрых взмаха мечом.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит урон по площади.</p>;<p>name{Normal Attack}<br>Performs up to 4 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing AoE DMG upon impact.</p>
talent_name;kuki_shinobu_sanctifying_ring;Освящающее кольцо;Sanctifying Ring
talent_descr;kuki_shinobu_sanctifying_ring;<p>Жертвует частью HP и создаёт Травяное кольцо освящения, нанося electro{Электро урон} ближайшим противникам.</p><p>name{Травяное кольцо освящения}<br>Следует за активным персонажем. Каждые 1,5 сек. наносит electro{Электро урон} окружающим противникам и восстанавливает HP активным персонажам в зоне действия. Количество восстановленного HP зависит от макс. HP Куки Синобу.</p><p>Использование навыка не может опустить HP Синобу ниже 20%.</p><p><i>«Завяжи траву наку вокруг талии, и она отгонит зло».</i></p>;"<p>Creates a Grass Ring of Sanctification at the cost of part of her HP, dealing electro{Electro DMG} to nearby opponents.</p><p>name{Grass Ring of Sanctification}<br>Follows your current active character around. Deals electro{Electro DMG} to nearby opponents every 1.5s and restores HP for active character(s) within the ring's AoE based on Kuki Shinobu's Max HP.</p><p>The HP consumption from using this skill can only bring her to 20% HP.</p><p>""<i>Band the Naku Weed into a loop around your waist, and it shall exorcise evil.</i>""</p>"
talent_name;kuki_shinobu_breaking_free;Освобождение;Breaking Free
talent_descr;kuki_shinobu_breaking_free;name{Бонус лечения} увеличивается на %{healing}, когда name{HP} name{Куки Синобу} не превышает 50%.;When name{Shinobu}'s name{HP} is not higher than 50%, her name{Healing Bonus} is increased by %{healing}.
talent_name;kuki_shinobu_hearts_repose;Спокойствие духа;Heart's Repose
talent_descr;kuki_shinobu_hearts_repose;Характеристики skill{skill:Освящающего кольца} улучшаются в зависимости от name{мастерства стихий} name{Синобу}:<br>· Лечение увеличивается на %{text_percent_healing} от name{мастерства стихий}.<br>· Урон увеличивается на %{text_percent_dmg} от name{мастерства стихий}.;skill{skill:Sanctifying Ring}'s abilities will be boosted based on name{Shinobu}'s name{Elemental Mastery}:<br>·Healing amount will be increased by %{text_percent_healing} of name{Elemental Mastery}.<br>·DMG dealt is increased by %{text_percent_dmg} of name{Elemental Mastery}.
talent_name;kuki_shinobu_to_cloister_compassion;Отказ от сострадания;To Cloister Compassion
talent_descr;kuki_shinobu_to_cloister_compassion;Зона поражения навыка skill{burst:Обряд Гёэй Наруками Карияма} увеличивается на 50%.;skill{burst:Gyoei Narukami Kariyama Rite}'s AoE is increased by 50%.
talent_name;kuki_shinobu_to_forsake_fortune;Отказ от удачи;To Forsake Fortune
talent_descr;kuki_shinobu_to_forsake_fortune;Длительность skill{skill:Травяного кольца освящения} увеличивается на 3 сек.;skill{skill:Grass Ring of Sanctification}'s duration is increased by 3s.
talent_name;kuki_shinobu_to_sequester_sorrow;Отказ от страданий;To Sequester Sorrow
talent_name;kuki_shinobu_to_sever_sealing;Отказ от затворничества;To Sever Sealing
