category;name;rus;eng
char_name;lauma;Лаума;Lauma
talent_name;lauma_all_hearts_become_the_beating_moon;Рунная песнь: Сердца становятся луной;Runo: All Hearts Become the Beating Moon
talent_descr;lauma_all_hearts_become_the_beating_moon;<p>Пусть стремления всех созданий станут лунным светом, что озаряет землю. Лаума читает священную песнь крайнего севера и получает 18 уровней skill{n11190003:Сизого гимна}.<br>Вдобавок, когда Лаума применяет name{взрыв стихии}, имея skill{n11190002:Песню луны}, либо получает Песню луны в течение 15 сек. после использования name{взрыва стихии}, она расходует все уровни Песни луны и получает 6 уровней Сизого гимна за каждый потраченный уровень Песни луны. Этот эффект может активироваться только один раз для каждого использованного name{взрыва стихии}, включая 15 секунд после его использования.</p><p>name{Сизый гимн}<br>Когда персонажи отряда поблизости наносят урон реакций Бутонизация, Вегетация, Цветение или Лунная бутонизация, 1 уровень Сизого гимна расходуется и повышает наносимый урон пропорционально мастерству стихий Лаумы. Если такой урон поражает нескольких противников одновременно, то уровни Сизого гимна расходуются согласно количеству поражённых противников.<br>Длительность каждого уровня Сизого гимна рассчитывается отдельно.</p>;<p>Let the wishes of all beings become as moonlight that bathes the earth. Lauma incants a sacred song of the far north, gaining 18 stacks of skill{n11190003:Pale Hymn}.<br>Additionally, if Lauma uses her name{Elemental Burst} while she has skill{n11190002:Moon Song}, or she gains Moon Song within 15s of using her name{Elemental Burst}, she will consume all Moon Song stacks and gain 6 stacks of Pale Hymn for every Moon Song stack consumed. This effect can only be triggered once for each name{Elemental Burst} used, including the 15 seconds following its use.</p><p>name{Pale Hymn}<br>When nearby party members deal Bloom, Hyperbloom, Burgeon, or Lunar-Bloom DMG, 1 stack of Pale Hymn will be consumed and the DMG dealt will be increased based on Lauma's name{Elemental Mastery}. If this DMG hits multiple opponents at once, then multiple stacks of Pale Hymn will be consumed, depending on how many opponents are hit.<br>The duration for each stack of Pale Hymn is counted independently.</p>
talent_name;lauma_peregrination_of_linnunrata;Скитания Линнунраты;Peregrination of Linnunrata
talent_descr;lauma_peregrination_of_linnunrata;<p>name{Обычная атака:}<br>До трёх ударов, наносящих dendro{Дендро урон}.</p><p>name{Заряженная атака:}<br>Лаума принимает форму Посланницы духов: она становится посланницей безмятежных рощ и тратит выносливость на бросок вперёд длительностью до 10 сек. В этом состоянии сопротивление прерыванию Лаумы повышается, а также она может расходовать дополнительную выносливость, чтобы выполнить до 2 последовательных прыжков.<br>Когда Лаума выходит из формы Посланницы духов, превращение в Посланницу духов переходит в откат. В это время name{заряженная атака} Лаумы становится Воззванием к духам - кратким заклинанием, наносящим dendro{Дендро урон по площади} впереди, на которое тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Накопив энергию Дендро, стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит dendro{Дендро урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 3 attacks that deal dendro{Dendro DMG}</p><p>name{Charged Attack}<br>Lauma undergoes Spirit Envoy Metamorphosis, transforming into an envoy of the tranquil forest and consuming Stamina to charge forward for up to 10s. While in this state, Lauma's interruption resistance is increased, and she can consume additional Stamina to perform up to two consecutive jumps.<br>When exiting the Spirit Envoy state, Spirit Envoy Metamorphosis will enter cooldown, during which time, Lauma's name{Charged Attack} will be transformed into Spiritcall Prayer: Consumes a certain amount of Stamina to deal dendro{AoE Dendro DMG} to opponents in front of her after a short casting time.</p><p>name{Plunging Attack}<br>Calling upon the might of Dendro, Lauma plunges towards the ground from mid-air, damaging all opponents in her path and dealing dendro{AoE Dendro DMG} upon impact with the ground.</p>
talent_name;lauma_dawnless_rest_of_karsikko;Рунная песнь: Безрассветный покой карсикко;Runo: Dawnless Rest of Karsikko
talent_descr;lauma_dawnless_rest_of_karsikko;<p>Молча произносит древний гимн и призывает skill{n11190001:Святыню инеевой чащи}. При долгом нажатии способ активации навыка меняется.</p><p>name{Быстрое нажатие}<br>Произносит Песнь охоты, нанося dendro{Дендро урон по площади}.</p><p>name{Долгое нажатие}<br>Активируется, если есть хотя бы 1 skill{n11190008:Зелёная роса}. Лаума расходует всю Зелёную росу и произносит Песнь вечного сна, один раз нанося обычный dendro{Дендро урон по площади} и ещё один раз dendro{Дендро урон по площади}, который считается уроном реакции Лунная бутонизация. Каждая израсходованная Зелёная роса также наделяет Лауму одним уровнем skill{n11190002:Песни луны}. Каждая активация name{элементального навыка} долгим нажатием может израсходовать до 3 Зелёных рос.</p><p>Кроме того, когда name{элементальный навык} или Святыня инеевой чащи Лаумы поражают врага, dendro{Дендро} и hydro{Гидро} сопротивление данного врага снижается на 10 сек.</p>;<p>Silently incants an ancient hymn, summoning a skill{n11190001:Frostgrove Sanctuary} with different effects depending on whether you Tap or Hold.</p><p>name{Tap}<br>Intone a Hymn of Hunting, dealing dendro{AoE Dendro DMG}.</p><p>name{Hold}<br>Can be unleashed when you have at least 1 skill{n11190008:Verdant Dew}. Lauma consumes all Verdant Dew and intones a Hymn of Eternal Rest, dealing one regular instance of dendro{AoE Dendro DMG} and another instance of dendro{AoE Dendro DMG} that is considered Lunar-Bloom DMG. Each Verdant Dew consumed will give Lauma one stack of skill{n11190002:Moon Song}. Each time you Hold to cast an name{Elemental Skill}, a maximum of 3 Verdant Dew can be consumed in this way.</p><p>Additionally, when Lauma's name{Elemental Skill} or attacks from Frostgrove Sanctuary hit an opponent, that opponent's dendro{Dendro RES} and hydro{Hydro RES} will be decreased for 10s.</p>
talent_name;lauma_light_for_the_frosty_night;Свет для морозной ночи;Light for the Frosty Night
talent_descr;lauma_light_for_the_frosty_night;На 20 сек. после использования name{элементального навыка} Лаумы skill{Рунная песнь: Безрассветный покой карсикко} в зависимости от skill{Лунного знамения} отряда активируются разные усиления. Усиления разных уровней Лунного знамения не складываются.<br><br>skill{Лунное знамение - Зарождающееся сияние}<br>Урон реакций dendro{Бутонизация}, dendro{Вегетация} и dendro{Цветение} всех персонажей отряда поблизости может наносить крит. попадания. Фиксированный name{шанс крит. попадания} составляет 15%, а фиксированный name{крит. урон} - 100%. name{Шанс крит. попадания}, предоставляемый этим эффектом, может суммироваться с повышением шанса крит. попадания аналогичных эффектов, позволяющих элементальным реакциям наносить крит. попадания.<br><br>skill{Лунное знамение - Высшее сияние}<br>name{Шанс крит. попадания} реакции dendro{Лунная бутонизация} всех персонажей отряда поблизости повышается на 10%, а name{крит. урон} - на 20%.;For the next 20s after Lauma uses her name{Elemental Skill} skill{Runo: Dawnless Rest of Karsikko}, corresponding differing buff effects will be granted depending on the party's skill{Moonsign}. The buffs provided by different name{Moonsign} levels cannot stack.<br><br>skill{Moonsign: Nascent Gleam}<br>dendro{Bloom}, dendro{Hyperbloom}, and dendro{Burgeon} DMG dealt by all nearby party members can score CRIT Hits, with name{CRIT Rate} fixed at 15%, and name{CRIT DMG} fixed at 100%. name{CRIT Rate} from this effect stacks with name{CRIT Rate} from similar effects that allow these Elemental Reactions to CRIT.<br><br>skill{Moonsign: Ascendant Gleam}<br>All nearby party members' dendro{Lunar-Bloom DMG} name{CRIT Rate} +10%, name{CRIT DMG} +20%.
talent_name;lauma_cleansing_for_the_spring;Омовение для родника;Cleansing for the Spring
