category;name;rus;eng
char_name;linnea;Линнея;Linnea
talent_name;linnea_capture_protocol;Протокол поимки;Capture Protocol
talent_descr;linnea_capture_protocol;<p>name{Обычная атака}<br>До трёх последовательных выстрелов из лука.</p><p>name{Заряженная атака}<br>Более меткий name{прицельный выстрел} с увеличенным уроном.<br>Во время прицеливания на кончике стрелы накапливаются кристаллы. Полностью заряженная кристальная стрела наносит geo{Гео урон}.</p><p>name{Атака в падении}<br>Выпускает град стрел в воздухе и стремительно падает на землю. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 3 consecutive shots with a bow.</p><p>name{Charged Attack}<br>Performs a more precise name{Aimed Shot} with increased DMG.<br>While aiming, stone crystals will accumulate on the arrowhead. A fully charged crystalline arrow will deal geo{Geo DMG}.</p><p>name{Plunging Attack}<br>Fires off a shower of arrows in mid-air before falling and striking the ground, dealing name{AoE DMG} upon impact.</p>
feature_skill;linnea_lumi_pound_pound_pummeler_dmg;Урон Бух-бах молота Луми;Lumi Pound-Pound Pummeler DMG
feature_skill;linnea_lumi_heavy_overdrive_hammer_dmg;Урон Усиленного молота Луми;Lumi Heavy Overdrive Hammer DMG
feature_skill;linnea_lumi_million_ton_crush_dmg;Урон Мегатонного молота Луми;Lumi Million Ton Crush DMG
feature_skill;linnea_lumi_duration;Длительность Луми;Lumi Duration
talent_name;linnea_lumis_battle_cry;Контрмера: Боевой клич Луми!;Countermeasure: Lumi's Battle Cry!
talent_descr;linnea_lumis_battle_cry;<p>На поиски приключений с Луми! В зависимости от типа нажатия атака Луми принимает разные формы.</p><p>name{Быстрое нажатие}<br>Луми в name{skill{n11300001:Суперсильной форме}} непрерывно атакует врагов поблизости, нанося geo{Гео урон по площади}. Если рядом есть name{Лунная пелена}, то Луми также наносит врагам поблизости geo{Гео урон по площади}, который считается уроном реакции Лунный кристалл.</p><p>name{Многократные нажатия}<br>Пора показать свою настоящую силу! При многократных нажатиях на name{элементальный навык} или name{обычную атаку} после применения name{элементального навыка} Линнея кормит Луми сверкающими самоцветами. Наевшаяся Луми атакует в name{skill{n11300001:Форме наивысшей силы}}, один раз нанося врагам поблизости особенно мощный geo{Гео урон по площади}, который считается уроном реакции Лунный кристалл, и принимает name{skill{n11300001:Форму стандартной силы}}.<br>Кроме того, многократные нажатия на name{элементальный навык} повышают сопротивление прерыванию name{Линнеи}.</p><p><i>«Луми, настало твоё время!»</i></p>;"<p>Adventure with Lumi! Depending on how you Tap, Lumi attacks in different forms.</p><p>name{Tap}<br>Lumi strikes in a name{skill{n11300001:Super Power Form}}, attacking nearby enemies continuously, dealing geo{AoE Geo DMG}. If there are name{Moondrifts} nearby, Lumi will also deal geo{AoE Geo DMG} to nearby enemies, which will be considered Lunar-Crystallize name{Reaction DMG}.</p><p>name{Continuous Tapping}<br>Time to show what we're really capable of! After using her name{Elemental Skill}, Linnea will feed Lumi sparkling gemstones when her name{Elemental Skill} or name{Normal Attack} is Tapped repeatedly. A full-bellied Lumi will strike in her name{skill{n11300001:Ultimate Power Form}}, dealing an especially powerful instance of geo{AoE Geo DMG} that is considered Lunar-Crystallize name{Reaction DMG}, switching to name{skill{n11300001:Standard Power Form}}.<br>Additionally, tapping the name{Elemental Skill} increases Linnea's interruption resistance.</p><p><i>""You're up, Lumi!""</i></p>"
feature_burst;linnea_initial_healing_amount;Начальное лечение;Initial Healing Amount
feature_burst;linnea_healing_duration;Длительность лечения;Healing Duration
talent_name;linnea_survival_guide_in_extreme_conditions;Памятка: Руководство по выживанию в экстремальных условиях;Memo: Survival Guide in Extreme Conditions
talent_descr;linnea_survival_guide_in_extreme_conditions;<p>Даже искателям приключений экстра-класса нужен отдых! Линнея призывает Луми атаковать в name{skill{n11300001:Суперсильной форме}}, восстанавливая name{HP} всем персонажам отряда поблизости. Некоторое время она продолжает периодически восстанавливать name{HP} активным персонажам поблизости пропорционально защите name{Линнеи}.<br>Если на момент использования name{взрыва стихии} Луми уже атаковала, то вместо этого сбрасывается время её действия, а форма атаки Луми не изменяется.</p><p><i>«Для профессионального искателя приключений выбраться из безнадёжной ситуации целым и невредимым куда важнее любых открытий, сколь бы беспрецедентными они ни были!»</i></p>;"<p>Even master adventurers need proper rest! Linnea summons Lumi to strike in name{skill{n11300001:Super Power Form}}, healing nearby party members. For a short duration, she will continuously heal nearby active party members based on Linnea's name{DEF}.<br>If Lumi is already on the field when Linnea unleashes name{Elemental Burst}, Lumi's active duration will be reset instead and her Strike Form will not change.</p><p><i>""Any professional adventurer worth their salt prizes making it out of a serious jam over making discoveries, however unprecedented!""</i></p>"
talent_name;linnea_field_observation_notes;Полевые заметки;Field Observation Notes
talent_descr;linnea_field_observation_notes_1;<p>Когда Луми на поле боя, geo{Гео сопротивление} противников рядом с ней снижается на %{enemy_res_geo}.</p>;<p>When Lumi is present on the field, the geo{Geo RES} of opponents near Lumi will decrease by %{enemy_res_geo}.</p>
talent_descr;linnea_field_observation_notes_2;<p>skill{Лунное знамение - Высшее сияние}: name{элементальный навык} skill{skill:Контрмера: Боевой клич Луми!} и name{взрыв стихии} skill{burst:Памятка: Руководство по выживанию в экстремальных условиях} name{Линнеи} получают усиление. После того как Луми призывается на поле, geo{Гео сопротивление} врагов рядом с ней дополнительно снижается на %{enemy_res_geo}.</p>;<p>skill{Moonsign: Ascendant Gleam}: Linnea's name{Elemental Skill} skill{skill:Countermeasure: Lumi's Battle Cry!} and name{Elemental Burst} skill{burst:Memo: Survival Guide in Extreme Conditions} are enhanced. After summoning Lumi, the geo{Geo RES} of opponents near Lumi will be further decreased by %{enemy_res_geo}.</p>
talent_name;linnea_universal_naturalist_archive;Энциклопедия натуралиста;Universal Naturalist Archive
talent_descr;linnea_universal_naturalist_archive_1;<p>В зависимости от активного персонажа вашего отряда Линнея повышает name{мастерство стихий} определённых персонажей отряда на value{5%} от своей защиты. Если активный персонаж вашего отряда:<br>· Персонаж Лунного знамения: повышается name{мастерство стихий} этого персонажа.<br>· Не персонаж Лунного знамения: повышается name{мастерство стихий} самой name{Линнеи}.</p>;<p>Linnea will increase the name{Elemental Mastery} of certain characters in your party according to your current active character. Increase in name{Elemental Mastery} is based on value{5%} of Linnea's name{DEF}. If your current active character:<br>· Is a name{Moonsign} character: Increase this character's name{Elemental Mastery}.<br>· Is not a name{Moonsign} character: Increase Linnea's own name{Elemental Mastery}.</p>
talent_descr;linnea_universal_naturalist_archive_2;<p>В зависимости от активного персонажа вашего отряда Линнея повышает name{мастерство стихий} определённых персонажей отряда на value{5%} от своей защиты. Если активный персонаж вашего отряда:<br>· Персонаж Лунного знамения: повышается name{мастерство стихий} этого персонажа.</p>;<p>Linnea will increase the name{Elemental Mastery} of certain characters in your party according to your current active character. Increase in name{Elemental Mastery} is based on value{5%} of Linnea's name{DEF}. If your current active character:<br>· Is a name{Moonsign} character: Increase this character's name{Elemental Mastery}.</p>
