category;name;rus;eng
char_name;lisa;Лиза;Lisa
talent_name;lisa_lightning_touch;Касание молнии;Lightning Touch
talent_descr;lisa_lightning_touch;<p>name{Обычная атака:}<br>До четырёх ударов молнией, наносящих electro{Электро урон}.</p><p>name{Заряженная атака:}<br>Короткое заклинание, наносящее electro{Электро урон по площади}, на которое тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Накопив энергию молнии, стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит electro{Электро урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 lightning attacks that deal electro{Electro DMG}.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to deal electro{AoE Electro DMG} after a short casting time.</p><p>name{Plunging Attack}<br>Gathering the might of Electro, name{Lisa} plunges towards the ground from mid-air, damaging all opponents in her path. Deals electro{AoE Electro DMG} upon impact with the ground.</p>
feature_skill;lisa_stack_1;Урон долгого нажатия по целям с 1х проводником;Stack 1 Conductive Hold DMG
feature_skill;lisa_stack_2;Урон долгого нажатия по целям с 2х проводником;Stack 2 Conductive Hold DMG
feature_skill;lisa_stack_3;Урон долгого нажатия по целям с 3х проводником;Stack 3 Conductive Hold DMG
talent_name;lisa_violet_arc;Пурпурная дуга;Violet Arc
talent_descr;lisa_violet_arc;<p>Фокусирует силу молнии на вечно мешающих надоедливых существах.</p><p>name{Быстрое нажатие:}<br>Выпускает самонаводящийся шар молнии, который при попадании наносит electro{Электро урон} и накладывает на противников в небольшом радиусе статус name{Проводник} (может складываться до 3 раз).</p><p>name{Долгое нажатие:}<br>Произносит заклинание, вызывающее с небес гром, который наносит electro{Электро урон} окружающим врагам. Также наносит дополнительный урон врагам со статусом name{Проводник}, в зависимости от количества складываний, при этом снимая с них этот статус.</p><p><i>Цвет настроения - пурпурный Электро.</i></p>;<p>Channels the power of lightning to sweep bothersome matters away.</p><p>name{Press}<br>Releases a homing Lightning name{Orb}.<br>On hit, it deals electro{Electro DMG} and applies a stack of the name{Conductive} status (max 3 stacks) to opponents in a small AoE.</p><p>name{Hold}<br>After an extended casting time, calls down lightning from the heavens, dealing massive electro{Electro DMG} to all nearby opponents.<br>Deals great amounts of extra damage to opponents based on the number of name{Conductive} stacks applied to them, and clears their name{Conductive} status.</p><p><i>Electro Purple is the raiment of the Witch of Purple Rose.</i></p>
feature_burst;lisa_discharge_dmg;Урон от удара молнии;Discharge DMG
talent_name;lisa_lightning_rose;Громовая роза;Lightning Rose
talent_descr;lisa_lightning_rose;<p>Призывает громовую розу, которая отталкивает окружающих врагов и наносит им electro{Электро урон}.<br>В течение продолжительного времени атакует окружающих врагов, нанося им electro{Электро урон}.</p><p><i>Красота этой розы находится за гранью нашего понимания, так же как и её бьющие током шипы.</i></p>;<p>Summons a Lightning Rose that unleashes powerful name{lightning bolts}, launching surrounding opponents and dealing electro{Electro DMG}.<br>The Lightning Rose will continuously emit lightning to knock back opponents and deal electro{Electro DMG} throughout the ability's duration.</p><p><i>This rose is beautiful, but beware its mortal thorns.</i></p>
talent_name;lisa_induced_aftershock;Остаточная индукция;Induced Aftershock
talent_descr;lisa_induced_aftershock;<p>Попадания name{заряженной атакой} накладывают на врагов статус name{Проводник} навыка skill{skill:Пурпурная дуга}.</p>;<p>Hits by name{Charged Attacks} apply skill{skill:Violet Arc}'s name{Conductive} status to opponents.</p>
talent_name;lisa_static_electricity_field;Сила электрического поля;Static Electricity Field
talent_descr;lisa_static_electricity_field;<p>Попадание навыком skill{burst:Громовая роза} уменьшает name{защиту} противника на %{enemy_def_reduce} в течение 10 сек.</p>;<p>Opponents hit by skill{burst:Lightning Rose} have their name{DEF} decreased by %{enemy_def_reduce} for 10s.</p>
talent_name;lisa_infinite_circuit;Замыкание цепи;Infinite Circuit
talent_descr;lisa_infinite_circuit;<p>За каждое попадание долгим нажатием навыка skill{skill:Пурпурная дуга} name{Лиза} восстанавливает 2 name{ед. энергии}.<br>Не более 10 name{ед. энергии} за раз.</p>;<p>name{Lisa} regenerates 2 name{Energy} for every opponent hit while holding skill{skill:Violet Arc}.<br>A maximum of 10 name{Energy} can be regenerated in this manner at any one time.</p>
talent_name;lisa_electromagnetic_field;Электромагнитное поле;Electromagnetic Field
talent_descr;lisa_electromagnetic_field;<p>Долгое нажатие навыка skill{skill:Пурпурная дуга} даёт следующие эффекты:<br>· Увеличивает name{защиту} на %{def_percent}.<br>· Повышает устойчивость name{Лизы} к прерыванию.</p>;<p>Holding skill{skill:Violet Arc} has the following effects:<br>·Increases name{DEF} by %{def_percent}.<br>·Increases name{Lisa}'s resistance to interruption.</p>
talent_name;lisa_resonant_thunder;Резонанс цепи;Resonant Thunder
talent_name;lisa_plasma_eruption;Извержение плазмы;Plasma Eruption
talent_descr;lisa_plasma_eruption;<p>Увеличивает количество name{ударов молнии} навыка skill{burst:Громовая роза} до 1-3.</p>;<p>skill{burst:Lightning Rose} now unleashes 1-3 name{lightning bolts} when it attacks.</p>
talent_name;lisa_electrocute;Электро казнь;Electrocute
talent_name;lisa_pulsating_witch;Импульс ведьмы;Pulsating Witch
talent_descr;lisa_pulsating_witch;<p>При переключении на name{Лизу} накладывает на окружающих врагов 3 статуса name{Проводник} навыка skill{skill:Пурпурная дуга}.<br>Может возникнуть раз в 5 сек.</p>;<p>When name{Lisa} takes the field, she applies 3 stacks of skill{skill:Violet Arc}'s name{Conductive} status onto nearby opponents.<br>This effect can only occur once every 5s.</p>
