category;name;rus;eng
char_name;lynette;Линетт;Lynette
talent_name;lynette_rapid_ritesword;Стремительная церемониальная рапира;Rapid Ritesword
talent_descr;lynette_rapid_ritesword;<p>name{Обычная атака:}<br>До четырёх быстрых ударов.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости на два быстрых взмаха мечом.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;lynette_enigma_thrust_dmg;Урон Выпада тени;Enigma Thrust DMG
feature_skill;lynette_hp_regeneration;Лечение/попадание;HP Regeneration
feature_skill;lynette_hold_max_duration;Макс. длительность долгого нажатия;Hold Max Duration
talent_name;lynette_enigmatic_feint;Таинственный трюк с исчезновением;Enigmatic Feint
talent_descr;lynette_enigmatic_feint;<p>Взмахивает плащом и выполняет name{Выпад тени}, который наносит anemo{Анемо урон}.<br>При попадании во врага name{Выпад тени} восстанавливает name{HP} name{Линетт} пропорционально её name{макс. HP}, и в течение 4 сек. после этого отнимает определённое количество name{HP} каждую секунду.<br>При долгом нажатии способ активации навыка меняется.</p><p>name{Быстрое нажатие}<br>Выполняет стремительный name{Выпад тени}.</p><p>name{Долгое нажатие}<br>name{Линетт} быстро движется в облике Бегущей тени и накладывает Знак тени на врага поблизости. В это время можно контролировать направление её движения. При повторном использовании навыка движение прекращается.<br>После окончания стремительного передвижения name{Линетт} наносит name{Выпад тени}. Если поблизости есть враг со name{Знаком тени}, перед выполнением name{Выпада тени} name{Линетт} мгновенно приблизится к нему.</p><p>name{Линетт} может наложить Знак тени на не более чем 1 врага. На слишком большом расстоянии персонажа от противника Знак тени исчезает.</p><p>name{Архэ: Усия}<br>С некоторым интервалом, выполняя name{Выпад тени}, name{Линетт} призывает Клинок бурных вод, который наносит anemo{Анемо урон} усии.</p><p><i>«Переведите взгляд на сцену и продолжайте смотреть представление. Я появлюсь вновь, но не там, где вы ожидаете».</i></p>;"<p>Flicks her mantle and executes an name{Enigma Thrust}, dealing anemo{Anemo DMG}.<br>When the name{Enigma Thrust} hits an opponent, it will restore name{Lynette}'s name{HP} based on her name{Max HP}, and in the 4s afterward, she will lose a certain amount of name{HP} per second.<br>Based on whether you press or hold this ability, she will use name{Enigma Thrust} differently.</p><p>name{Press}<br>She swiftly uses an name{Enigma Thrust}.</p><p>name{Hold}<br>name{Lynette} will enter a high-speed Pilfering Shadow state and apply name{Shadowsign} to a nearby opponent. You can control her movement direction during this state, and you can end it prematurely by using this skill again.<br>When this high-speed state ends, name{Lynette} will unleash her name{Enigma Thrust}. If there is an opponent with name{Shadowsign} applied to them nearby, name{Lynette} will approach them in a flash before using name{Enigma Thrust}.</p><p>A maximum of 1 opponent can have name{Shadowsign} at any one time. When this opponent gets too far from name{Lynette}, the name{Shadowsign} will be canceled.</p><p>name{Arkhe: Ousia}<br>At specific intervals, name{Lynette} will unleash a Surging Blade when she uses name{Enigma Thrust}, dealing Ousia-aligned anemo{Anemo DMG}.</p><p><i>""Now then, turn your eyes to the stage and continue to enjoy the performance. When I next appear, I'll be where you least expect.""</i></p>"
feature_burst;lynette_bogglecat_box_dmg;Урон Изумительной кошачьей коробки;Bogglecat Box DMG
feature_burst;lynette_vivid_shot_dmg;Урон Яркого выстрела;Vivid Shot DMG
feature_burst;lynette_bogglecat_box_duration;Длительность Изумительной кошачьей коробки;Bogglecat Box Duration
talent_name;lynette_astonishing_shift;Фокус: Удивительное превращение;Magic Trick: Astonishing Shift
talent_descr;lynette_astonishing_shift;<p>name{Линетт} высоко поднимает плащ и наносит anemo{Анемо урон по площади}, с поразительным мастерством являя зрителям Изумительную кошачью коробку!</p><p>name{Изумительная кошачья коробка}<br>· Дразнит врагов, отвлекая их атаки на себя.<br>· Периодически наносит anemo{Анемо урон} врагам поблизости.<br>· При контакте с hydro{Гидро}, pyro{Пиро}, cryo{Крио} или electro{Электро} name{Изумительная кошачья коробка} поглощает данный элемент и периодически производит во врагов дополнительные name{Яркие выстрелы}, которые наносят урон этим элементом.<br>За каждое использование навыка поглощение элементов происходит только один раз.</p><p><i>«Смотри сюда. Смотри внимательно! Это мгновение чуда, которое принадлежит только нам!»</i></p>;"<p>name{Lynette} raises her mantle high, dealing anemo{AoE Anemo DMG}, using skillful sleight of hand to make a giant name{Bogglecat Box} appear!</p><p>name{Bogglecat Box}<br>·Taunts nearby opponents, attracting their attacks.<br>·Deals anemo{Anemo DMG} to nearby opponents at intervals.<br>·When the name{Bogglecat Box} comes into contact with hydro{Hydro}/pyro{Pyro}/cryo{Cryo}/electro{Electro}, it will gain the corresponding element and additionally fire Vivid Shots that will deal DMG from that element at intervals.<br>Elemental Absorption of this kind will only occur once during this ability's duration.</p><p><i>""Look this way, and look closely. This is a time for miracles, just for us.""</i></p>"
talent_name;lynette_sophisticated_synergy;Изощрённая синергия;Sophisticated Synergy
talent_descr;lynette_sophisticated_synergy;Когда в отряде есть персонажи с format{text_number=1|1}/format{text_number=2|2}/format{text_number=3|3}/format{text_number=4|4} типами элементов, активация навыка skill{burst:Фокус: Удивительное превращение} соответственно увеличивает name{силу атаки} всех персонажей отряда на format{text_number=1|8}/format{text_number=2|12}/format{text_number=3|16}/format{text_number=4|20}% на 10 сек.;Within 10s after using skill{burst:Magic Trick: Astonishing Shift}, when there are format{text_number=1|1}/format{text_number=2|2}/format{text_number=3|3}/format{text_number=4|4} Elemental Types in the party, all party members' name{ATK} will be increased by format{text_number=1|8}/format{text_number=2|12}/format{text_number=3|16}/format{text_number=4|20}% respectively.
talent_name;lynette_props_positively_prepped;Полный реквизит;Props Positively Prepped
talent_descr;lynette_props_positively_prepped;Когда призванная навыком skill{burst:Фокус: Удивительное превращение} name{Изумительная кошачья коробка} поглощает элемент, урон name{взрыва стихии} name{Линетт} увеличивается на %{dmg_burst_lynette}. Эффект действует до окончания длительности name{Изумительной кошачьей коробки}.;After the name{Bogglecat Box} summoned by skill{burst:Magic Trick: Astonishing Shift} performs Elemental Conversion, name{Lynette}'s name{Elemental Burst} will deal %{dmg_burst_lynette} more DMG. This effect will persist until the name{Bogglecat Box}'s duration ends.
talent_name;lynette_a_cold_blade_like_a_shadow;Лезвие хладной тени;A Cold Blade Like a Shadow
talent_descr;lynette_a_cold_blade_like_a_shadow;Попадание name{Выпада тени} навыка skill{skill:Таинственный трюк с исчезновением} по врагу со name{Знаком тени} создаёт на его позиции вихрь, который притягивает противников поблизости.;When skill{skill:Enigmatic Feint}'s name{Enigma Thrust} hits an opponent with name{Shadowsign}, a vortex will be created at that opponent's position that will pull nearby opponents in.
talent_name;lynette_endless_mysteries;Бесконечные загадки;Endless Mysteries
talent_descr;lynette_endless_mysteries;Когда призванная навыком skill{burst:Фокус: Удивительное превращение} name{Изумительная кошачья коробка} совершает name{Яркий выстрел}, будет дополнительно произведён ещё один name{Яркий выстрел}.;Whenever the name{Bogglecat Box} summoned by skill{burst:Magic Trick: Astonishing Shift} fires a name{Vivid Shot}, it will fire an extra name{Vivid Shot}.
talent_name;lynette_cognition_inverting_gaze;Зрение искажённого разума;Cognition-Inverting Gaze
talent_name;lynette_tacit_coordination;Безмолвное единомыслие;Tacit Coordination
talent_descr;lynette_tacit_coordination;Увеличивает количество зарядов навыка skill{skill:Таинственный трюк с исчезновением} на 1.;Increases skill{skill:Enigmatic Feint}'s charges by 1.
talent_name;lynette_obscuring_ambiguity;Покров заблуждений;Obscuring Ambiguity
talent_name;lynette_watchful_eye;Око прозрения истины;Watchful Eye
talent_descr;lynette_watchful_eye;Активируя name{Выпад тени} навыка skill{skill:Таинственный трюк с исчезновением}, name{Линетт} получает инфузию anemo{Анемо}, а бонус anemo{Анемо урона} увеличивается на %{dmg_anemo} на 6 сек.;When name{Lynette} uses skill{skill:Enigmatic Feint}'s name{Enigma Thrust}, she will gain an anemo{Anemo} Infusion and %{dmg_anemo} anemo{Anemo DMG Bonus} for 6s.
