category;name;rus;eng
char_name;lyney;Лини;Lyney
talent_name;lyney_miracle_parade;Великий фокус: Парад чудес;Wondrous Trick: Miracle Parade
talent_descr;lyney_miracle_parade;<p>name{Лини} по волшебству превращается в проворного Хохочущего шляпокота. (Не путать с Хохочущим котошляпом. Это другой реквизит!)<br>Приблизившись к врагам, Хохочущий шляпокот низвергает на врагов пламя. Каждый из них получает pyro{Пиро урон} не более 1 раза. После истечения времени действия name{Лини} отбрасывает личину Хохочущего шляпокота и запускает великолепный фейерверк, наносит pyro{Пиро урон по площади}, призывает 1 Хохочущего котошляпа и получает 1 уровень name{Избыточного реквизита}.</p><p>Действие Хохочущего шляпокота может быть прекращено произвольно.</p><p><i>«Смотри внимательно. Настало мгновение неповторимого чуда, которое принадлежит только нам!»</i></p>;"<p>Unleashing his magic, name{Lyney} turns himself into a Grin-Malkin Cat that can move around quickly. (Not to be mistaken for the Grin-Malkin Hat. They're two different props!)<br>When the Grin-Malkin Cat gets close to opponents, it will send flames falling down on them, dealing at most 1 instance of pyro{Pyro DMG} to each opponent. When the duration ends, he will dismiss the Grin-Malkin Cat and ignite fireworks that deal pyro{AoE Pyro DMG}, summon 1 Grin-Malkin Hat, and grant himself 1 name{Prop Surplus} stack.</p><p>Grin-Malkin Cat can be actively canceled.</p><p><i>""Watch closely now. This is a time for miracles, and it belongs to just the two of us!""</i></p>"
talent_name;lyney_card_force_translocation;Форсирование карты с подменой;Card Force Translocation
talent_descr;lyney_card_force_translocation;<p>name{Обычная атака}<br>Производит до четырёх последовательных выстрелов из лука.</p><p>name{Атака в падении}<br>Выпускает град стрел, которые при приземлении персонажа наносят name{урон по площади}.</p><p>name{Заряженная атака}<br>Более меткий name{прицельный выстрел} с увеличенным уроном.<br>Во время прицеливания на наконечнике стрелы собирается сила пламени. Эффект зависит от длительности заряда стрелы:<br>· Уровень заряда 1: выпускает стрелу, наполненную силой Пиро, которая наносит pyro{Пиро урон}.<br>· Уровень заряда 2: выпускает name{стрелу-реквизит}, которая наносит pyro{Пиро урон} и при попадании вызывает Хохочущего котошляпа.<br>Если во время выстрела стрелой-реквизитом у name{Лини} более 60% name{HP}, он жертвует частью name{HP} и получает 1 уровень name{Избыточного реквизита}. Эффект может складываться до 5 раз и пропадает через 30 сек. после того, как name{Лини} покидает бой.<br>При использовании этого способа name{HP} name{Лини} не может опуститься ниже 60% от его name{макс. HP}.</p><p>name{Хохочущий котошляп}<br>· Дразнит врагов, отвлекая их атаки на себя. Котошляп может дразнить каждого из врагов один раз в 5 сек.<br>· Его прочность зависит от name{макс. HP} name{Лини}.<br>· Если его уничтожают, либо если его время заканчивается, он выстреливает в 1 противника поблизости name{Пиротехническим снарядом}, который наносит pyro{Пиро урон}.<br>Одновременно может существовать только 1 котошляп.</p><p>name{Архэ: Пневма}<br>С некоторым интервалом, на месте попадания стрелы-реквизита нисходит Игла дыхания душ, наносящая pyro{Пиро урон} пневмы.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive shots with a bow.</p><p>name{Plunging Attack}<br>Fires off a shower of arrows in mid-air before falling and striking the ground, dealing name{AoE DMG} upon impact.</p><p>name{Charged Attack}<br>Performs a more precise name{Aimed Shot} with increased DMG.<br>While aiming, flames will run across the arrowhead before being fired. Different effects will occur based on the time spent charging.<br>·Charge Level 1: Fires off a Pyro-infused arrow, dealing pyro{Pyro DMG}.<br>·Charge Level 2: Fires off a name{Prop Arrow} that deals pyro{Pyro DMG}, and upon hit, it will summon a Grin-Malkin Hat.<br>When firing the name{Prop Arrow}, and when name{Lyney} has more than 60% name{HP}, he will consume a portion of his name{HP} to obtain 1 name{Prop Surplus} stack. Max 5 stacks. The effect will be removed after the character spends 30s out of combat.<br>The lowest name{Lyney} can drop to through this method is 60% of his name{Max HP}.</p><p>name{Grin-Malkin Hat}<br>·Can taunt nearby opponents and attract their attacks. Each opponent can only be taunted by the Hat once every 5s.<br>·The Hat will inherit a percentage of name{Lyney}'s name{Max HP}.<br>·If destroyed, or if its duration expires, it will fire off a name{Pyrotechnic Strike} at 1 nearby opponent, dealing pyro{Pyro DMG}.<br>Only 1 Hat can exist at any given time.</p><p>name{Arkhe: Pneuma}<br>At certain intervals, the name{Prop Arrow} will cause a Spiritbreath Thorn to descend upon its hit location, dealing Pneuma-aligned pyro{Pyro DMG}.</p>
talent_name;lyney_bewildering_lights;Ошеломляющие огни;Bewildering Lights
talent_descr;lyney_bewildering_lights;<p>name{Лини} взмахивает шляпой, запуская сюрприз-фейерверк.<br>При активации снимаются все текущие уровни name{Избыточного реквизита} и врагам впереди наносится pyro{Пиро урон по площади}. В зависимости от количества снятых уровней эффекта урон увеличивается. Кроме того, name{HP} name{Лини} восстанавливается в зависимости от его name{макс. HP}.</p><p>Если на поле боя существует Хохочущий котошляп, созданный name{Лини}, фейерверк заставит его взорваться и нанести pyro{Пиро урон по площади}, пропорциональный урону Пиротехнического снаряда.<br>Урон от взрыва котошляпа, наносимый таким образом, считается уроном name{заряженной атаки}.</p><p><i>«Это хорошо известный приём, используемый фокусниками, чтобы отвлечь внимание зрителей... А пока вы смотрите в другую сторону, шляпы с ассистенткой как не бывало. Чрезвычайно занимательно, не так ли?»</i></p>;"<p>name{Lyney} does a flourish with his hat, unleashing a firework surprise!<br>When used, he will clear all current name{Prop Surplus} stacks and deal pyro{AoE Pyro DMG} to opponents in front of him. DMG will be increased according to the stacks cleared, and this will also regenerate name{Lyney}'s name{HP} based on his name{Max HP}.</p><p>When a Grin-Malkin Hat created by name{Lyney} is on the field, the fireworks will cause it to explode, dealing pyro{AoE Pyro DMG} equal to that of a name{Pyrotechnic Strike}.<br>The DMG dealt through the Grin-Malkin Hat in this way is considered name{Charged Attack DMG}.</p><p><i>""Everyone knows that magicians will intentionally misdirect the audience... Ah, yes, while you were looking my way, the hat and assistant over there have both disappeared... Fascinating, is it not?""</i></p>"
talent_name;lyney_perilous_performance;Опасное выступление;Perilous Performance
talent_descr;lyney_perilous_performance;Если выпущенная skill{attack:стрела-реквизит} расходует name{HP} name{Лини}, призываемый ею Хохочущий котошляп, поразив цель, восстанавливает 3 name{ед. энергии} name{Лини} и увеличивает урон на %{text_percent_dmg} от name{силы атаки}.;If name{Lyney} consumes name{HP} when firing off a skill{attack:Prop Arrow}, the name{Grin-Malkin hat} summoned by the arrow will, upon hitting an opponent, restore 3 name{Energy} to name{Lyney} and increase DMG dealt by %{text_percent_dmg} of his name{ATK}.
talent_name;lyney_conclusive_ovation;Заключительные овации;Conclusive Ovation
