category;name;rus;eng
char_name;mavuika;Мавуика;Mavuika
talent_name;mavuika_flames_weave_life;Огонь плетёт жизнь;Flames Weave Life
talent_descr;mavuika_flames_weave_life;<p>name{Обычная атака:}<br>До четырёх ударов мечом.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости на исключительно сильный удар Пылающего света перед собой.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive claymore strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to perform an especially powerful Severing Splendor strike toward the front.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;mavuika_ring_of_searing_radiance_dmg;Урон Кольца испепеляющего сияния;Ring of Searing Radiance DMG
feature_skill;mavuika_ring_of_searing_radiance_attack_interval;Интервал атак Кольца испепеляющего сияния;Ring of Searing Radiance Attack Interval
feature_skill;mavuika_flamestrider_normal_attack_1_hit_dmg;Урон обычной атаки пламецикла 1;Flamestrider Normal Attack 1-Hit DMG
feature_skill;mavuika_flamestrider_normal_attack_2_hit_dmg;Урон обычной атаки пламецикла 2;Flamestrider Normal Attack 2-Hit DMG
feature_skill;mavuika_flamestrider_normal_attack_3_hit_dmg;Урон обычной атаки пламецикла 3;Flamestrider Normal Attack 3-Hit DMG
feature_skill;mavuika_flamestrider_normal_attack_4_hit_dmg;Урон обычной атаки пламецикла 4;Flamestrider Normal Attack 4-Hit DMG
feature_skill;mavuika_flamestrider_normal_attack_5_hit_dmg;Урон обычной атаки пламецикла 5;Flamestrider Normal Attack 5-Hit DMG
feature_skill;mavuika_flamestrider_sprint_dmg;Урон спринта пламецикла;Flamestrider Sprint DMG
feature_skill;mavuika_flamestrider_charged_attack_cyclic_dmg;Циклический урон заряженной атаки пламецикла;Flamestrider Charged Attack Cyclic DMG
feature_skill;mavuika_flamestrider_charged_attack_final_dmg;Финальный урон заряженной атаки пламецикла;Flamestrider Charged Attack Final DMG
feature_skill;mavuika_flamestrider_plunge_dmg;Урон атаки пламецикла в падении;Flamestrider Plunge DMG
talent_name;mavuika_the_named_moment;Именованное мгновение;The Named Moment
talent_descr;mavuika_the_named_moment_1;<p>Властью над «борьбой» призывает Всеогненное вооружение, передаваемое из поколения в поколение людьми-Архонтами, и наносит pyro{Пиро урон} с характеристикой name{Ночного духа}.<br>После применения name{Мавуика} восстанавливает очки name{Ночного духа} до максимума и входит в состояние name{Благословения Ночного духа}.</p><p>name{Всеогненное вооружение}<br>При долгом нажатии его форма меняется.</p><p>name{Быстрое нажатие}<br>Высвобождение имени божества: Всеогненное вооружение проявляется в форме name{Кольца испепеляющего сияния}. name{Кольцо испепеляющего сияния} следует за активным персонажем и периодически атакует врагов поблизости, нанося pyro{Пиро урон} с характеристикой name{Ночного духа}.</p><p>name{Долгое нажатие}<br>Высвобождение древнего имени: Всеогненное вооружение проявляется в форме пламецикла. В этом состоянии name{Мавуика} может ездить на пламецикле на высокой скорости или активировать его скрытый резервный силовой модуль, чтобы кратковременно преодолевать различные типы местности и некоторое время парить в воздухе. При этом урон name{обычных атак}, name{заряженных атак} и name{атак в падении} name{Мавуики} конвертируется в pyro{Пиро урон} с характеристикой name{Ночного духа}, который не может быть отменён другими инфузиями. Во время спринта она также наносит врагам на своём пути pyro{Пиро урон} с характеристикой name{Ночного духа}.</p><p>Когда name{Мавуика} пребывает в состоянии name{Благословения Ночного духа}, быстрым нажатием name{элементального навыка} можно изменить форму name{Всеогненного вооружения}. Всеогненное вооружение исчезнет, когда прекратится состояние name{Благословения Ночного духа} name{Мавуики}.</p><p>name{Благословение Ночного духа: Мавуика}<br>Непрерывно расходует очки name{Ночного духа} согласно форме name{Всеогненного вооружения}. Когда очки name{Ночного духа} исчерпаются, name{Благословение Ночного духа} name{Мавуики} завершится.</p><p><i>Если вы скажете Мавуике, что в другом мире транспортному средству вроде её пламецикла нужен номерной знак, она обрадуется и этому:<br>«Мой пламецикл в этом мире единственный в своём роде. Стало быть, могу выбрать любой номер?»</i></p>;"<p>Calling upon her authority over ""conflict,"" name{Mavuika} summons the name{All-Fire Armaments} passed down through the line of human Archons, dealing Nightsoul-aligned pyro{Pyro DMG}.<br>After using this, name{Mavuika}'s name{Nightsoul points} are restored to max value, and she enters the name{Nightsoul's Blessing} state.</p><p>name{All-Fire Armaments}<br>Has different forms when Tapped or Held.</p><p>name{Tap}<br>""Divine Name Unleashed"": The name{All-Fire Armaments} manifest as a name{Ring of Searing Radiance}. The Ring follows the current active character and attacks nearby opponents at intervals, dealing Nightsoul-aligned pyro{Pyro DMG}.</p><p>name{Hold}<br>""Ancient Name Unbound"": The name{All-Fire Armaments} manifest as a name{Flamestrider}. In this state, name{Mavuika} can ride the name{Flamestrider} at high speed, or activate its hidden backup propulsion module to temporarily cross various terrain types and glide in mid-air. name{Mavuika}'s name{Normal}, name{Charged}, and name{Plunging Attacks} will also be converted to deal Nightsoul-aligned pyro{Pyro DMG} which cannot be overridden. When sprinting, she also deals Nightsoul-aligned pyro{Pyro DMG} to opponents along her path.</p><p>While in the name{Nightsoul's Blessing} state, Tapping the name{Elemental Skill} can switch the name{All-Fire Armaments}' form. The Armaments will disappear once name{Mavuika}'s name{Nightsoul's Blessing} state ends.</p><p>name{Nightsoul's Blessing: Mavuika}<br>Continuously consumes name{Nightsoul points} according to the name{All-Fire Armaments}' form. name{Mavuika}'s name{Nightsoul's Blessing} state ends once her name{Nightsoul points} are exhausted.</p><p><i>If you told name{Mavuika} that in another world vehicles like the name{Flamestrider} required license plates for identification, that would make her happy too:<br>""Well, mine's the only one that exists here. Guess that means I get to pick whatever plate number I want, huh?""</i></p>"
talent_descr;mavuika_the_named_moment_2;<p>Урон name{обычных атак}, name{заряженных атак} и name{атак в падении} name{Мавуики} конвертируется в pyro{Пиро урон} с характеристикой name{Ночного духа}, который не может быть отменён другими инфузиями. Во время спринта она также наносит врагам на своём пути pyro{Пиро урон} с характеристикой name{Ночного духа}.</p>;<p>name{Mavuika}'s name{Normal}, name{Charged}, and name{Plunging Attacks} will also be converted to deal Nightsoul-aligned pyro{Pyro DMG} which cannot be overridden. When sprinting, she also deals Nightsoul-aligned pyro{Pyro DMG} to opponents along her path.</p>
feature_burst;mavuika_crucible_of_death_and_life_duration;Длительность Горнила смерти и жизни;Crucible of Death and Life Duration
feature_burst;mavuika_sunfell_slice_dmg_bonus;Повышение урона Удара падающего солнца;Sunfell Slice DMG Bonus
feature_burst;mavuika_flamestrider_normal_attack_dmg_bonus;Повышение урона обычной атаки пламецикла;Flamestrider Normal Attack DMG Bonus
feature_burst;mavuika_flamestrider_charged_attack_dmg_bonus;Повышение урона заряженной атаки пламецикла;Flamestrider Charged Attack DMG Bonus
feature_burst;mavuika_fighting_spirit_limit;Максимум очков Боевого духа;Fighting Spirit Limit
talent_name;mavuika_hour_of_burning_skies_1;Час пылающих небес;Hour of Burning Skies
talent_name;mavuika_hour_of_burning_skies_2;name{Горнило смерти и жизни};name{Crucible of Death and Life}
