category;name;rus;eng
char_name;mika;Мика;Mika
talent_name;mika_skyfeather_song;Песнь небесного пера;Skyfeather Song
talent_descr;mika_skyfeather_song;<p>Вдохновляет товарищей по отряду молебнами рыцарского ордена и восстанавливает name{HP} всем окружающим членам отряда, наделяя их статусом name{Орлиного пера}. Размер восстанавливаемого name{HP} зависит от name{макс. HP} name{Мики}.</p><p>name{Орлиное перо}<br>Когда обычные атаки активных персонажей со статусом name{Орлиного пера} поражают противников, name{Мика} восстанавливает их name{HP} пропорционально собственному name{макс. HP}.<br>Персонажи с этим статусом могут восстанавливать name{HP} таким образом только один раз за определённый промежуток времени.</p><p><i>«В трудные времена не теряйте надежды, а в хорошие - бдительности, ибо белое перо выведет заблудших на правильный путь».</i></p>;"<p>Derives the ability to spur his teammates on from the recited prayers of the knightly order, regenerating name{HP} for all nearby party members. This healing is based on name{Mika}'s name{Max HP} and will grant them the name{Eagleplume} state.</p><p>name{Eagleplume}<br>When the name{Normal Attacks} of active characters affected by name{Eagleplume} hit an opponent, name{Mika} will help them regenerate name{HP} based on his name{Max HP}.<br>Characters affected by this state can only regenerate name{HP} in this way once per short interval of time.</p><p><i>""Carry hope when in dire straits, and keep vigil when all is well... For that pure white plume shall at last guide the lost wayfarers.""</i></p>"
talent_name;mika_spear_of_favonius_arrows_passage;Копьё Фавония: Проход стрелы;Spear of Favonius - Arrow's Passage
talent_descr;mika_spear_of_favonius_arrows_passage;<p>name{Обычная атака:}<br>До пяти атак с помощью арбалета и копья.</p><p>name{Заряженная атака:}<br>Выпад, наносящий урон противникам на пути, на который тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 consecutive strikes using his crossbow and spear.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to lunge forward, dealing damage to opponents along the way.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;mika_starfrost_swirl;Вихрь звёздного инея;Starfrost Swirl
talent_descr;mika_starfrost_swirl;<p>Атакует противников из арбалета и наделяет всех персонажей из вашего отряда поблизости Ветром духа, который повышает их name{скорость атаки}, когда они активны.<br>При долгом нажатии способ активации навыка меняется.</p><p>name{Быстрое нажатие}<br>Выпускает пронзающую врагов стрелу потока инея, которая наносит cryo{Крио урон}.</p><p>name{Долгое нажатие}<br>Переходит в режим прицеливания и выпускает в зафиксированного в качестве цели врага Сигнал ледяной звезды, который наносит cryo{Крио урон}. При попадании Сигнал ледяной звезды взлетает в воздух и разрывается Осколками ледяной звезды, которые поражают до 3 других противников и наносят cryo{Крио урон}.</p><p><i>Сияют звёзды на заиндевелом небе.</i></p>;<p>name{Mika} uses his crossbow to attack, granting all nearby characters in your party name{Soulwind}. When characters in the name{Soulwind} state are on the field, their name{ATK SPD} will be increased.<br>Will take effect in different ways if Tapped or Held.</p><p>name{Tap}<br>Fires a name{Flowfrost Arrow} that can pierce through opponents, dealing cryo{Cryo DMG} to enemies it comes into contact with.</p><p>name{Hold}<br>Goes into Aiming Mode, locking on to an opponent and firing a name{Rimestar Flare} at them, dealing cryo{Cryo DMG}. When the name{Rimestar Flare} hits, it will rise before exploding, launching Rimestar Shards into a maximum of 3 other opponents, dealing cryo{Cryo DMG}.</p><p><i>Stars burst 'neath the frosted skies.</i></p>
talent_name;mika_suppressive_barrage;Подавляющий обстрел;Suppressive Barrage
talent_descr;mika_suppressive_barrage;В следующих ситуациях name{Ветер духа} skill{skill:Вихря звёздного инея} наделяет персонажей эффектом name{Выслеживания}, который увеличивает их name{физ. урон} на %{dmg_phys}, когда они активны:<br>· Если name{стрела потока инея} поражает более чем 1 противника, каждый дополнительно поражённый противник создаёт 1 уровень эффекта name{Выслеживания}.<br>· name{Осколок ледяной звезды}, поражая противника, создаёт 1 уровень эффекта name{Выслеживания}. Каждый name{Осколок ледяной звезды} активируется только 1 раз.<br><br>Эффект name{Выслеживания} name{Ветра духа} складывается до 3 раз. При повторной активации name{Вихря звёздного инея} во время его действия существующий name{Ветер духа} и его уровни name{Выслеживания} будут сняты.;Per the following circumstances, the name{Soulwind} state caused by skill{skill:Starfrost Swirl} will grant characters the name{Detector} effect, increasing their name{Physical DMG} by %{dmg_phys} when they are on the field.<br>·If the name{Flowfrost Arrow} hits more than one opponent, each additional opponent hit will generate 1 name{Detector} stack.<br>·When a name{Rimestar Shard} hits an opponent, it will generate 1 name{Detector} stack. Each name{Rimestar Shard} can trigger the effect 1 time.<br><br>The name{Soulwind} state can have a maximum of 3 name{Detector} stacks, and if name{Starfrost Swirl} is cast again during this duration, the pre-existing name{Soulwind} state and all its name{Detector} stacks will be cleared.
talent_name;mika_topographical_mapping;Топографическое картографирование;Topographical Mapping
