category;name;rus;eng
char_name;mona;Мона;Mona
talent_name;mona_ripple_of_fate;Круги на воде;Ripple of Fate
talent_descr;mona_ripple_of_fate;<p>name{Обычная атака:}<br>До четырёх ударов пузырями, наносящих hydro{Гидро урон}.</p><p>name{Заряженная атака:}<br>Короткое заклинание, наносящее hydro{Гидро урон по площади}, на которое тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Накопив энергию воды, стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит hydro{Гидро урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 water splash attacks that deal hydro{Hydro DMG}.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to deal hydro{AoE Hydro DMG} after a short casting time.</p><p>name{Plunging Attack}<br>Gathering the might of Hydro, name{Mona} plunges towards the ground from mid-air, damaging all opponents in her path. Deals hydro{AoE Hydro DMG} upon impact with the ground.</p>
talent_name;mona_mirror_reflection_of_doom;Отражение фатума;Mirror Reflection of Doom
talent_descr;mona_mirror_reflection_of_doom;"<p>Создаёт name{фантома} судьбы из водных пузырей.</p><p>name{Фантом} имеет следующие свойства:<br>· Непрерывно привлекает атаки врагов на себя;<br>· Непрерывно наносит hydro{Гидро урон} окружающим врагам.<br>· По истечении времени действия name{фантом} взрывается, нанося hydro{Гидро урон по площади}.</p><p>name{Долгое нажатие:}<br>Отпрыгивает назад с помощью водных потоков, при этом создав name{фантома}.</p><p>Одновременно на поле боя может существовать только один name{фантом} навыка Отражение фатума.</p><p><i>Опытные астрологи всегда мечтали создавать собственных фантомов, чтобы отводить злой рок. Мона стала первым человеком в Тейвате, кого смешат такие мысли.</i></p>";<p>Creates an illusory name{Phantom} of Fate from coalesced waterspouts.</p><p>name{Phantom}<br>Has the following special properties:<br>·Continuously taunts nearby opponents, attracting their fire.<br>·Continuously deals hydro{Hydro DMG} to nearby opponents.<br>·When its duration expires, the name{Phantom} explodes, dealing hydro{AoE Hydro DMG}.</p><p>name{Hold}<br>Utilizes water currents to move backwards swiftly before conjuring a name{Phantom}.</p><p>Only one name{Phantom} created by Mirror Reflection of Doom can exist at any time.</p><p><i>Skilled astrologers have always dreamed of using a phantom facsimile of themselves to ward off imminent ill fate, but name{Mona} must be the first to make such a mockery of it in all of Teyvat.</i></p>
talent_name;mona_illusory_torrent;Иллюзорный поток;Illusory Torrent
talent_descr;mona_illusory_torrent;<p>name{Заменяет спринт.}<br>Мона движется вместе с потоками воды, затрачивая определённое количество выносливости.</p><p>Будучи в форме Иллюзорного потока, Мона может двигаться по поверхности воды с высокой скоростью.<br>По окончании навыка накладывает на окружающих врагов статус hydro{Мокрый}.</p><p><i>Это способность, которой владеет Мона, но не её наставница, которой, впрочем, не очень интересен Гидро Глаз Бога...</i></p>;<p>name{Alternate Sprint}<br>name{Mona} cloaks herself within the water's flow, consuming Stamina to move rapidly.</p><p>When under the effect of Illusory Torrent, name{Mona} can move at high speed on water.<br>Applies the hydro{Wet} status to nearby opponents when she reappears.</p><p><i>This is something that name{Mona} can do, but her teacher cannot. Well, but it's not as if her teacher would pursue any matter concerning Hydro Visions anyway...</i></p>
feature_burst;mona_buble_duration;Длительность пузыря;Illusory Bubble Duration
feature_burst;mona_buble_dmg;Урон взрыва пузыря;Illusory Bubble Explosion DMG
feature_burst;mona_dmg_bonus;Бонус урона;DMG Bonus
feature_burst;mona_omen_duration;Длительность Омена;Omen Duration
talent_name;mona_stellaris_phantasm;Звёздный фантазм;Stellaris Phantasm
talent_descr;mona_stellaris_phantasm;<p>Мона призывает бушующие волны и создаёт отражение звёздного неба, заключая врагов в большом радиусе в Теневые пузыри.</p><p>name{Теневой пузырь:}<br>Заключает в себя врагов, накладывая на них статус hydro{Мокрый}. Попав в Теневой пузырь, слабые противники также теряют способность двигаться.<br>Нанесённый заключённому в Теневой пузырь противнику урон активирует следующие эффекты:<br>· Добавляет бонус урона от Омена, также увеличивая нанесённый урон.<br>· Снимает эффект Теневого пузыря, при этом нанося hydro{Гидро урон}.</p><p>name{Омен:}<br>На время длительности навыка увеличивает получаемый противником урон.</p><p><i>Судьба стала называться судьбой, когда боги впервые обратили взоры к небу, обозначив звёзды и созвездия.</i></p>;"<p>name{Mona} summons the sparkling waves and creates a reflection of the starry sky, applying the Illusory Bubble status to opponents in a large AoE.</p><p>name{Illusory Bubble}<br>Traps opponents inside a pocket of destiny and also makes them hydro{Wet}. Renders weaker opponents immobile.<br>When an opponent affected by Illusory Bubble sustains DMG, it has the following effects:<br>·Applies an name{Omen} to the opponent, which gives a name{DMG Bonus}, also increasing the DMG of the attack that causes it.<br>·Removes the Illusory Bubble, dealing hydro{Hydro} DMG in the process.</p><p>name{Omen}<br>During its duration, increases DMG taken by opponents.</p><p><i>It was from the time that gods first traced the lights in the heavens with their eyes that the notion of ""fate"" was born.</i></p>"
talent_name;mona_come_n_get_me_hag;«Старуха, тебе меня не найти!»;"""Come 'n' Get Me, Hag!"""
talent_descr;mona_come_n_get_me_hag;<p>Если через 2 сек. после активации навыка skill{other:Иллюзорный поток} вокруг name{Моны} есть враги, она создаёт одного name{фантома}.<br>Созданный таким способом name{фантом} существует 2 сек., урон от его взрыва равен %{text_percent_dmg} от навыка skill{skill:Отражение фатума}.</p>;<p>After she has used skill{other:Illusory Torrent} for 2s, if there are any opponents nearby, name{Mona} will automatically create a name{Phantom}.<br>A name{Phantom} created in this manner lasts for 2s, and its explosion DMG is equal to %{text_percent_dmg} of skill{skill:Mirror Reflection of Doom}.</p>
talent_name;mona_waterborne_destiny;Пусть судьба кинет кости!;Waterborne Destiny
talent_descr;mona_waterborne_destiny;<p>Увеличивает бонус hydro{Гидро урона} name{Моны} на %{text_percent} от её name{восстановления энергии}.</p>;<p>Increases name{Mona}'s hydro{Hydro DMG Bonus} by a degree equivalent to %{text_percent} of her name{Energy Recharge} rate.</p>
talent_name;mona_genesis_of_starsigns_1;Ведьмин ритуал кануна: Зарождение созвездий;Witch's Eve Rite: Genesis of Starsigns
talent_name;mona_genesis_of_starsigns_2;Мерцания водных светил;Astral Glow of Mercury
talent_descr;mona_genesis_of_starsigns_1;<p>Выполнив skill{Уроки ведьм: Тест на проницательность}, Мона станет skill{Ведьмовским} персонажем. Если в отряде хотя бы 2 name{Ведьмовских} персонажа, активируется эффект skill{Ведьмовство: Тайный обряд}, который усиливает name{Ведьмовских} персонажей.</p>;<p>After completing skill{Witch's Homework: Of Untested Insight}, name{Mona} will become a skill{Hexerei} character. When the party includes at least 2 name{Hexerei} characters, you will gain the skill{Hexerei: Secret Rite} effect, which enhances name{Hexerei} characters.</p>
talent_descr;mona_genesis_of_starsigns_2;<p>skill{Ведьмовство: Тайный обряд}<br>name{Обычная} или name{заряженная атака} name{Моны}, поражая противников, наделяет её 1 уровнем name{Мерцания водных светил}. Этот эффект длится 8 сек., складывается до 3 раз и может возникнуть один раз в 0,1 сек. Когда другие персонажи отряда активируют на противнике реакцию name{Пар}, все уровни name{Мерцания водных светил} расходуются, увеличивая урон этой реакции name{Пар} на value{5%} за каждый уровень.</p>;<p>skill{Hexerei: Secret Rite}<br>When name{Mona}'s name{Normal Attacks} or name{Charged Attacks} hit an opponent, she gains 1 stack of skill{Astral Glow of Mercury}, for 8s. Max 3 stacks. This effect can grant at most one stack every 0.1s. When other party members trigger a name{Vaporize} reaction on an enemy, all name{Astral Glow of Mercury} stacks are consumed. Each stack consumed increases the damage of that name{Vaporize} reaction by value{5%}.</p>
talent_descr;mona_genesis_of_starsigns_3;<p>skill{Ведьмовство: Тайный обряд}<br>Кроме того, когда name{обычная} или name{заряженная атака} name{Моны} поражает противников, наложенный на врагов статус skill{Омен} продлевается на 2 сек. Этот эффект может возникнуть 1 раз в 0,5 сек., а максимальное продление статуса skill{Омен} таким способом составляет 8 сек.</p>;<p>skill{Hexerei: Secret Rite}<br>Additionally, when name{Mona}'s name{Normal Attacks} or name{Charged Attacks} hit an opponent, the enemy's skill{Omen} duration is extended by 2s. This effect can trigger at most once every 0.5s, and can extend the name{Omen} by up to 8s through this method.</p>
talent_name;mona_prophecy_of_submersion;Пророчество потопа;Prophecy of Submersion
talent_descr;mona_prophecy_of_submersion;<p>Попадания персонажа из вашего отряда по противнику со статусом name{Омен} на 8 сек. усиливают эффекты hydro{Гидро} реакций:<br>· Увеличивается урон реакций electro{Заряжен}, electro{Лунный заряд}, name{Пар}, hydro{Гидро рассеивание} и geo{Лунный кристалл} на %{dmg_reaction_electrocharged}.<br>· Увеличивается длительность реакции cryo{Заморозка} на %{duration_frozen}.</p>;<p>When any of your own party members hits an opponent affected by an name{Omen}, the effects of hydro{Hydro}-related Elemental Reactions are enhanced for 8s:<br>· electro{Electro-Charged} DMG increases by %{dmg_reaction_electrocharged}, electro{Lunar-Charged} DMG increases by %{dmg_reaction_lunarcharged}, name{Vaporize} DMG increases by %{dmg_reaction_vaporize}, hydro{Hydro Swirl} DMG increases by %{dmg_reaction_swirl_hydro}, geo{Lunar-Crystallize} DMG increases by %{dmg_reaction_lunarcrystallize}.<br>· cryo{Frozen} duration is extended by %{duration_frozen}.</p>
talent_descr;mona_prophecy_of_submersion_hex_1;<p>Попадания персонажей вашего отряда по противнику со статусом name{Омен} на 8 сек. усиливают эффекты hydro{Гидро} реакций:<br>· Урон реакций electro{Заряжен}, electro{Лунный заряд}, name{Пар}, hydro{Гидро Рассеивание} и geo{Лунный кристалл} увеличивается на %{dmg_reaction_electrocharged}.<br>· Длительность реакции cryo{Заморозка} увеличивается на %{duration_frozen}.</p>;<p>When any of your own party members hits an opponent affected by an name{Omen}, the effects of hydro{Hydro}-related Elemental Reactions are enhanced for 8s:<br>· electro{Electro-Charged} DMG increases by %{dmg_reaction_electrocharged}, electro{Lunar-Charged} DMG increases by %{dmg_reaction_lunarcharged}, name{Vaporize} DMG increases by %{dmg_reaction_vaporize}, hydro{Hydro Swirl} DMG increases by %{dmg_reaction_swirl_hydro}, geo{Lunar-Crystallize} DMG increases by %{dmg_reaction_lunarcrystallize}.<br>· cryo{Frozen} duration is extended by %{duration_frozen}.</p>
talent_descr;mona_prophecy_of_submersion_hex_2;<p>Кроме того, когда вышеописанные эффекты вызываются персонажами не на поле, то эффекты повышения урона перечисленных hydro{Гидро} реакций увеличиваются до %{text_percent} от их изначального значения.</p>;<p>Additionally, when your off-field party members trigger the above effect, the name{DMG Bonus} to the above hydro{Hydro}-related Elemental Reactions is enhanced to %{text_percent} of its original effect.</p>
talent_name;mona_lunar_chain;Лунная цепь;Lunar Chain
talent_descr;mona_lunar_chain;<p>Попадания name{обычной атакой} имеют %{text_percent_chance} шанс автоматически активировать name{заряженную атаку}.<br>Может возникнуть раз в 5 сек.</p>;<p>When a name{Normal Attack} hits, there is a %{text_percent_chance} chance that it will be automatically followed by a name{Charged Attack}.<br>This effect can only occur once every 5s.</p>
talent_descr;mona_lunar_chain_hex_1;<p>Попадания name{обычной атакой} имеют %{text_percent_chance} шанс автоматически активировать name{заряженную атаку}. Кроме того, при попадании последующей name{обычной атакой} в течение 5 сек. после применения name{взрыва стихии} name{Моны} skill{Звёздный фантазм} автоматически выполняется name{заряженная атака}.<br>Эффект, при котором автоматически применяется name{заряженная атака}, может возникнуть раз в 5 сек.</p>;<p>When a name{Normal Attack} hits, there is a %{text_percent_chance} chance that it will be automatically followed by a name{Charged Attack}. Additionally, within 5s after name{Mona} unleashes her name{Elemental Burst} skill{Stellaris Phantasm}, her next name{Normal Attack} that hits an enemy will automatically trigger a name{Charged Attack}.<br>The aforementioned name{Charged Attack} effect can only occur once every 5s.</p>
talent_descr;mona_lunar_chain_hex_2;<p>Когда Мона поражает противника name{заряженной атакой}, name{мастерство стихий} всех персонажей отряда поблизости повышается на %{mastery} ед. на 12 сек.</p>;<p>When name{Mona}'s name{Charged Attack} hits an opponent, all nearby party members will have their name{Elemental Mastery} increased by %{mastery} for 12s.</p>
talent_name;mona_restless_revolution;Бесконечное вращение планет;Restless Revolution
talent_name;mona_prophecy_of_oblivion;Пророчество забвения;Prophecy of Oblivion
talent_descr;mona_prophecy_of_oblivion;<p>Попадания любого члена вашего отряда по врагу со статусом name{Омен} увеличивают name{шанс крит. попадания} на %{crit_rate}.</p>;<p>When any party member attacks an opponent affected by an name{Omen}, their name{CRIT Rate} is increased by %{crit_rate}.</p>
talent_descr;mona_prophecy_of_oblivion_hex_1;<p>Атаки любого члена вашего отряда по врагу со статусом name{Омен} увеличивают name{шанс крит. попадания} на %{crit_rate}.<br>name{Крит. урон} всех name{Ведьмовских} персонажей в отряде при атаке противников со статусом name{Омен} повышается на %{crit_dmg}.</p>;<p>When any party member attacks an opponent affected by an name{Omen}, their name{CRIT Rate} is increased by %{crit_rate}.<br>When any name{Hexerei} party member attacks an opponent affected by an name{Omen}, their name{CRIT DMG} is increased by %{crit_dmg}.</p>
talent_descr;mona_prophecy_of_oblivion_hex_2;<p>Атаки любого члена вашего отряда по врагу со статусом name{Омен} увеличивают name{шанс крит. попадания} на %{crit_rate}.</p>;<p>When any party member attacks an opponent affected by an name{Omen}, their name{CRIT Rate} is increased by %{crit_rate}.</p>
talent_descr;mona_prophecy_of_oblivion_hex_3;<p>name{Крит. урон} всех name{Ведьмовских} персонажей в отряде при атаке противников со статусом name{Омен} повышается на %{crit_dmg}.</p>;<p>When any name{Hexerei} party member attacks an opponent affected by an name{Omen}, their name{CRIT DMG} is increased by %{crit_dmg}.</p>
talent_name;mona_mockery_of_fortuna;Насмешка судьбы;Mockery of Fortuna
talent_name;mona_rhetorics_of_calamitas;Риторика катаклизма;Rhetorics of Calamitas
talent_descr;mona_rhetorics_of_calamitas;<p>Каждая секунда движения в форме навыка skill{other:Иллюзорный поток} увеличивает урон следующей name{заряженной атаки} name{Моны} на %{dmg_charged}.<br>Таким способом можно получить не более value{180%} бонуса урона name{заряженной атаки}. Длится не более 8 сек.</p>;<p>Upon entering skill{other:Illusory Torrent}, name{Mona} gains a %{dmg_charged} increase to the DMG of her next name{Charged Attack} per second of movement.<br>A maximum name{DMG Bonus} of value{180%} can be achieved in this manner. The effect lasts for no more than 8s.</p>
talent_descr;mona_rhetorics_of_calamitas_hex_1;<p>Когда Мона, будучи активным персонажем, пребывает в форме навыка skill{other:Иллюзорный поток} или рядом есть противники со статусом name{Омен}, урон её последующей name{заряженной атаки} каждую секунду увеличивается на %{dmg_charged}. Таким способом можно получить до value{180%} бонуса урона name{заряженной атаки}. Этот эффект длится до 8 сек.</p>;<p>While name{Mona} is the active character, while she is in the skill{other:Illusory Torrent} state or there are opponents affected by an name{Omen} nearby, she gains a %{dmg_charged} increase to the DMG of her next name{Charged Attack} per second. A maximum name{DMG Bonus} of value{180%} can be achieved in this manner. The effect lasts for no more than 8s.</p>
talent_descr;mona_rhetorics_of_calamitas_hex_2;<p>Кроме того, name{заряженная атака} name{Моны} наносит врагам со статусом name{Омен} value{200%} от своего изначального урона.</p>;<p>Additionally, the DMG name{Mona}'s name{Charged Attacks} deal to opponents affected by an name{Omen} will be increased to value{200%} of the original DMG.</p>
