category;name;rus;eng
char_name;mualani;Муалани;Mualani
talent_name;mualani_cooling_treatment;Охлаждающая процедура;Cooling Treatment
talent_descr;mualani_cooling_treatment;<p>name{Обычная атака:}<br>До трёх атак, наносящих hydro{Гидро урон}.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости и выбивает в воздух name{иглобрюха}, который при приземлении наносит hydro{Гидро урон по площади}.</p><p>name{Атака в падении:}<br>Накопив энергию воды, стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит hydro{Гидро урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 3 attacks that deal hydro{Hydro DMG}.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to smack a Pufferball into the air that deals hydro{AoE Hydro DMG} upon landing.</p><p>name{Plunging Attack}<br>Gathers the power of Hydro and plunges towards the ground from mid-air, damaging all opponents in her path. Deals hydro{AoE Hydro DMG} upon impact with the ground.</p>
feature_skill;mualani_shark_base_dmg;Базовый урон Укуса акулки;Sharky's Bite Base DMG
feature_skill;mualani_wave_monentum_dmg;Увеличение урона Импульса волн;Wave Momentum DMG Bonus
feature_skill;mualani_shark_add_dmg;Дополнительное увеличение урона Разрывающего укуса акулки;Sharky's Surging Bite Additional DMG Bonus
feature_skill;mualani_shark_cd;Время отката Укуса акулки;Sharky's Bite CD
talent_name;mualani_surfshark_wavebreaker;Волнорезная сёрф-акула;Surfshark Wavebreaker
talent_descr;mualani_surfshark_wavebreaker_1;<p>Благодаря знаниям о том, как управлять скоростью и волнами, name{Муалани} способна заниматься сёрфингом где и когда угодно.<br>После активации этого навыка name{Муалани} получает 60 очков name{Ночного духа} и переходит в состояние name{Благословения Ночного духа}.</p><p>name{Благословение Ночного духа: Муалани}<br>Непрерывно расходует очки name{Ночного духа}. Когда они заканчиваются или навык используется повторно, name{Благословение Ночного духа} name{Муалани} завершается. У состояния name{Благословения Ночного духа} следующие особенности:<br>· name{Муалани} взбирается на сёрф-акулку, её name{скорость передвижения} и сопротивление прерыванию повышается. Пока это состояние активно, name{Муалани} может перемещаться по воде и жидкому флогистону, не получая урона от последнего.<br>· name{Обычные атаки} превращаются в Укусы акулки, которые наносят hydro{Гидро урон} с характеристикой name{Ночного духа}, пропорциональный name{макс. HP} name{Муалани}. Укусы акулки можно производить в воздухе. Урон, наносимый таким способом, считается name{уроном обычной атаки}.<br>· Соприкасаясь в этом состоянии с врагами, name{Муалани} накладывает на них Метки добычи и получает 1 уровень name{Импульса волн}. Импульс волн складывается до 3 раз. За одного и того же врага можно получить 1 уровень раз в 0,7 сек.</p><p>name{Импульс волн и Метки добычи}<br>Когда name{Муалани} использует Укусы акулки, наносимый ею урон увеличивается согласно количеству уровней name{Импульса волн}. Когда в наличии 3 уровня, name{Укус акулки} превращается в name{Разрывающий укус акулки}, ещё больше повышая урон и при попадании по врагу снимая все уровни.<br>Когда Укусы акулки попадают по противнику с Меткой добычи, Метка снимается, и выпускаются Акулкины ракеты в максимум 5 противников с Метками добычи поблизости. Они наносят урон, равный урону данного Укуса акулки, и снимают Метки. Если целей Укуса акулки и name{Акулкиных ракет} более 1, наносимый урон снижается. Урон снижается максимум до value{72%} от исходного урона, если целей не менее 3.</p><p><i>Во-первых, сёрф-акулка не только доска для сёрфинга, но и пресноводная акула. Во-вторых, она не ест, но кусается очень даже по-настоящему.</i></p>;"<p>Combining her mastery of speed and the waves and water, name{Mualani} can surf anytime, anywhere.<br>After using this skill, name{Mualani} will gain 60 name{Nightsoul points} and enter the name{Nightsoul's Blessing} state.</p><p>name{Nightsoul's Blessing: Mualani}<br>Continuously consume name{Nightsoul points}. When they are depleted or when the skill is used again, name{Mualani}'s name{Nightsoul's Blessing} will end. The state itself has the following traits:<br>·name{Mualani} mounts her Sharky Surfboard, increasing name{Mualani}'s name{Movement SPD} and interruption resistance. name{Mualani} can move on water and liquid Phlogiston while this state is active, and she will take no DMG from the latter.<br>·name{Normal Attacks} will be converted to Sharky's Bites, dealing Nightsoul-aligned hydro{Hydro DMG} based on name{Mualani}'s name{Max HP}. Sharky's Bites can be used in mid-air. DMG dealt this way is considered name{Normal Attack DMG}.<br>·When she makes contact with opponents in this state, name{Mualani} applies ""name{Marked as Prey}"" to them and gains 1 name{Wave Momentum} stack. Max 3 stacks. 1 stack can be gained from the same opponent every 0.7s.</p><p>name{Wave Momentum and Marked as Prey}<br>When name{Mualani} uses name{Sharky's Bite}, her DMG dealt increases based on name{Wave Momentum} stacks. When she has 3 stacks, name{Sharky's Bite} will be converted to name{Sharky's Surging Bite}, further increasing her DMG and removing all her stacks when hitting an opponent.<br>When name{Sharky's Bite} hits an opponent name{Marked as Prey}, that mark will be removed, and she will fire name{Shark Missiles} at up to 5 nearby opponents name{Marked as Prey}, dealing DMG to them equal to this name{Sharky's Bite} instance and clearing their name{Marks}. If more than 1 opponent is the target of name{Sharky's Bite} and name{Shark Missiles}, the DMG dealt will decrease, decreasing at most to value{72%} of the original DMG when 3 opponents are targeted.</p><p><i>First off, Sharky is a freshwater shark on top of being a surfboard. Second, it's not that it wants to eat for real, just that it definitely bites for real.</i></p>"
talent_descr;mualani_surfshark_wavebreaker_2;<p>Когда name{Муалани} использует Укусы акулки, наносимый ею урон увеличивается согласно количеству уровней name{Импульса волн}. Когда в наличии 3 уровня, name{Укус акулки} превращается в name{Разрывающий укус акулки}, ещё больше повышая урон и при попадании по врагу снимая все уровни.</p>;<p>When name{Mualani} uses name{Sharky's Bite}, her DMG dealt increases based on name{Wave Momentum} stacks. When she has 3 stacks, name{Sharky's Bite} will be converted to name{Sharky's Surging Bite}, further increasing her DMG and removing all her stacks when hitting an opponent.</p>
talent_descr;mualani_surfshark_wavebreaker_3;<p>Когда Укусы акулки попадают по противнику с Меткой добычи, Метка снимается, и выпускаются Акулкины ракеты в максимум 5 противников с Метками добычи поблизости. Они наносят урон, равный урону данного Укуса акулки, и снимают Метки. Если целей Укуса акулки и name{Акулкиных ракет} более 1, наносимый урон снижается. Урон снижается максимум до value{72%} от исходного урона, если целей не менее 3.</p>;<p>When name{Sharky's Bite} hits an opponent name{Marked as Prey}, that mark will be removed, and she will fire name{Shark Missiles} at up to 5 nearby opponents name{Marked as Prey}, dealing DMG to them equal to this name{Sharky's Bite} instance and clearing their name{Marks}. If more than 1 opponent is the target of name{Sharky's Bite} and name{Shark Missiles}, the DMG dealt will decrease, decreasing at most to value{72%} of the original DMG when 3 opponents are targeted.</p>
talent_name;mualani_boomsharka_laka;Зубастый бабах;Boomsharka-laka
talent_descr;mualani_boomsharka_laka;<p>Выпускает самонаводящуюся Акулкину суперракету, которая наносит hydro{Гидро урон по площади} с характеристикой name{Ночного духа} пропорционально name{макс. HP} name{Муалани}.</p><p><i>name{Муалани} дала Акулкиным ракетам такое название, потому что в нём есть и огонь, и вода, звучит как горячие источники.</i></p>;<p>Fires a Super Shark Missile that can track opponents, dealing Nightsoul-aligned hydro{AoE Hydro DMG} based on name{Mualani}'s name{Max HP}.</p><p><i>name{Mualani} picked this moniker for launching her Shark Missile because it combines the warmth of explosive passion with a more chill, laid-back vibe — most hot spring-ish.</i></p>
talent_name;mualani_heat_resistant_freshwater_floater;Жаростойкий пресноводный иглобрюх;Heat-Resistant Freshwater Floater
talent_descr;mualani_heat_resistant_freshwater_floater;<p>name{Разрывающий укус акулки}, поражая противника, рядом создаёт name{иглобрюха}. Подбирая name{иглобрюха}, name{Муалани} восстанавливает 20 очков name{Ночного духа}. Во время действия одного name{Благословения Ночного духа} таким способом можно создать только 2 name{иглобрюхов}.</p>;<p>When name{Sharky's Surging Bite} hits an opponent, a name{Puffer} will be generated nearby. name{Mualani} will restore 20 name{Nightsoul points} when she picks up a name{Puffer}. Only 2 such name{Puffers} can be created in this way during a single instance of being in name{Nightsoul's Blessing}.</p>
talent_name;mualani_natlans_greatest_guide;Лучший проводник Натлана;Natlan's Greatest Guide
talent_descr;mualani_natlans_greatest_guide;<p>После того как член отряда поблизости активирует name{Вспышку Ночного духа}, name{Муалани} получает 1 уровень name{Постижения наездника волн}, который длится 20 сек. Этот эффект складывается до 3 раз. Применяя skill{burst:Зубастый бабах}, name{Муалани} расходует все уровни name{Постижения наездника волн} и повышает урон этого name{Зубастого бабаха} на %{text_percent_1}/%{text_percent_2}/%{text_percent_3} от собственного name{макс. HP} в зависимости от количества снятых уровней.</p>;<p>After a nearby party member triggers a name{Nightsoul Burst}, name{Mualani} will gain 1 stack of name{Wavechaser's Exploits}, which lasts for 20s. Max 3 stacks. When she uses skill{burst:Boomsharka-laka}, name{Mualani} will clear all name{Wavechaser's Exploits} stacks and increase the DMG of this name{Boomsharka-laka} by %{text_percent_1}/%{text_percent_2}/%{text_percent_3} of her name{Max HP} based on the number of stacks cleared.</p>
talent_name;mualani_the_leisurely_meztli;Беззаботные «Мецтли»...;"The Leisurely ""Meztli""..."
