category;name;rus;eng
char_name;nahida;Нахида;Nahida
talent_name;nahida_illusory_heart;Призрачное сердце;Illusory Heart
talent_descr;nahida_illusory_heart;<p>Являет миру Чертоги сновидений и создаёт Святилище Майи.</p><p>При этом, в зависимости от представленных в отряде элементов персонажей, отдельно друг от друга активируются соответствующие эффекты:<br>·pyro{Пиро}: Пока Нахида пребывает в Святилище Майи, урон Очищения трикармы её элементального навыка Пелена знаний увеличивается.<br>·electro{Электро}: Пока Нахида пребывает в Святилище Майи, интервал активации Очищения трикармы её элементального навыка сокращается.<br>·hydro{Гидро}: Продлевает действие Святилища Майи.</p><p>Если во время активации Святилища Майи в отряде 2 или больше персонажей соответствующего элемента, эффекты усилятся.</p><p>Эти усиления действуют, пока отряд находится в Святилище Майи, даже если Нахида не на поле боя.</p><p><i>Для божества мудрости мир в сени деревьев всего лишь скоротечный перевёрнутый сон.</i></p>;"<p>Manifests the Court of Dreams and expands the Shrine of Maya.</p><p>When the Shrine of Maya field is unleashed, the following effects will be separately unleashed based on the Elemental Types present within the party.<br>·pyro{Pyro}: While Nahida remains within the Shrine of Maya, the DMG dealt by Tri-Karma Purification from ""All Schemes to Know"" is increased.<br>·electro{Electro}: While Nahida remains within the Shrine of Maya, the interval between each Tri-Karma Purification from ""All Schemes to Know"" is decreased.<br>·hydro{Hydro}: The Shrine of Maya's duration is increased.</p><p>If there are at least 2 party members of the aforementioned Elemental Types present when the field is deployed, the aforementioned effects will be increased further.</p><p>Even if Nahida is not on the field, these bonuses will still take effect so long as party members are within the Shrine of Maya.</p><p><i>Perhaps all that dwell under the bowers of trees are naught but a fleeting upside-down dream in the eyes of the God of Wisdom.</i></p>"
talent_name;nahida_akara;Акара;Akara
talent_descr;nahida_akara;<p>name{Обычная атака:}<br>До четырёх ударов перед собой, наносящих dendro{Дендро урон}.</p><p>name{Заряженная атака:}<br>Короткое заклинание, наносящее dendro{Дендро урон по площади} впереди, на которое тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Накопив энергию растений, стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит dendro{Дендро урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 attacks that deal dendro{Dendro DMG} to opponents in front of her.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to deal dendro{AoE Dendro DMG} to opponents in front of her after a short casting time.</p><p>name{Plunging Attack}<br>Calling upon the might of Dendro, Nahida plunges towards the ground from mid-air, damaging all opponents in her path. Deals dendro{AoE Dendro DMG} upon impact with the ground.</p>
talent_name;nahida_all_schemes_to_know;Пелена знаний;All Schemes to Know
talent_descr;nahida_all_schemes_to_know;<p>Выпускает рядом с собой кармическую связь трав и деревьев, которая наносит dendro{Дендро урон по площади}. До 8 поражённых противников получают Семя скандхи.<br>При долгом нажатии способ активации навыка меняется.</p><p>name{Долгое нажатие}<br>Переходит в режим прицеливания, в котором можно выбрать нескольких противников в определённой области. В режиме прицеливания сопротивление прерыванию Нахиды увеличивается. По завершении прицеливания выбранные враги получат dendro{Дендро урон} и Семя скандхи.<br>Режим прицеливания длится до 5 сек., в нём можно выбрать до 8 противников.</p><p>name{Семя скандхи}<br>Между врагами с Семенем скандхи на определённом расстоянии устанавливается связь.<br>Если помеченные Семенем скандхи враги подвергаются воздействию элементальных реакций или получают урон от Дендро ядер (включая урон от Цветения и Вегетации), Нахида выпускает Очищение трикармы, которое наносит им и всем связанным с ними врагам dendro{Дендро урон}, зависящий от её силы атаки и мастерства стихий.<br>Очищение трикармы может быть вызвано максимум один раз за определённый период.</p><p><i>Божество трав и деревьев являет истину пустоте, проливая свет на истоки и уничтожение трёх карм.</i></p>;<p>Sends forth karmic bonds of wood and tree from her side, dealing dendro{AoE Dendro DMG} and marking up to 8 opponents hit with the Seed of Skandha.<br>When held, this skill will trigger differently.</p><p>name{Hold}<br>Enters Aiming Mode, which will allow you to select a limited number of opponents within a limited area. During this time, Nahida's resistance to interruption will be increased.<br>When released, this skill deals dendro{Dendro DMG} to these opponents and marks them with the Seed of Skandha.<br>Aiming Mode will last up to 5s and can select a maximum of 8 opponents.</p><p>name{Seed of Skandha}<br>Opponents who have been marked by the Seed of Skandha will be linked to one another up till a certain distance.<br>After you trigger Elemental Reactions on opponents who are affected by the Seeds of Skandha or when they take DMG from Dendro Cores (including Burgeon and Hyperbloom DMG), Nahida will unleash Tri-Karma Purification on the opponents and all connected opponents, dealing dendro{Dendro DMG} based on her ATK and Elemental Mastery.<br>You can trigger at most 1 Tri-Karma Purification within a short period of time.</p><p><i>Lo, the god of grass and trees shines her ultimate truth into the void, illuminating the origin and destruction of the three karmas.</i></p>
talent_name;nahida_compassion_illuminated;Просветлённое сострадание;Compassion Illuminated
talent_descr;nahida_compassion_illuminated;При активации skill{burst:Призрачного сердца} name{Святилище Майи} получает следующие эффекты:<br>· name{Мастерство стихий} активного персонажа в области навыка повышается на %{text_percent} от name{мастерства стихий} персонажа отряда с самым высоким его значением.<br>· name{Мастерство стихий} таким образом может быть увеличено максимум на %{text_value_max} ед.;When unleashing skill{burst:Illusory Heart}, the name{Shrine of Maya} will gain the following effects:<br>The name{Elemental Mastery} of the active character within the field will be increased by %{text_percent} of the name{Elemental Mastery} of the party member with the highest name{Elemental Mastery}.<br>You can gain a maximum of %{text_value_max} name{Elemental Mastery} in this manner.
talent_name;nahida_awakening_elucidated;Озарённое пробуждение;Awakening Elucidated
