category;name;rus;eng
char_name;navia;Навия;Navia
talent_name;navia_blunt_refusal;Прямое неприятие;Blunt Refusal
talent_descr;navia_blunt_refusal;<p>name{Обычная атака:}<br>Выполняет до четырёх ударов.</p><p>name{Заряженная атака:}<br>Вращающаяся атака по окружающим врагам, на которую непрерывно тратится выносливость.<br>После вращения проводит дополнительную мощную атаку мечом.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive strikes.</p><p>name{Charged Attack}<br>Drains Stamina over time to perform continuous spinning attacks against all nearby opponents.<br>At the end of the sequence, performs a more powerful slash.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;navia_rosula_shardshot_base_dmg;Базовый урон Кристальной пули Росулы;Rosula Shardshot Base DMG
feature_skill;navia_crystal_shrapnel_duration;Длительность Кристальной шрапнели;Crystal Shrapnel Duration
talent_name;navia_ceremonial_crystalshot;Церемониальный залп кристалла;Ceremonial Crystalshot
talent_descr;navia_ceremonial_crystalshot_1;<p>Когда персонаж отряда подбирает name{элементальный осколок}, созданный реакцией Кристалл, или активирует реакцию Лунный кристалл, name{Навия} получает 1 уровень name{Кристальной шрапнели}. Всего можно получить до 6 уровней. При каждом получении длительность уже имеющихся уровней name{Кристальной шрапнели} сбрасывается. name{Навия} может получать Кристальную шрапнель с помощью реакции Лунный кристалл не чаще 1 раза в 1 сек.<br>Во время выстрела name{Навия} расходует все уровни name{Кристальной шрапнели} и раскрывает свой элегантный, но смертоносный зонт-пушку, выстреливая множеством name{Кристальных пуль Росулы}, которые способны пронзать врагов, и наносит поражённым противникам geo{Гео урон}.<br>При расходе 0/1/2/3 и более уровней name{Кристальной шрапнели} выстреливается 5/7/9/11 name{Кристальных пуль Росулы} соответственно. Чем больше name{Кристальных пуль Росулы} попадут в одного и того же врага, тем больше урона будет нанесено. Если попадут все 11 пуль, будет нанесено value{200%} от изначального урона.<br>Кроме того, если расходуется более 3 уровней name{Кристальной шрапнели}, каждый уровень после третьего дополнительно увеличивает урон этой атаки зонта-пушки на %{text_percent_dmg|15}.</p><p>name{Долгое нажатие}<br>Переходит в режим прицеливания, непрерывно собирая элементальные осколки, созданные реакцией Кристалл. Когда долгое нажатие прекращается, выпускаются те же Кристальные пули Росулы, что и при быстром нажатии.</p><p>Исходное количество применений: 2.</p><p>name{Архэ: усия}<br>Когда name{Навия} ведёт стрельбу из зонта-пушки, периодически призывается Клинок бурных вод, который наносит geo{Гео урон} усии.</p><p><i>«Держаться на должном расстоянии от тех, кого следует держать на расстоянии, означает следовать правилам этикета. Тем не менее способов делать это тоже немало...»</i></p>;"<p>When a character in the party obtains an name{Elemental Shard} created from the Crystallize reaction, or when they trigger the Lunar-Crystallize reaction, name{Navia} will gain 1 name{Crystal Shrapnel} stack. name{Navia} can have up to 6 stacks of name{Crystal Shrapnel} at once. Each time name{Crystal Shrapnel} gain is triggered, the duration of the name{Crystal Shrapnel} stacks you already have will be reset. Through the Lunar-Crystallize reaction, name{Navia} will gain up to 1 name{Crystal Shrapnel} stack every second.<br>When she fires, name{Navia} will consume all name{Crystal Shrapnel} stacks and open her elegant yet lethal Gunbrella, firing multiple name{Rosula Shardshots} that can penetrate opponents, dealing geo{Geo DMG} to opponents hit.<br>When 0/1/2/3 or more stacks of name{Crystal Shrapnel} are consumed, 5/7/9/11 name{Rosula Shardshots} will be fired respectively. The more name{Rosula Shardshots} that strike a single opponent, the greater the DMG dealt to them. When all 11 name{Rosula Shardshots} strike, value{200%} of the original amount of DMG is dealt.<br>In addition, when more than 3 stacks of name{Crystal Shrapnel} are consumed, every stack consumed beyond those 3 will increase the DMG dealt by this name{Gunbrella attack} by an additional %{text_percent_dmg|15}.</p><p>name{Hold}<br>Enter Aiming Mode, continually collecting nearby Elemental Shards created by Crystallize reactions. When released, fire name{Rosula Shardshots} with the same effect as when the skill is Tapped.</p><p>Two initial charges.</p><p>name{Arkhe: Ousia}<br>Periodically, when name{Navia} fires her Gunbrella, a Surging Blade will be summoned, dealing Ousia-aligned geo{Geo DMG}.</p><p><i>""Maintaining the appropriate distance with those whom distance should be maintained is an essential part of etiquette. Naturally, there are also many ways to do this...""</i></p>"
talent_descr;navia_ceremonial_crystalshot_2;При расходе 0/1/2/3 и более уровней name{Кристальной шрапнели} выстреливается 5/7/9/11 name{Кристальных пуль Росулы} соответственно. Кроме того, если расходуется более 3 уровней name{Кристальной шрапнели}, каждый уровень после третьего дополнительно увеличивает урон этой атаки зонта-пушки на %{text_percent_dmg|15}.;When 0/1/2/3 or more stacks of name{Crystal Shrapnel} are consumed, 5/7/9/11 name{Rosula Shardshots} will be fired respectively. In addition, when more than 3 stacks of name{Crystal Shrapnel} are consumed, every stack consumed beyond those 3 will increase the DMG dealt by this name{Gunbrella attack} by an additional %{text_percent_dmg|15}.
talent_descr;navia_ceremonial_crystalshot_3;Чем больше name{Кристальных пуль Росулы} попадут в одного и того же врага, тем больше урона будет нанесено. Если попадут все 11 пуль, будет нанесено value{200%} от изначального урона.<br>;The more name{Rosula Shardshots} that strike a single opponent, the greater the DMG dealt to them. When all 11 name{Rosula Shardshots} strike, value{200%} of the original amount of DMG is dealt.<br>
feature_burst;navia_cannon_fire_support_dmg;Урон Огневой поддержки пушек;Cannon Fire Support DMG
