category;name;rus;eng
char_name;nefer;Нефер;Nefer
feature_attack;nefer_charged_attack_charging_stamina_drain;Потребление выносливости;Charged Attack Charging Stamina Drain
feature_attack;nefer_shadow_dance_charged_attack_stamina_cost;Потребление выносливости в состоянии Танца тени;Shadow Dance Charged Attack Stamina Cost
talent_name;nefer_striking_serpent;Удар змеи;Striking Serpent
talent_descr;nefer_striking_serpent;<p>name{Обычная атака:}<br>До четырёх ударов со свирепостью и изяществом змеи, которые наносят dendro{Дендро урон}.</p><p>name{Заряженная атака:}<br>Расходуя выносливость, name{Нефер} входит в состояние Скользящей змеи и стремительно перемещается до 2,5 сек. Если кнопка навыка отпускается, время действия истекает или исчерпывается выносливость, name{Нефер} выходит из состояния Скользящей змеи, дополнительно расходует некоторое количество выносливости и наносит врагу dendro{Дендро урон}. В состоянии skill{n11220001:Танца тени} дополнительный расход выносливости снижается.<br>Кроме того, если во время действия состояния Скользящей змеи активировать name{элементальный навык} name{Стратегия сенета: Танец тысячи ночей} или спринта, name{Нефер} не выходит из этого состояния.</p><p>name{Атака в падении:}<br>Накопив силу Дендро, стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит dendro{Дендро урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 kicks that deal dendro{Dendro DMG} with the ferocity and grace of a striking serpent.</p><p>name{Charged Attack}<br>name{Nefer} enters the Slither state, consuming Stamina to move rapidly forward for up to 2.5s. When the skill button is released, the duration ends, or Stamina runs out, name{Nefer} will exit the Slither state and consume a certain amount of additional Stamina to deal dendro{Dendro DMG} to opponents. When in the skill{n11220001:Shadow Dance} state, additional Stamina consumption is decreased.<br>Additionally, unleashing the name{Elemental Skill} name{Senet Strategy: Dance of a Thousand Nights} or sprinting while name{Nefer} is in the Slither state will not cause her to exit the state.</p><p>name{Plunging Attack}<br>Calling upon the might of Dendro, name{Nefer} plunges towards the ground from mid-air, damaging all opponents in her path and dealing dendro{AoE Dendro DMG} upon impact with the ground.</p>
feature_skill;nefer_phantasm_performance_1_hit_dmg_nefer;Урон Игры химер I (Нефер);Phantasm Performance 1-Hit DMG (Nefer)
feature_skill;nefer_phantasm_performance_2_hit_dmg_nefer;Урон Игры химер II (Нефер);Phantasm Performance 2-Hit DMG (Nefer)
feature_skill;nefer_phantasm_performance_1_hit_dmg_shades;Урон Игры химер I (Тени);Phantasm Performance 1-Hit DMG (Shades)
feature_skill;nefer_phantasm_performance_2_hit_dmg_shades;Урон Игры химер II (Тени);Phantasm Performance 2-Hit DMG (Shades)
feature_skill;nefer_phantasm_performance_3_hit_dmg_shades;Урон Игры химер III (Тени);Phantasm Performance 3-Hit DMG (Shades)
feature_skill;nefer_phantasm_performance_charges;Кол-во применений Игры химер;Phantasm Performance Charges
feature_skill;nefer_shadow_dance_duration;Длительность Танца тени;Shadow Dance Duration
