category;name;rus;eng
char_name;neuvillette;Нёвиллет;Neuvillette
feature_attack;neuvillette_equitable_judgment;Периодический урон заряженной атаки: Взвешенный вердикт;Charged Attack: Equitable Judgment
feature_attack;neuvillette_hp_restored;Восстановление HP;HP Restored
feature_attack;neuvillette_hp_loss;Потеря HP;HP Loss
talent_name;neuvillette_as_water_seeks_equilibrium;Подобно водной глади;As Water Seeks Equilibrium
talent_descr;neuvillette_as_water_seeks_equilibrium;<p>name{Обычная атака}<br>Легко помахивает тростью, приказывая волнам выполнить до 3 атак, которые наносят hydro{Гидро урон}.</p><p>name{Заряженная атака Облечение: Судебная оценка}<br>Заряжаясь, name{Нёвиллет} собирает силу вод и создаёт Печать арбитража. В этом состоянии name{Нёвиллет} может передвигаться и менять направление перемещения, а также поглощать name{Капли источника} в определённом радиусе.<br>Каждая поглощённая name{Капля} увеличивает скорость создания Печати и восстанавливает name{HP} name{Нёвиллета}.<br>Когда заряжание остановлено, а создание Печати арбитража ещё не завершено, он проведёт name{заряженную атаку}. Если создание завершено, он выполнит name{заряженную атаку}: Взвешенный вердикт.</p><p>name{Заряженная атака}<br>Тратит определённое количество выносливости и атакует врагов яростным кольцом воды, нанося hydro{Гидро урон по площади}.</p><p>name{Заряженная атака: Взвешенный вердикт}<br>Выпускает клокочущие потоки, которые наносят периодический hydro{Гидро урон по площади} по прямой линии врагам впереди.<br>Заряженная атака: Взвешенный вердикт не расходует выносливость и длится 3 сек.<br>Если name{HP} выше 50%, во время применения этой атаки name{Нёвиллет} постоянно теряет name{HP}.</p><p>name{Атака в падении}<br>Собрав мощь гидро, name{Нёвиллет} Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит hydro{Гидро урон по площади}.</p>;<p>name{Normal Attack}<br>With light flourishes, name{Neuvillette} commands the tides to unleash a maximum of 3 attacks, dealing hydro{Hydro DMG}.</p><p>name{Charged Attack Empowerment: Legal Evaluation}<br>While charging up, name{Neuvillette} will gather the power of water, forming it into a Seal of Arbitration. In this state, name{Neuvillette} can move and change facing, and also absorb any name{Sourcewater Droplets} in a certain AoE.<br>Every name{Droplet} he absorbs will increase the formation speed of the Seal, and will heal name{Neuvillette}.<br>When the charging is stopped, if the Symbol has yet to be formed, then a Charged Attack will be unleashed. If it has been formed, then a name{Charged Attack: Equitable Judgment} will be unleashed.</p><p>Charged Attack<br>Consumes a fixed amount of Stamina to attack opponents with a rupturing blast of water, dealing hydro{AoE Hydro DMG}.</p><p>name{Charged Attack: Equitable Judgment}<br>Unleashes surging torrents, dealing continuous hydro{AoE Hydro DMG} to all opponents in a straight-line area in front of him.<br>name{Equitable Judgment} will not consume any Stamina and lasts 3s.<br>If name{Neuvillette}'s name{HP} is above 50%, he will continuously lose name{HP} while using this attack.</p><p>name{Plunging Attack}<br>Gathering the might of Hydro, name{Neuvillette} plunges towards the ground from mid-air, damaging all opponents in his path. Deals hydro{AoE Hydro DMG} upon impact with the ground.</p>
feature_skill;neuvillette_sourcewater_droplet_duration;Длительность Капли источника;Sourcewater Droplet Duration
talent_name;neuvillette_o_tears_i_shall_repay;О слёзы, я воздам;O Tears, I Shall Repay
talent_descr;neuvillette_o_tears_i_shall_repay;<p>Призывает Бушующий ливень, который наносит врагам впереди hydro{Гидро урон по площади}, зависящий от name{макс. HP} name{Нёвиллета}. После попадания по врагу будет создано 3 name{Капли источника} поблизости.</p><p>name{Архэ: Пневма}<br>С некоторым интервалом, после Бушующего ливня нисходит пронзающая врагов Игла дыхания душ, которая наносит hydro{Гидро урон} пневмы.</p><p><i>«Закон может пресечь всевозможные преступления, но искоренить само зло он не способен».</i></p>;"<p>Summons a Raging Waterfall that will deal hydro{AoE Hydro DMG} to opponents in front of name{Neuvillette} based on his name{Max HP}. After hitting an opponent, this skill will generate 3 name{Sourcewater Droplets} near that opponent.</p><p>name{Arkhe: Pneuma}<br>At certain intervals, when the Raging Waterfall descends, a Spiritbreath Thorn will descend that will pierce opponents, dealing Pneuma-aligned hydro{Hydro DMG}.</p><p><i>""The law can restrict all manner of crimes, but it cannot extirpate evil itself.</i></p>"
feature_burst;neuvillette_waterfall_dmg;Урон ливня;Waterfall DMG
talent_name;neuvillette_o_tides_i_have_returned;О волны, я возвратился;O Tides, I Have Returned
talent_descr;neuvillette_o_tides_i_have_returned;<p>Выпускает сокрушающую волну, которая наносит hydro{Гидро урон по площади} пропорциональный name{макс. HP} name{Нёвиллета}. Вскоре поблизости нисходит 2 ливня, наносящие hydro{Гидро урон} по несколько меньшей площади, а в определённом радиусе впереди создаётся 6 Капель источника.</p><p><i>«Законы вступают в силу только после их оглашения. Более того, а законы природы управляли жизнью всех созданий с незапамятных времён».</i></p>;"<p>Unleashes waves that will deal hydro{AoE Hydro DMG} based on name{Neuvillette}'s name{Max HP}. After a short interval, 2 waterfalls will descend and deal hydro{Hydro DMG} in a somewhat smaller AoE, and will generate 6 name{Sourcewater Droplets} within an area in front.</p><p><i>""The law is only established after its publication, and above that, the laws of nature have governed all species and eras since ancient times.</i></p>"
talent_name;neuvillette_heir_to_the_ancient_seas_authority;Наследник древнего моря;Heir to the Ancient Sea's Authority
