category;name;rus;eng
char_name;nicole;Николь;Nicole
talent_name;nicole_allegoria;Аллегория;Allegoria
talent_descr;nicole_allegoria;<p>name{Обычная атака:}<br>Изрекает веление на праязыке и выполняет до трёх атак, наносящих pyro{Пиро урон}.</p><p>name{Заряженная атака:}<br>Короткое заклинание, наносящее pyro{Пиро урон по площади} впереди, на которое тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит pyro{Пиро урон по площади}.</p>;<p>name{Normal Attack}<br>Proclaims a decree in the primordial tongue and performs up to 3 attacks that deal pyro{Pyro DMG}.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to deal pyro{AoE Pyro DMG} to opponents in front of her after a short casting time.</p><p>name{Plunging Attack}<br>name{Nicole} plunges towards the ground from mid-air, damaging all opponents in her path. Also deals pyro{AoE Pyro DMG} upon impact with the ground.</p>
feature_skill;nicole_grace_of_kenosis_atk_bonus_ratio;Коэффициент бонуса атаки Благодати кенозиса;Grace of Kenosis ATK Bonus Ratio
feature_skill;nicole_grace_of_kenosis_max_atk_bonus;Макс. бонус атаки Благодати кенозиса;Grace of Kenosis Max ATK Bonus
feature_skill;nicole_grace_of_kenosis_duration;Длительность Благодати кенозиса;Grace of Kenosis Duration
talent_name;nicole_uncreated_light;Откровение: Несотворённый свет;Revelation: Uncreated Light
talent_descr;nicole_uncreated_light;"<p>Воссоздаёт мгновение былых времён, когда ангелы действовали по велению небес, и наделяет всех персонажей отряда поблизости skill{n11310001:Благодатью кенозиса}skill{n11310002:}, повышая name{силу атаки} данных персонажей, нанося pyro{Пиро урон по площади} и создавая Щит пылающего сияния.<br>Поглощение урона Щитом пылающего сияния зависит от name{силы атаки} name{Николь}. Он поглощает pyro{Пиро урон} с 250% эффективностью.</p><p><i>«""Свет"" не является творением, но он удостоен милости и облечён в понятное человеку явление. Только несозданному дозволено прикоснуться к облику вечности. Именно поэтому ненаписанные слова самые ценные».<br>«Ну как, неплохое оправдание, чтобы не браться за перо? Очень похоже на те непонятные, но мудрые высказывания, да?»</i></p>";"<p>Recreates a fleeting glimpse of an age long past, when the angels acted on the authority of the heavens, bestowing the skill{n11310001:Grace of Kenosis}skill{n11310002:} effect on nearby party members. This increases their name{ATK} and deals pyro{AoE Pyro DMG}, as well as creates a Shield of Blazing Light.<br>The Shield of Blazing Light's DMG Absorption is based on name{Nicole}'s name{ATK}, and it will absorb pyro{Pyro DMG} at 250% effectiveness.</p><p><i>""Light is not a product of creation, and yet it has been favored and shaped into the miracle of human reason. Only the uncreated may caress the visage of eternity. That is why the unwritten word has value beyond anything put to paper.""<br>""What do you think? A fine excuse not to pick up the pen myself, wouldn't you say? Doesn't it sound just like one of those bits of 'ancient wisdom' that sound so profound, but no one really understands?""</i></p>"
feature_burst;nicole_arcane_projection_dmg;Урон Проекции священного таинства;Arcane Projection DMG
feature_burst;nicole_arcane_projection_attack_count;Количество атак Проекции священного таинства;Arcane Projection Attack Count
feature_burst;nicole_silent_contemplation_duration;Длительность Созерцательной молитвы;Silent Contemplation Duration
talent_name;nicole_ladder_of_divine_ascent;Откровение: Лествица Божественного восхождения;Revelation: Ladder of Divine Ascent
talent_descr;nicole_ladder_of_divine_ascent;<p>Сплетая путь предначертанной судьбы из золотых нитей света, name{Николь} наносит pyro{Пиро урон по площади} и переходит в режим Созерцательной молитвы.<br>Когда name{Николь} пребывает в этом режиме, а активный персонаж отряда поблизости поражает противника атакой, призывается Проекция священного таинства. Проекция проводит совместную атаку по противнику и наносит name{элементальный урон} по площади, который соответствует типу элемента данного персонажа. Такой урон зависит от name{силы атаки} персонажа и считается, что его наносит он сам.<br>Этот эффект может возникнуть один раз в 3 сек. и до 4 раз после каждого перехода name{Николь} в режим Созерцательной молитвы.</p><p>Кроме того, Проекция священного таинства у name{Ведьмовских} персонажей выглядит иначе...</p><p><i>«Хм? Хочешь знать о принципах божественного замысла? Ай, всё предельно просто. Есть же такая поговорка, что боги стали людьми для того, чтобы люди стали богами, а боги ступали как люди, чтобы люди ступали как боги...»<br>«Цивилизация, что произнесла эти слова первой, исчезла, и даже упоминание её названия чревато неприятностями, но ничего страшного, раз эти слова сказаны тебе? Да, определённо ничего страшного, иначе что-нибудь уже бы произошло. Кхм-кхм, в общем, я хочу сказать, что тот, кто на небесах...»<br>«...Нет, мне этого правда не стоит говорить. На этот вопрос я пока не могу ответить. Может, сменим тему?»</i></p>;"<p>As name{Nicole} weaves the path of anchored fate with golden threads of light, she deals pyro{AoE Pyro DMG} and switches to Silent Contemplation mode.<br>In this mode, when nearby active party members hit an opponent, an Arcane Projection is summoned to perform a Coordinated Attack against the opponent, dealing AoE name{Elemental DMG} of the character's corresponding Elemental Type. This DMG scales based on the corresponding character's name{ATK} and will be considered as having been dealt by them.<br>This effect can occur once every 3s, and can be triggered up to 4 times each time name{Nicole} switches to Silent Contemplation mode.</p><p>It is worth noting that name{Hexerei} characters' Arcane Projections appear to differ somehow in appearance from the others...</p><p><i>""Hmm? You want to know the principles that underpin the divine plan? Hah, that's an easy one — ever heard of the saying, 'The gods became human so that humans could become gods; the gods walked as humans so that humans could walk as gods'?""<br>""Though the civilization that gave us this saying — I fear even uttering their name could invite disaster — is now gone, I don't see any harm in passing on their words to you... Well, even if there is harm in it, the harm's already done. Ahem... In any case, what you should understand is that they who dwell above...""<br>""...Hmm, on second thought, I really shouldn't say — I'm afraid I can't answer your question right now. How about we talk about something else?""</i></p>"
talent_name;nicole_methexis;Метексис;Methexis
talent_descr;nicole_methexis;<p>В течение 20 сек. после применения name{элементального навыка} skill{skill:Откровение: Несотворённый свет} name{Николь} будет постоянно вести Наблюдение за другими активными персонажами вашего отряда. После того как персонаж, за которым она ведёт Наблюдение, непрерывно находится на поле 3 сек., то его skill{n11310001:Благодать кенозиса} улучшается до skill{n11310002:Наставления теозиса}, что дополнительно повышает его name{силу атаки} на value{300} ед. Если персонаж, за которым ведёт Наблюдение name{Николь}, Ведьмовской, то skill{Благодать кенозиса} сразу улучшается до skill{Наставления теозиса}.<br>Когда другие персонажи, кроме name{Николь}, покидают поле боя, обладая skill{Наставлением теозиса}, эффект восстанавливается до skill{Благодати кенозиса}.</p>;"<p>For 20s after unleashing the name{Elemental Skill} skill{skill:Revelation: Uncreated Light}, name{Nicole} will continuously ""observe"" the other current active party members. After the observed character has remained on the field for 3s, their skill{n11310001:Grace of Kenosis} is upgraded to skill{n11310002:Guidance of Theosis}, increasing their name{ATK} by an additional value{300}. If the observed character is a name{Hexerei} character, skill{Grace of Kenosis} is upgraded to skill{Guidance of Theosis} straight away.<br>When characters other than name{Nicole} who have skill{Guidance of Theosis} leave the field, their effect reverts to skill{Grace of Kenosis}.</p>"
talent_name;nicole_philokalia;Филокалия;Philokalia
talent_descr;nicole_philokalia;<p>После того как name{элементальный урон} активного персонажа отряда поблизости поражает противника, skill{n11310001:Благодать кенозиса} name{Николь} на 8 сек. улучшается до skill{n11310002:Наставления теозиса}.</p>;<p>When name{Elemental DMG} from nearby active party members hits an opponent, name{Nicole}'s own skill{n11310001:Grace of Kenosis} effect is upgraded to skill{n11310002:Guidance of Theosis} for 8s.</p>
talent_name;nicole_light_in_the_darkness;Ведьмин ритуал кануна: Свет во тьме;Witch's Eve Rite: Light in the Darkness
talent_descr;nicole_light_in_the_darkness_1;<p>Выполнив skill{Уроки ведьм: Роль наставника?..}, name{Николь} станет skill{Ведьмовским} персонажем. Если в отряде хотя бы 2 name{Ведьмовских} персонажа, активируется эффект skill{Ведьмовство: Тайный обряд}, который усиливает name{Ведьмовских} персонажей.</p>;<p>After completing skill{Witch's Homework: The Role of a Guide...?}, name{Nicole} becomes a skill{Hexerei} character. When the party includes at least 2 name{Hexerei} characters, you gain the skill{Hexerei: Secret Rite} effect, which enhances name{Hexerei} characters.</p>
talent_descr;nicole_light_in_the_darkness_2;<br>Повышает урон skill{Проекций священного таинства} name{Ведьмовских} персонажей на value{300%} от name{силы атаки} name{Николь}.</p>;<br>Increases the DMG dealt by name{Hexerei} characters' skill{Arcane Projections} by value{300%} of name{Nicole}'s name{ATK}.</p>
talent_name;nicole_do_not_be_afraid_child_who_is_loved;«Не бойся, любимое дитя»;"""Do Not Be Afraid, Child Who Is Loved"""
talent_descr;nicole_do_not_be_afraid_child_who_is_loved;<p>Когда атаки вашего активного персонажа поражают противника, дополнительно призывается особая name{Проекция священного таинства: Единство}, которая проводит совместную атаку по противнику и наносит name{элементальный урон} по площади, тип которого соответствует типу элемента данного персонажа, а урон составляет value{600%} от его name{силы атаки} и считается его собственным уроном.<br>Эффект может возникнуть один раз в 6 сек.</p>;"<p>When the current active character of your own in the party hits an opponent, an additional special ""name{Arcane Projection: Unity}"" will be summoned to perform a Coordinated Attack against the opponent, dealing AoE name{Elemental DMG} of the character's corresponding Elemental Type at value{600%} of their name{ATK}. This DMG will be considered as having been dealt by the corresponding character.<br>This effect can trigger once every 6s.</p>"
talent_name;nicole_i_will_guide_you_and_show_you_the_path_you_should_tread;«Я буду наставлять тебя и укажу тебе путь»;"""I Will Guide You and Show You the Path You Should Tread"""
talent_descr;nicole_i_will_guide_you_and_show_you_the_path_you_should_tread;<p>Эффекты name{элементального навыка} skill{skill:Откровение: Несотворённый свет} получают усиления: skill{n11310001:Благодать кенозиса} дополнительно повышает name{силу атаки} на value{300} ед. (которые не включаются в максимум бонуса атаки этого эффекта), а skill{n11310002:Наставление теозиса} также снижает элементальное сопротивление врагов поблизости согласно типу элемента персонажа на value{25%}. Эффект снижения сопротивления для одного и того же элемента не складывается.<br>Кроме того, во время применения name{элементального навыка} name{Николь} skill{skill:Откровение: Несотворённый свет} активные персонажи отряда поблизости получают Щит пылающего сияния.</p>;<p>Enhances the effects of the name{Elemental Skill} skill{skill:Revelation: Uncreated Light}: skill{n11310001:Grace of Kenosis} increases name{ATK} by an additional value{300} (which does not count toward this effect's name{ATK} Bonus limit), while skill{n11310002:Guidance of Theosis} decreases nearby opponents' name{Elemental RES} based on the corresponding character's Elemental Type by value{25%}. This effect does not stack for the same Element.<br>Additionally, when name{Nicole} unleashes her name{Elemental Skill} skill{skill:Revelation: Uncreated Light}, nearby active party members will also gain a Shield of Blazing Light.</p>
talent_name;nicole_a_lamp_by_your_side_a_light_to_shine_the_way;«Я стану твоим фонарём, путеводным светом»;"""A Lamp by Your Side, A Light to Shine the Way"""
talent_name;nicole_whether_left_or_right_no_matter_which_way_you_turn;«Куда ты ни пойдёшь, влево или вправо»;"""Whether Left or Right, No Matter Which Way You Turn"""
talent_descr;nicole_whether_left_or_right_no_matter_which_way_you_turn;<p>Когда skill{n11310001:Благодать кенозиса} персонажей отряда поблизости улучшается до skill{n11310002:Наставления теозиса}, name{Николь} также на 20 сек. наделяет их Путеводным оберегом. Каждый персонаж может получить этот эффект один раз в 16 сек.<br>name{Урон обычной атаки}, name{заряженной атаки}, name{атаки в падении}, name{элементального навыка} и name{взрыва стихии} персонажей с Путеводным оберегом повышается на value{70%} от name{силы атаки} name{Николь}. После того как этот эффект активируется 8 раз или его время действия заканчивается, он снимается.<br>Если одновременно поразить нескольких врагов, количество активаций подсчитывается согласно числу поражённых врагов. Путеводный оберег подсчитывается для каждого персонажа отряда отдельно.</p>;<p>When nearby party members have their skill{n11310001:Grace of Kenosis} upgraded to skill{n11310002:Guidance of Theosis}, name{Nicole} also bestows upon them the Pathfinder's Blessing effect for 20s. Each character can gain this effect once every 16s.<br>The name{Normal Attack}, name{Charged Attack}, name{Plunging Attack}, name{Elemental Skill}, and name{Elemental Burst DMG} of characters with Pathfinder's Blessing is increased by value{70%} of name{Nicole}'s name{ATK}. This effect will be removed once it has taken effect 8 times or when its duration is over.<br>When multiple opponents are hit at once, instances of Pathfinder's Blessing are consumed equal to the number of opponents hit. Each character's Pathfinder's Blessing is counted independently.</p>
talent_name;nicole_you_will_hear_my_voice_beside_you;«Рядом ты будешь слышать мой голос»;"""You Will Hear My Voice Beside You"""
talent_name;nicole_this_is_the_path_walk_it_without_delay;«Не мешкай, это верный путь»;"""This Is the Path, Walk It Without Delay"""
talent_descr;nicole_this_is_the_path_walk_it_without_delay;<p>Когда skill{n11310001:Благодать кенозиса} name{Николь} улучшается до skill{n11310002:Наставления теозиса}, skill{Благодать кенозиса} всех персонажей отряда поблизости также будет улучшена до skill{Наставления теозиса}. skill{Наставление теозиса} после улучшения больше не восстанавливается до skill{Благодати кенозиса}.<br>Кроме того, урон персонажей с skill{Наставлением теозиса} игнорирует %{enemy_def_ignore} защиты противника.</p>;<p>When name{Nicole}'s skill{n11310001:Grace of Kenosis} is upgraded to skill{n11310002:Guidance of Theosis}, all nearby party members' skill{Grace of Kenosis} will also be upgraded to skill{Guidance of Theosis}. Once upgraded, skill{Guidance of Theosis} will no longer revert to skill{Grace of Kenosis}.<br>Additionally, DMG dealt by characters with skill{Guidance of Theosis} will ignore %{enemy_def_ignore} of opponents' name{DEF}.</p>
