category;name;rus;eng
char_name;nilou;Нилу;Nilou
talent_name;nilou_dance_of_samser;Танец шамшира;Dance of Samser
talent_descr;nilou_dance_of_samser;<p>name{Обычная атака:}<br>До трёх быстрых ударов мечом.</p><p>name{Заряженная атака:}<br>Удар с вращением, на который тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 3 consecutive sword strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to perform a twirling slash.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;nilou_pirouette_duration;Длительность Пируэта;Pirouette Duration
feature_skill;nilou_lunar_prayer_duration;Длительность Лунной молитвы;Lunar Prayer Duration
feature_skill;nilou_tranquility_aura_duration;Длительность Ауры покоя;Tranquility Aura Duration
talent_name;nilou_dance_of_haftkarsvar;Танец Хафткаршвар;Dance of Haftkarsvar
talent_descr;nilou_dance_of_haftkarsvar;<p>Входит в состояние Пируэта и наносит противникам поблизости hydro{Гидро урон}, пропорциональный name{макс. HP} name{Нилу}.<br>Совершив в состоянии Пируэта name{обычную атаку} или атаку name{элементальным навыком}, name{Нилу} переходит в состояние Танца мечей или Кружащих шагов соответственно. Урон, наносимый в этих состояниях, преобразуется в hydro{Гидро урон}, который считается уроном name{элементального навыка} и не может быть отменён другими инфузиями.</p><p>В этих состояниях третий танцевальный шаг name{Нилу} завершает Пируэт и, в зависимости от текущего состояния, производит следующие эффекты:<br>· Танец мечей: выпускает Сияющую иллюзию, которая при соприкосновении с врагами наносит hydro{Гидро урон} и наделяет name{Нилу} Лунной молитвой. Этот эффект превращает её name{обычные атаки} в техники Танца мечей, а последний удар выпускает Сияющую иллюзию.<br>· Кружащие шаги: name{Нилу} выпускает Водяное колесо, которое наносит hydro{Гидро урон по площади} и создаёт Ауру покоя, которая следует за активным персонажем и накладывает на врагов в радиусе действия статус hydro{Мокрый}.</p><p>Пребывая в состояниях Пируэта и Лунной молитвы, name{Нилу} не может наносить name{заряженные атаки}. Эти состояния исчезают, когда name{Нилу} покидает поле боя.</p><p><i>«Сиянием семи небес сверкает рябь, где изящные ступни её легко коснулись зерцала вод».</i></p>;"<p>Enters the Pirouette state, dealing hydro{Hydro DMG} to nearby opponents based on name{Nilou}'s name{Max HP}.<br>While she is in the Pirouette state, name{Nilou}'s name{Normal Attacks} and name{Elemental Skill} will cause her to enter the name{Sword} Dance and Whirling Steps stances respectively, causing DMG she deals to be converted to hydro{Hydro DMG} that cannot be overridden and that is considered name{Elemental Skill DMG}.</p><p>In these stances, name{Nilou}'s third dance step will end Pirouette, and has the following effects based on the type of said dance step:<br>·name{Sword} Dance: unleashes a name{Luminous Illusion} that deals hydro{Hydro DMG} to opponents it touches and grants name{Nilou} the Lunar Prayer effect. This effect converts name{Nilou}'s name{Normal Attacks} into name{Sword} Dance techniques, and her final hit will unleash a name{Luminous Illusion}.<br>·Whirling Steps: name{Nilou} unleashes a Whirling Water Wheel that deals hydro{AoE Hydro DMG} and creates a name{Tranquility Aura} that follows your active character around and applies hydro{Wet} to opponents within its AoE.</p><p>name{Nilou} is unable to perform name{Charged Attacks} when under the effect of Pirouette or Lunar Prayer. These effects will be removed once she leaves the field.</p><p><i>""Daintily her toes touch the water's face, and the light that ripples forth equals even the seven heavens.""</i></p>"
feature_burst;nilou_lingering_aeon;Урон Течения вечности;Lingering Aeon DMG
talent_name;nilou_distant_dreams_listening_spring;Танец Абзендеги: Далёкие мечты, внемлющий ручей;Dance of Abzendegi: Distant Dreams, Listening Spring
talent_descr;nilou_distant_dreams_listening_spring;<p>Пускается в танец дальних мечтаний и внемлющего ручья, от чего распускается Лотос далёких вод, нанося hydro{Гидро урон по площади} пропорционально name{макс. HP} name{Нилу} и накладывая на поражённых противников Течение вечности.<br>Вскоре противники под влиянием этого эффекта получают hydro{Гидро урон}.</p><p><i>«Лишь этот танец явит нам далёкие мечтанья, каких не доводилось видеть нам».</i></p>;"<p>Begins the dance of faraway dreams and springs that hear, causing a Lotus of Distant Waters to bloom, dealing hydro{AoE Hydro DMG} based on name{Nilou}'s name{Max HP} and applying the Lingering Aeon effect to all opponents hit.<br>After an interval, opponents affected by Lingering Aeon will take hydro{Hydro DMG}.</p><p><i>""We have never witnessed that distant dream, but this dance can bring it to life.""</i></p>"
talent_name;nilou_court_of_dancing_petals;Зал кружащих лепестков;Court of Dancing Petals
talent_descr;nilou_court_of_dancing_petals_1;<p>Если отряд полностью состоит из dendro{Дендро} и hydro{Гидро} персонажей, и в отряде есть хотя бы по одному персонажу hydro{Гидро} и dendro{Дендро}:<br>name{Нилу} по завершении третьего шага skill{skill:Танца Хафткаршвар} на 30 сек. наделяет всех персонажей поблизости name{Изобилием золотого кубка}.<br>Кроме того, активация реакций dendro{Бутонизация} или dendro{Лунная бутонизация} вместо dendro{Дендро ядер} создаёт name{Ядра изобилия}.<br>name{Ядра изобилия} быстрее взрываются и обладают большей зоной поражения.<br>Они не активируют dendro{Вегетацию} и dendro{Цветение}, и обладают тем же количественным ограничением, что и dendro{Дендро ядра}.</p>;<p>When all characters in the party are all dendro{Dendro} or hydro{Hydro}, and there are at least one dendro{Dendro} character and one hydro{Hydro} character:<br>The completion of the third dance step of name{Nilou}'s skill{skill:Dance of Haftkarsvar} will grant all nearby characters the name{Golden Chalice's Bounty} for 30s.<br>Also, triggering the dendro{Bloom} or dendro{Lunar-Bloom} reaction will create name{Bountiful Cores} instead of dendro{Dendro Cores}.<br>Such Cores will burst very quickly after being created, and they have larger AoEs.<br>name{Bountiful Cores} cannot trigger dendro{Hyperbloom} or dendro{Burgeon}, and they share an upper numerical limit with dendro{Dendro Cores}.</p>
talent_descr;nilou_court_of_dancing_petals_2;<p>Если персонажи под воздействием name{Изобилия золотого кубка} атакованы dendro{Дендро}, name{мастерство стихий} всех персонажей поблизости увеличивается на %{mastery} ед. на 10 сек.</p>;<p>Characters under the effect of name{Golden Chalice's Bounty} will increase the name{Elemental Mastery} of all nearby characters by %{mastery} for 10s whenever they are hit by dendro{Dendro} attacks.</p>
talent_name;nilou_dreamy_dance_of_aeons;Сон танцующих веков;Dreamy Dance of Aeons
talent_descr;nilou_dreamy_dance_of_aeons;<p>За каждые 1000 ед. name{HP} выше 30 000 ед. name{макс. HP} name{Нилу} повышает урон name{Ядер изобилия}, созданных персонажами под действием name{Изобилия золотого кубка}, на value{9%}.<br>Максимальное увеличение урона name{Ядер изобилия}, полученное таким образом, не может превышать value{400%}.</p>;<p>Every 1,000 points of name{Nilou}'s name{Max HP} above 30,000 will cause the DMG dealt by name{Bountiful Cores} created by characters affected by name{Golden Chalice's Bounty} to increase by value{9%}.<br>The maximum increase in Bountiful Core DMG that can be achieved this way is value{400%}.</p>
talent_name;nilou_dance_of_the_waning_moon;Танец убывающей луны;Dance of the Waning Moon
talent_descr;nilou_dance_of_the_waning_moon;<p>skill{skill:Танец Хафткаршвар} усиливается следующим образом:<br>· Урон name{Сияющей иллюзии} повышается на %{dmg_skill_nilou}.<br>· Длительность name{Ауры покоя} увеличивается на 6 сек.</p>;<p>skill{skill:Dance of Haftkarsvar} will be enhanced as follows:<br>·name{Luminous Illusion} DMG is increased by %{dmg_skill_nilou}.<br>·The name{Tranquility Aura}'s duration is extended by 6s.</p>
talent_name;nilou_the_starry_skies_their_flowers_rain;Дождь лепестков звёздного неба;The Starry Skies Their Flowers Rain
talent_descr;nilou_the_starry_skies_their_flowers_rain_1;<p>hydro{Гидро сопротивление} противников, получивших hydro{Гидро урон} от персонажей под воздействием name{Изобилия золотого кубка}, понижается на %{enemy_res_hydro} на 10 сек.<br>Требуется разблокировать талант возвышения name{Зал кружащих лепестков}.</p>;"<p>After characters affected by the name{Golden Chalice's Bounty} deal hydro{Hydro DMG} to an opponent, that opponent's hydro{Hydro RES} will be decreased by %{enemy_res_hydro} for 10s.<br>You must first unlock the Ascension Talent ""name{Court of Dancing Petals}.""</p>"
talent_descr;nilou_the_starry_skies_their_flowers_rain_2;<p>После нанесения противнику урона от реакций dendro{Бутонизация} или dendro{Лунная бутонизация} его dendro{Дендро сопротивление} снижается на %{enemy_res_dendro} на 10 сек.<br>Требуется разблокировать талант возвышения name{Зал кружащих лепестков}.</p>;"<p>After dealing dendro{Bloom} or dendro{Lunar-Bloom DMG} to opponents, their dendro{Dendro RES} will be decreased by %{enemy_res_dendro} for 10s.<br>You must first unlock the Ascension Talent ""name{Court of Dancing Petals}.""</p>"
talent_name;nilou_beguiling_shadowstep;Грациозная поступь тени;Beguiling Shadowstep
talent_name;nilou_fricative_pulse;Ритм зыби;Fricative Pulse
